mc	mn	onset	label
125	125	1/4	I
126	126	0	V7
126	126	1/4	I
127	127	0	V65
128	128	0	V43(b9)
129	129	0	I6
129	129	1/4	#viio65/ii
130	130	0	V65/ii
130	130	3/8	ii
131	131	0	viio43
131	131	1/4	V2
131	131	3/8	V43
132	132	1/4	I6
133	133	0	ii6
133	133	1/4	V7
134	134	0	I[iiio43
135	135	0	viio7
136	136	0	I]
136	136	1/4	I6
136	136	3/8	IV
137	137	0	V(64)
137	137	1/4	V
138	138	0	I[iiio43
139	139	0	viio7
140	140	0	I]
140	140	1/4	I6
140	140	3/8	IV
141	141	0	V(64)
141	141	1/4	V7
142	142	0	I\\
142	142	3/8	IV
143	143	0	I
143	143	1/4	I6
143	143	3/8	IV
144	144	0	I
144	144	3/8	V6
145	145	0	V2/iv
145	145	1/8	vi
145	145	1/4	viio7/iv
145	145	3/8	V7/iv
146	146	0	iv64
146	146	3/8	II65/iv
147	147	0	ii%65/iv
147	147	1/4	viio43/iv
147	147	3/8	iv6
148	148	0	V
148	148	1/8	iiio7
148	148	1/4	iiio6
148	148	3/8	iv-ii/.bIII
149	149	0	V7/.bIII
149	149	3/8	.bIII64
150	150	0	V7/.bIII
150	150	3/8	.bIII64
151	151	0	viio7
151	151	3/8	V43
152	152	0	viio43
152	152	1/8	V43
152	152	1/4	viio43
152	152	3/8	V43
153	153	0	V[V7(b9)
153	153	1/8	V7
154	154	0	I(b6)
154	154	1/8	I
155	155	0	V43
155	155	1/4	I
156	156	0	V(6)
156	156	1/8	V]
157	157	0	V7(b9)
158	158	0	I64(b6)
159	159	0	V7
159	159	1/4	I64
160	160	0	V(6)
160	160	1/8	V
161	161	0	V7(b9)
162	162	1/4	I
163	163	0	IV
164	164	0	ii6
164	164	1/4	iio
165	165	0	V7
166	166	0	I
167	167	0	V[V/V
167	167	1/8	vii7/V
167	167	3/8	V7
169	169	0	I
170	170	0	I(9)
170	170	1/8	I
170	170	1/4	#viio/V
171	171	0	V7(9)
171	171	1/4	V7]
172	172	0	V2(4)/IV
172	172	1/4	V2/IV
173	173	0	IV6(2)
173	173	1/8	IV6
173	173	3/8	.Ger6
174	174	0	v(64)
174	174	1/8	V(64)
175	175	0	V7
176	176	0	vii2(4)/iii
176	176	1/8	vii2/iii
176	176	1/4	V2/IV
177	177	0	IV6
177	177	3/8	.Ger6
178	178	0	v(64)
178	178	1/8	V(64)
182	182	0	V7(b9)
184	184	0	I
184	184	1/4	viio2/V
185	185	0	viio2
186	186	0	I
186	186	1/4	viio/V
187	187	0	V7(2)
188	188	0	V7
189	189	0	I
191	191	0	I\\
192	192	0	#viio65/V
