mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Eb.I	Eb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
2	2	1/8	V43	Eb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
3	3	0	I	Eb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
4	4	1/8	V2	Eb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
5	5	0	I6	Eb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
5	5	1/4	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
6	6	0	IV\\	Eb	I		IV	IV						\\	M	0	0	-1, 3, 0		-1.0	-1.0
7	7	0	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
7	7	1/4	ii6	Eb	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
7	7	1/2	V2	Eb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
8	8	0	I6	Eb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
8	8	1/2	vi64	Eb	I		vi64	vi			64				m	0	0	4, 3, 0		3.0	4.0
9	9	0	ii7	Eb	I		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2.0	2.0
9	9	1/2	V43	Eb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
10	10	0	I6(7)	Eb	I		I6(7)	I			6	7			M	0	0	4, 1, 5		0.0	4.0
10	10	1/4	I6	Eb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
10	10	1/2	@none	Eb	I		@none	@none							m	0	0				
11	11	0	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
11	11	1/4	ii6	Eb	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
11	11	1/2	V2	Eb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
12	12	0	V2	Eb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
12	12	1/4	I6	Eb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
12	12	1/2	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
13	13	0	V7	Eb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
13	13	1/4	ii43	Eb	I		ii43	ii			43				mm7	0	0	3, 0, 2, -1		2.0	3.0
13	13	1/2	IV6	Eb	I		IV6	IV			6				M	0	0	3, 0, -1		-1.0	3.0
13	13	5/8	viio	Eb	I		viio	vii		o					o	0	0	5, 2, -1		5.0	5.0
14	14	0	I\\	Eb	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
14	14	1/4	V43	Eb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
14	14	1/2	I6	Eb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
15	15	0	ii6	Eb	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
15	15	1/2	V2	Eb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
16	16	0	I6	Eb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
16	16	1/2	vi64	Eb	I		vi64	vi			64				m	0	0	4, 3, 0		3.0	4.0
17	17	0	V43	Eb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
18	18	0	I6(4)	Eb	I		I6(4)	I			6	4			M	0	0	-1, 1, 0		0.0	-1.0
18	18	1/4	I6	Eb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
18	18	1/2	I+6	Eb	I		I+6	I		+	6				+	0	0	4, 8, 0		0.0	4.0
19	19	0	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
19	19	1/4	ii6	Eb	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
19	19	1/2	V2	Eb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
20	20	0	I6	Eb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
20	20	1/2	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
21	21	0	I64	Eb	I		I64	I			64				M	0	0	1, 0, 4		0.0	1.0
21	21	1/4	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
21	21	1/2	V65	Eb	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
22	22	0	I	Eb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
22	22	1/4	I6	Eb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
22	22	1/2	I64	Eb	I		I64	I			64				M	0	0	1, 0, 4		0.0	1.0
23	23	0	I	Eb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
24	24	0	V43	Eb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
