mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/2	3/4	4	1		Bb.I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	1	1	1.5	0	0	3/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
2	1	5/2	5/2	0.5	3/8	3/8	3/4	4	1		V2/IV		Bb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
2	1	3	3	0.5	1/2	1/2	3/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	1	7/2	7/2	0.5	5/8	5/8	3/4	4	1		ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
3	2	4	4	1.0	0	0	3/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	2	5	5	1.0	1/4	1/4	3/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
3	2	6	6	1.0	1/2	1/2	3/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	7	7	1.5	0	0	3/4	4	1		V43		Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	17/2	17/2	0.5	3/8	3/8	3/4	4	1		#viio65/ii		Bb	I		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
4	3	9	9	0.5	1/2	1/2	3/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	3	19/2	19/2	1.5	5/8	5/8	3/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	11	11	1.5	1/4	1/4	3/4	4	1		I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
5	4	25/2	25/2	1.5	5/8	5/8	3/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
6	5	14	14	1.5	1/4	1/4	3/4	4	1		vi7		Bb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
6	5	31/2	31/2	1.5	5/8	5/8	3/4	4	1		V43/V		Bb	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
7	6	17	17	1.5	1/4	1/4	3/4	4	1		V7/V		Bb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	6	37/2	37/2	0.25	5/8	5/8	3/4	4	1		V(9+#74)		Bb	I		V(9+#74)		V			9+#74				M	0	0	1, 0, 2	3, 6	1	1
