mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	9.0	0	3/4	2/2	4	1		c.i	c	i		i		i								m	1	1	0, -3, 1		0	0
4	4	9	1.0	0	0	2/2	4	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
4	4	10	1.0	1/4	1/4	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
4	4	11	1.0	1/2	1/2	2/2	4	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
4	4	12	1.0	3/4	3/4	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
5	5	13	4.0	0	0	2/2	4	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
6	6	17	4.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
7	7	21	3.0	0	0	2/2	4	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
7	7	24	1.0	3/4	3/4	2/2	4	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
8	8	25	1.0	0	0	2/2	4	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
8	8	26	1.0	1/4	1/4	2/2	4	1		It6	c	v		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
8	8	27	1.0	1/2	1/2	2/2	4	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
8	8	28	1.0	3/4	3/4	2/2	4	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
9	9	29	4.0	0	0	2/2	4	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
11	11	33	2.0	0	0	2/2	4	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
11	11	35	2.0	1/2	1/2	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
12	12	37	2.0	0	0	2/2	4	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
12	12	39	2.0	1/2	1/2	2/2	4	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
13	13	41	2.0	0	0	2/2	4	1		iv6(9)	c	i		iv6(9)		iv		6	9					m	1	1	-4, 0, -1	1	-1	-4
13	13	43	1.0	1/2	1/2	2/2	4	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
13	13	44	1.0	3/4	3/4	2/2	4	1		It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
14	14	45	4.0	0	0	2/2	4	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
15	15	49	4.0	0	0	2/2	4	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
16	16	53	1.0	0	0	2/2	4	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
16	16	54	1.0	1/4	1/4	2/2	4	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
16	16	55	1.0	1/2	1/2	2/2	4	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
16	16	56	1.0	3/4	3/4	2/2	4	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
17	17	57	1.0	0	0	2/2	4	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
17	17	58	1.0	1/4	1/4	2/2	4	1		It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
17	17	59	1.0	1/2	1/2	2/2	4	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
17	17	60	1.0	3/4	3/4	2/2	4	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
18	18	61	4.0	0	0	2/2	4	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
