quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	2/2	4	1		b.i		b	i		i	i							m	1	1	0, -3, 1		0	0
2	2.0	1	1	1/2	1/2	2/2	4	1		iv7		b	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
4	2.0	2	2	0	0	2/2	4	1		VII(9)		b	i		VII(9)	VII			9				M	1	1	-2, 2, -1	0	-2	-2
6	2.0	2	2	1/2	1/2	2/2	4	1		III7		b	i		III7	III		7					Mm7	1	1	-3, 1, -2, -5		-3	-3
8	2.0	3	3	0	0	2/2	4	1		VI(9)		b	i		VI(9)	VI			9				M	1	1	-4, 0, -3	-2	-4	-4
10	2.0	3	3	1/2	1/2	2/2	4	1		iv6		b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	4.0	4	4	0	0	2/2	4	1		V\\		b	i		V	V						\\	M	1	1	1, 5, 2		1	1
16	2.0	5	5	0	0	2/2	4	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
18	2.0	5	5	1/2	1/2	2/2	4	1		iv7		b	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
20	2.0	6	6	0	0	2/2	4	1		VII(9)		b	i		VII(9)	VII			9				M	1	1	-2, 2, -1	0	-2	-2
22	2.0	6	6	1/2	1/2	2/2	4	1		III7		b	i		III7	III		7					Mm7	1	1	-3, 1, -2, -5		-3	-3
24	1.0	7	7	0	0	2/2	4	1		VIM7		b	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
25	1.0	7	7	1/4	1/4	2/2	4	1		iv65		b	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
26	1.0	7	7	1/2	1/2	2/2	4	1		V7		b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
27	1.0	7	7	3/4	3/4	2/2	4	1		V		b	i		V	V							M	1	1	1, 5, 2		1	1
28	4.0	8	8	0	0	2/2	4	1		i\\		b	i		i	i						\\	m	1	1	0, -3, 1		0	0
32	2.0	9	9	0	0	2/2	4	1		III.V[I6		b	III	V	I6	I		6					M	1	0	4, 1, 0		0	4
34	2.0	9	9	1/2	1/2	2/2	4	1		V2		b	III	V	V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
36	2.0	10	10	0	0	2/2	4	1		I6		b	III	V	I6	I		6					M	1	0	4, 1, 0		0	4
38	2.0	10	10	1/2	1/2	2/2	4	1		V43		b	III	V	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
40	2.0	11	11	0	0	2/2	4	1		I6		b	III	V	I6	I		6					M	1	0	4, 1, 0		0	4
42	2.0	11	11	1/2	1/2	2/2	4	1		V2		b	III	V	V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
44	2.0	12	12	0	0	2/2	4	1		I6		b	III	V	I6	I		6					M	1	0	4, 1, 0		0	4
46	2.0	12	12	1/2	1/2	2/2	4	1		V43]		b	III	V	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
48	2.0	13	13	0	0	2/2	4	1		i.i[i6		b	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
50	2.0	13	13	1/2	1/2	2/2	4	1		bII6		b	i	i	bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
52	2.0	14	14	0	0	2/2	4	1		i6		b	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
54	2.0	14	14	1/2	1/2	2/2	4	1		iio6		b	i	i	iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
56	2.0	15	15	0	0	2/2	4	1		i6]		b	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
