mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
36	36	1/4	1/4	3/4	1	1	V	0.490864	-3.21811	dcml	A	bVI		V	V							M	0	0	1, 5, 2		1	1
36	36	1/2	1/2	3/4	1	1	V43/V	-1.65957	-3.20549	dcml	A	bVI		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
36	36	5/8	5/8	3/4	1	1	V	0.450487	-3.28835	dcml	A	bVI		V	V							M	0	0	1, 5, 2		1	1
37	37	0	0	3/4	1	1	I	-0.134827	-3.37558	dcml	A	bVI		I	I							M	0	0	0, 4, 1		0	0
37	37	1/2	1/2	3/4	1	1	I6(112)	-2.11761	-4.94521	dcml	A	bVI		I6(112)	I		6	112				M	0	0	4, 1, 2	-1	0	4
37	37	5/8	5/8	3/4	1	1	I6	0.0317878	-3.50082	dcml	A	bVI		I6	I		6					M	0	0	4, 1, 0		0	4
38	38	0	0	3/4	1	1	IV(116)			dcml	A	bVI		IV(116)	IV			116				M	0	0	-1, 3, 2	5	-1	-1
38	38	1/4	1/4	3/4	1	1	IV			dcml	A	bVI		IV	IV							M	0	0	-1, 3, 0		-1	-1
38	38	1/2	1/2	3/4	1	1	ii			dcml	A	bVI		ii	ii							m	0	0	2, -1, 3		2	2
39	39	0	0	3/4	1	1	viio	-1.80195	-2.56502	dcml	A	bVI		viio	vii	o						o	0	0	5, 2, -1		5	5
40	40	0	0	3/4	1	1	I(119)	0	-3.73724	dcml	A	bVI		I(119)	I			119				M	0	0	0, 4, 1	-1, 2	0	0
40	40	1/4	1/4	3/4	1	1	I	0.563109	-3.64682	dcml	A	bVI		I	I							M	0	0	0, 4, 1		0	0
40	40	1/2	1/2	3/4	1	1	vi	0.112622	-3.73884	dcml	A	bVI		vi	vi							m	0	0	3, 0, 4		3	3
41	41	0	0	3/4	1	1	IVM7	-1.44188	-4.00764	dcml	A	bVI		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
41	41	1/4	1/4	3/4	1	1	ii7	0.134827	-3.57862	dcml	A	bVI		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
41	41	1/2	1/2	3/4	1	1	V	0.112622	-3.62622	dcml	A	bVI		V	V							M	0	0	1, 5, 2		1	1
42	42	0	0	3/4	1	1	V65/ii	-2.02719	-3.71344	dcml	A	bVI		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
42	42	1/4	1/4	3/4	1	1	ii	0.247449	-3.58469	dcml	A	bVI		ii	ii							m	0	0	2, -1, 3		2	2
42	42	1/2	1/2	3/4	1	1	V7	0.247449	-3.73724	dcml	A	bVI		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	43	0	0	3/4	1	1	I	0	-3.57862	dcml	A	bVI		I	I							M	0	0	0, 4, 1		0	0
43	43	1/4	1/4	3/4	1	1	V65/bVII	-2.70292	-3.57862	dcml	A	bVI		V65/bVII	V		65		bVII			Mm7	0	0	3, 0, -3, -1		-1	3
43	43	1/2	1/2	3/4	1	1	viio	0	-3.73724	dcml	A	bVI		viio	vii	o						o	0	0	5, 2, -1		5	5
44	44	0	0	3/4	1	1	V65/vi	-1.88078	-3.5136	dcml	A	bVI		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
44	44	1/4	1/4	3/4	1	1	vi	0	-3.49107	dcml	A	bVI		vi	vi							m	0	0	3, 0, 4		3	3
44	44	1/2	1/2	3/4	1	1	V65/V			dcml	A	bVI		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
45	45	0	0	3/4	1	1	V			dcml	A	bVI		V	V							M	0	0	1, 5, 2		1	1
45	45	1/4	1/4	3/4	1	1	.bIII.IV6(+7)			dcml	A	bIII		IV6(+7)	IV		6	+7				M	0	0	3, 0, -1	4	-1	3
45	45	1/2	1/2	3/4	1	1	V7			dcml	A	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	49	0	0	3/4	1	1	V(64)			dcml	A	bIII		V(64)	V			64				M	0	0	1, 0, 4		1	1
50	50	0	0	3/4	1	1	V43	0	-2.62197	dcml	A	bIII		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
51	51	0	0	3/4	1	1	I6	0	-2.62228	dcml	A	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
52	52	0	0	3/4	1	1	I			dcml	A	bIII		I	I							M	0	0	0, 4, 1		0	0
53	53	0	0	3/4	1	1	I+6			dcml	A	bIII		I+6	I	+	6					+	0	0	4, 8, 0		0	4
53	53	1/4	1/4	3/4	1	1	IV			dcml	A	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
53	53	1/2	1/2	3/4	1	1	vi			dcml	A	bIII		vi	vi							m	0	0	3, 0, 4		3	3
54	54	0	0	3/4	1	1	V65/ii	-2.43438	-2.47612	dcml	A	bIII		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
54	54	1/4	1/4	3/4	1	1	ii			dcml	A	bIII		ii	ii							m	0	0	2, -1, 3		2	2
55	55	0	0	3/4	1	1	V7			dcml	A	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
55	55	1/4	1/4	3/4	1	1	I64			dcml	A	bIII		I64	I		64					M	0	0	1, 0, 4		0	1
55	55	1/2	1/2	3/4	1	1	ii6			dcml	A	bIII		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
55	55	5/8	5/8	3/4	1	1	iii			dcml	A	bIII		iii	iii							m	0	0	4, 1, 5		4	4
56	56	0	0	3/4	1	1	V7			dcml	A	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
56	56	1/4	1/4	3/4	1	1	I64			dcml	A	bIII		I64	I		64					M	0	0	1, 0, 4		0	1
56	56	1/2	1/2	3/4	1	1	vii%43	-0.742027	-3.31173	dcml	A	bIII		vii%43	vii	%	43					%7	0	0	11, 3, 5, 4		5	11
56	56	5/8	5/8	3/4	1	1	I6	0.742346	-2.3742	dcml	A	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
57	57	0	0	3/4	1	1	V65			dcml	A	bIII		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
57	57	1/4	1/4	3/4	1	1	I			dcml	A	bIII		I	I							M	0	0	0, 4, 1		0	0
57	57	1/2	1/2	3/4	1	1	V7/vi			dcml	A	bIII		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
58	58	0	0	3/4	1	1	V65/vi	-4.08817	-2.25223	dcml	A	bIII		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
58	58	1/4	1/4	3/4	1	1	vi	-0.61942	-2.25223	dcml	A	bIII		vi	vi							m	0	0	3, 0, 4		3	3
58	58	1/2	1/2	3/4	1	1	i.V(6)	-1.85826	-4.10762	dcml	A	i		V(6)	V			6				M	0	1	1, 5, -3		1	1
58	58	5/8	5/8	3/4	1	1	V	0.370052	-4.23119	dcml	A	i		V	V							M	0	1	1, 5, 2		1	1
59	59	0	0	3/4	1	1	V65	0.371971	-4.47959	dcml	A	i		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
59	59	1/4	1/4	3/4	1	1	i	0.123884	-4.50379	dcml	A	i		i	i							m	0	1	0, -3, 1		0	0
59	59	1/2	1/2	3/4	1	1	i6	0	-3.98469	dcml	A	i		i6	i		6					m	0	1	-3, 1, 0		0	-3
60	60	0	0	3/4	1	1	V	-0.123884	-4.10889	dcml	A	i		V	V							M	0	1	1, 5, 2		1	1
60	60	1/4	1/4	3/4	1	1	VI	-0.123884	-3.98661	dcml	A	i		VI	VI							M	0	1	-4, 0, -3		-4	-4
61	61	0	0	3/4	1	1	V	-0.123884	-3.73692	dcml	A	i		V	V							M	0	1	1, 5, 2		1	1
61	61	1/4	1/4	3/4	1	1	VI	-0.495536	-3.73884	dcml	A	i		VI	VI							M	0	1	-4, 0, -3		-4	-4
61	61	1/2	1/2	3/4	1	1	i6			dcml	A	i		i6	i		6					m	0	1	-3, 1, 0		0	-3
