mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
90	90	1/2	1/2	3/4	1	1	ii6(2)	-0.697936	-5.47248	dcml	A	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
90	90	5/8	5/8	3/4	1	1	ii6	0.471093	-4.61442	dcml	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
91	91	0	0	3/4	1	1	V6/V	-1.80195	-4.86187	dcml	A	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
91	91	1/4	1/4	3/4	1	1	V	0	-4.86187	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
91	91	1/2	1/2	3/4	1	1	viio(9)	0	-4.72704	dcml	A	I		viio(9)	vii	o		9				o	0	0	5, 2, -1	0	5	5
91	91	5/8	5/8	3/4	1	1	viio	0.494897	-4.81746	dcml	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
92	92	0	0	3/4	1	1	iii	-0.112622	-5.08784	dcml	A	I		iii	iii							m	0	0	4, 1, 5		4	4
92	92	1/2	1/2	3/4	1	1	iii6(2)	-2.83775	-5.49309	dcml	A	I		iii6(2)	iii		6	2				m	0	0	1, 5, -1		4	1
92	92	5/8	5/8	3/4	1	1	iii6	-0.225244	-4.72704	dcml	A	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
93	93	0	0	3/4	1	1	#viio/vi	-1.0358	-3.98469	dcml	A	I		#viio/vi	#vii	o			vi			o	0	0	8, 5, 2		8	8
93	93	1/4	1/4	3/4	1	1	vi	0.247449	-3.98469	dcml	A	I		vi	vi							m	0	0	3, 0, 4		3	3
93	93	1/2	1/2	3/4	1	1	V7/IV	0.247449	-3.73724	dcml	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
94	94	0	0	3/4	1	1	V65/IV			dcml	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
94	94	1/4	1/4	3/4	1	1	IV			dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
94	94	1/2	1/2	3/4	1	1	V7/ii			dcml	A	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
95	95	0	0	3/4	1	1	V65/ii	-1.46408	-2.38738	dcml	A	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
95	95	1/4	1/4	3/4	1	1	ii			dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
95	95	1/2	1/2	3/4	1	1	V7	0	-5.14553	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
96	96	0	0	3/4	1	1	V65	0.0222053	-4.58205	dcml	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
96	96	1/4	1/4	3/4	1	1	I	0.247449	-3.9342	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
96	96	1/2	1/2	3/4	1	1	V(6)/ii	-3.04079	-4.87624	dcml	A	I		V(6)/ii	V			6	ii			M	0	0	3, 7, -1		3	3
96	96	5/8	5/8	3/4	1	1	V2/ii	0	-4.07671	dcml	A	I		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
97	97	1/4	1/4	3/4	1	1	ii6	0.112622	-4.30195	dcml	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
97	97	1/2	1/2	3/4	1	1	iiio6	-0.563109	-4.25435	dcml	A	I		iiio6	iii	o	6					o	0	0	1, -2, 4		4	1
97	97	5/8	5/8	3/4	1	1	V2	0.247449	-4.23214	dcml	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
98	98	1/8	1/8	3/4	1	1	V43	0.112622	-3.62622	dcml	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
98	98	1/4	1/4	3/4	1	1	I6	0.112622	-3.75945	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
98	98	1/2	1/2	3/4	1	1	V7	-0.293456	-4.38955	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
98	98	5/8	5/8	3/4	1	1	V(64)	-0.675731	-4.35643	dcml	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
99	99	1/4	1/4	3/4	1	1	V7	-1.35146	-4.16393	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
99	99	1/2	1/2	3/4	1	1	V(6)	-1.77974	-4.55984	dcml	A	I		V(6)	V			6				M	0	0	1, 5, 4		1	1
99	99	5/8	5/8	3/4	1	1	V7	0.0222053	-4.14172	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
100	100	1/4	1/4	3/4	1	1	I\\	-0.680484	-4.09096	dcml	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
100	100	1/2	1/2	3/4	1	1	I	0.0992614	-4.13063	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
101	101	1/2	1/2	3/4	1	1	.bIII.I	-2.25244	-4.09572	dcml	A	bIII		I	I							M	0	0	0, 4, 1		0	0
105	105	0	0	3/4	1	1	I.V	0.247449	-4.72704	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
105	105	1/4	1/4	3/4	1	1	I\\	0	-4.72704	dcml	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
105	105	1/2	1/2	3/4	1	1	vi6	0	-5.22194	dcml	A	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
105	105	5/8	5/8	3/4	1	1	V6	0.989795	-4.97449	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
106	106	0	0	3/4	1	1	iii6	0	-3.98469	dcml	A	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
106	106	1/4	1/4	3/4	1	1	#iv	0.0222053	-4.0291	dcml	A	I		#iv	#iv							m	0	0	6, 3, 7		6	6
106	106	1/2	1/2	3/4	1	1	I6	0.247449	-4.23214	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
107	107	0	0	3/4	1	1	#vo6			dcml	A	I		#vo6	#v	o	6					o	0	0	5, 2, 8		8	5
107	107	1/4	1/4	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
107	107	1/2	1/2	3/4	1	1	vii6			dcml	A	I		vii6	vii		6					m	0	0	2, 6, 5		5	2
107	107	5/8	5/8	3/4	1	1	vi6			dcml	A	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
108	108	0	0	3/4	1	1	#viio6/V	-0.563109	-2.5	dcml	A	I		#viio6/V	#vii	o	6		V			o	0	0	10, 7, 13		13	10
108	108	1/4	1/4	3/4	1	1	V6	0	-2.4	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
108	108	1/2	1/2	3/4	1	1	vii			dcml	A	I		vii	vii							m	0	0	5, 2, 6		5	5
109	109	0	0	3/4	1	1	#viio/V	-2.13982	-2.61262	dcml	A	I		#viio/V	#vii	o			V			o	0	0	13, 10, 7		13	13
109	109	1/4	1/4	3/4	1	1	V			dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
109	109	1/2	1/2	3/4	1	1	#viio64/V	-3.94176	-2.5	dcml	A	I		#viio64/V	#vii	o	64		V			o	0	0	7, 13, 10		13	7
109	109	5/8	5/8	3/4	1	1	V6			dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
110	110	1/8	1/8	3/4	1	1	iii7			dcml	A	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
110	110	1/4	1/4	3/4	1	1	#ivo			dcml	A	I		#ivo	#iv	o						o	0	0	6, 3, 0		6	6
110	110	1/2	1/2	3/4	1	1	#vii%7/V	-4.16701	-4.17096	dcml	A	I		#vii%7/V	#vii	%	7		V			%7	0	0	13, 12, 19, 11		13	13
110	110	5/8	5/8	3/4	1	1	V	0.563109	-2.97109	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
111	111	0	0	3/4	1	1	#viio/vi	0	-3.73836	dcml	A	I		#viio/vi	#vii	o			vi			o	0	0	8, 5, 2		8	8
111	111	1/8	1/8	3/4	1	1	#viio64/vi			dcml	A	I		#viio64/vi	#vii	o	64		vi			o	0	0	2, 8, 5		8	2
111	111	1/4	1/4	3/4	1	1	vi			dcml	A	I		vi	vi							m	0	0	3, 0, 4		3	3
111	111	1/2	1/2	3/4	1	1	V64			dcml	A	I		V64	V		64					M	0	0	2, 1, 5		1	2
111	111	5/8	5/8	3/4	1	1	vi6			dcml	A	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
112	112	1/8	1/8	3/4	1	1	#vii%7/V	-4.73012	-2.61262	dcml	A	I		#vii%7/V	#vii	%	7		V			%7	0	0	13, 12, 19, 11		13	13
112	112	1/4	1/4	3/4	1	1	V6			dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
112	112	1/2	1/2	3/4	1	1	vii%7	-1.5545	-5.23668	dcml	A	I		vii%7	vii	%	7					%7	0	0	5, 4, 11, 3		5	5
112	112	5/8	5/8	3/4	1	1	I	1.0342	-4.04971	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
113	113	0	0	3/4	1	1	#viio/ii	-1.89237	-3.87048	dcml	A	I		#viio/ii	#vii	o			ii			o	0	0	7, 4, 1		7	7
113	113	1/4	1/4	3/4	1	1	ii	0	-3.89427	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
113	113	1/2	1/2	3/4	1	1	V(6)	-2.13982	-5.43973	dcml	A	I		V(6)	V			6				M	0	0	1, 5, 4		1	1
113	113	5/8	5/8	3/4	1	1	V7	0.337866	-4.41457	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
114	114	0	0	3/4	1	1	V65	0	-4.38917	dcml	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
114	114	1/4	1/4	3/4	1	1	viio6(112)	-1.35146	-4.11952	dcml	A	I		viio6(112)	vii	o	6	112				o	0	0	2, -1, 0	4	5	2
114	114	3/8	3/8	3/4	1	1	viio6	0	-3.91648	dcml	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
114	114	1/2	1/2	3/4	1	1	V7	0.247449	-3.98469	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
115	115	1/2	1/2	3/4	1	1	vii%7	-0.450487	-4.07671	dcml	A	I		vii%7	vii	%	7					%7	0	0	5, 4, 11, 3		5	5
116	116	0	0	3/4	1	1	IV			dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
117	117	0	0	3/4	1	1	I(112)			dcml	A	I		I(112)	I			112				M	0	0	2, 4, 1	-1	0	2
117	117	1/4	1/4	3/4	1	1	I	0.112622	-2.61102	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
118	118	0	0	3/4	1	1	IV			dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
118	118	1/4	1/4	3/4	1	1	vii%43			dcml	A	I		vii%43	vii	%	43					%7	0	0	11, 3, 5, 4		5	11
118	118	1/2	1/2	3/4	1	1	viio6			dcml	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
119	119	0	0	3/4	1	1	I(112)			dcml	A	I		I(112)	I			112				M	0	0	2, 4, 1	-1	0	2
119	119	1/4	1/4	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
120	120	0	0	3/4	1	1	V6(64)			dcml	A	I		V6(64)	V		6	64				M	0	0	0, 4, 1		1	0
120	120	1/4	1/4	3/4	1	1	V6			dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
121	121	0	0	3/4	1	1	V7			dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
121	121	1/4	1/4	3/4	1	1	V(64)	-0.337866	-2.38738	dcml	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
122	122	0	0	3/4	1	1	V(64)	-3.37866	-2.61262	dcml	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
122	122	1/4	1/4	3/4	1	1	V			dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
123	123	0	0	3/4	1	1	V6	-0.225244	-5.04419	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
123	123	1/4	1/4	3/4	1	1	I	0.112622	-5.82754	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
124	124	0	0	3/4	1	1	viio	0.112622	-3.17413	dcml	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
124	124	1/4	1/4	3/4	1	1	I(42)	0.112622	-2.9473	dcml	A	I		I(42)	I			42				M	0	0	2, -1, 1		0	2
124	124	1/2	1/2	3/4	1	1	I	0.539308	-2.85688	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
125	125	0	0	3/4	1	1	V7	0.134827	-2.92349	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
125	125	1/4	1/4	3/4	1	1	I\\	0	-2.85688	dcml	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
126	126	0	0	3/4	1	1	I[I	1.68933	-5.19973	dcml	A	I	I	I	I							M	0	0	0, 4, 1		0	0
130	130	0	0	3/4	1	1	IV	0	-6.48747	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
130	130	1/4	1/4	3/4	1	1	I6	0	-6.53492	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
130	130	1/2	1/2	3/4	1	1	ii	0	-6.07196	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
131	131	0	0	3/4	1	1	I6	0	-4.82523	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
131	131	1/4	1/4	3/4	1	1	V64	0	-3.98469	dcml	A	I		V64	V		64					M	0	0	2, 1, 5		1	2
131	131	1/2	1/2	3/4	1	1	I	0	-4.23214	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
132	132	0	0	3/4	1	1	ii	0	-5.31071	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
132	132	1/4	1/4	3/4	1	1	I	0.247449	-6.08134	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
132	132	1/2	1/2	3/4	1	1	ii	0	-6.3335	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
133	133	1/4	1/4	3/4	1	1	I6	0	-5.75455	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
134	134	0	0	3/4	1	1	IV	-0.247449	-6.36382	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
134	134	1/4	1/4	3/4	1	1	I6	0	-6.56358	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
134	134	1/2	1/2	3/4	1	1	ii	0.247449	-7.11947	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
135	135	0	0	3/4	1	1	I6	-0.247449	-6.99427	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
135	135	1/2	1/2	3/4	1	1	I	0.225244	-6.89785	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
136	136	0	0	3/4	1	1	ii	0	-6.54636	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
136	136	1/4	1/4	3/4	1	1	I	0	-6.22369	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
136	136	1/2	1/2	3/4	1	1	ii	0	-5.7466	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
137	137	0	0	3/4	1	1	I64	0	-5.34853	dcml	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
137	137	1/2	1/2	3/4	1	1	I	0.225244	-4.25993	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
141	141	0	0	3/4	1	1	IV	0	-6.23236	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
141	141	1/4	1/4	3/4	1	1	I6	0.247449	-6.61459	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
141	141	1/2	1/2	3/4	1	1	ii	0	-6.17952	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
142	142	0	0	3/4	1	1	I6	0.247449	-4.97449	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
142	142	1/4	1/4	3/4	1	1	V64	0	-5.22194	dcml	A	I		V64	V		64					M	0	0	2, 1, 5		1	2
142	142	1/2	1/2	3/4	1	1	I	0	-5.22194	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
143	143	0	0	3/4	1	1	ii	0	-5.41655	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
143	143	1/4	1/4	3/4	1	1	I	0.247449	-6.17436	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
143	143	1/2	1/2	3/4	1	1	ii	0	-6.11121	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
144	144	1/4	1/4	3/4	1	1	I6	0	-4.72704	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
145	145	0	0	3/4	1	1	IV	0	-6.11121	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
145	145	1/4	1/4	3/4	1	1	I6	0.247449	-6.58501	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
145	145	1/2	1/2	3/4	1	1	ii	0	-7.40183	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
146	146	0	0	3/4	1	1	I6	0	-7.8	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
146	146	1/2	1/2	3/4	1	1	I	0.112622	-7.8	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
147	147	0	0	3/4	1	1	ii	0	-7.69098	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
147	147	1/4	1/4	3/4	1	1	I	0	-6.66972	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
147	147	1/2	1/2	3/4	1	1	IV	0	-6.1701	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
148	148	0	0	3/4	1	1	I]	0	-3.73724	dcml	A	I		I	I					]		M	0	0	0, 4, 1		0	0
148	148	1/2	1/2	3/4	1	1	V65/vi			dcml	A	I		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
149	149	0	0	3/4	1	1	V6/vi	-0.0222053	-2.72349	dcml	A	I		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
149	149	1/2	1/2	3/4	1	1	vi	-0.0682122	-2.78866	dcml	A	I		vi	vi							m	0	0	3, 0, 4		3	3
150	150	1/2	1/2	3/4	1	1	V6/V			dcml	A	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
151	151	1/2	1/2	3/4	1	1	V			dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
152	152	1/2	1/2	3/4	1	1	V.V43	-0.112622	-3.56418	dcml	A	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
154	154	0	0	3/4	1	1	V6	-0.134827	-4.7063	dcml	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
154	154	1/2	1/2	3/4	1	1	I	0.0444096	-4.61748	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
155	155	0	0	3/4	1	1	V(64)	0.112622	-4.41115	dcml	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
155	155	1/2	1/2	3/4	1	1	V7	0	-2.92509	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
156	156	0	0	3/4	1	1	I\\			dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
156	156	1/8	1/8	3/4	1	1	I	0	-3.50865	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
156	156	1/2	1/2	3/4	1	1	V6/ii			dcml	A	V		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
157	157	1/2	1/2	3/4	1	1	ii6			dcml	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
158	158	1/2	1/2	3/4	1	1	V6			dcml	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
159	159	1/2	1/2	3/4	1	1	I6	-0.112622	-2.22715	dcml	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
160	160	1/4	1/4	3/4	1	1	I	0	-2.49681	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
160	160	1/2	1/2	3/4	1	1	I.V6/ii			dcml	A	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
161	161	0	0	3/4	1	1	V65/ii			dcml	A	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
161	161	1/2	1/2	3/4	1	1	ii			dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
162	162	1/2	1/2	3/4	1	1	V6			dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
163	163	1/2	1/2	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
164	164	1/2	1/2	3/4	1	1	V.I	0	-4.09572	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
165	165	1/2	1/2	3/4	1	1	V65	-1.0136	-4.20834	dcml	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
166	166	1/2	1/2	3/4	1	1	I	0.112622	-4.07511	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
167	167	1/2	1/2	3/4	1	1	V	-0.563109	-3.66903	dcml	A	V		V	V							M	0	0	1, 5, 2		1	1
168	168	1/2	1/2	3/4	1	1	I	0.247449	-3.73724	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
169	169	1/2	1/2	3/4	1	1	V65	-1.23884	-3.48979	dcml	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
170	170	1/2	1/2	3/4	1	1	I	0	-3.96089	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
171	171	1/2	1/2	3/4	1	1	V	0	-4.11792	dcml	A	V		V	V							M	0	0	1, 5, 2		1	1
172	172	1/2	1/2	3/4	1	1	V6/ii	0	-3.17573	dcml	A	V		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
173	173	1/2	1/2	3/4	1	1	ii	0	-3.66903	dcml	A	V		ii	ii							m	0	0	2, -1, 3		2	2
174	174	1/2	1/2	3/4	1	1	V6			dcml	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
175	175	1/2	1/2	3/4	1	1	I	0.494897	-3.51041	dcml	A	V		I	I							M	0	0	0, 4, 1		0	0
176	176	1/2	1/2	3/4	1	1	V43	-0.247449	-3.80386	dcml	A	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
178	178	0	0	3/4	1	1	I6	0	-3.55641	dcml	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
178	178	1/2	1/2	3/4	1	1	IV	0	-3.17573	dcml	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
179	179	0	0	3/4	1	1	V(64)	0	-2.95049	dcml	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
179	179	1/2	1/2	3/4	1	1	V7	-0.112622	-3.06311	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
180	180	0	0	3/4	1	1	I\\	0	-2.60943	dcml	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
180	180	1/4	1/4	3/4	1	1	I.V6	0.0222053	-2.29377	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
180	180	1/2	1/2	3/4	1	1	V65/ii	0.539308	-2.57722	dcml	A	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
181	181	1/2	1/2	3/4	1	1	ii6	0	-2.27476	dcml	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
182	182	1/2	1/2	3/4	1	1	V6	0	-2.04951	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
183	183	1/2	1/2	3/4	1	1	I6	-0.112622	-1.93689	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
184	184	1/2	1/2	3/4	1	1	I	-0.112622	-1.82427	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
185	185	1/2	1/2	3/4	1	1	V7	-0.112622	-4.6386	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
186	186	1/2	1/2	3/4	1	1	I	0.0222053	-2.76646	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
187	187	1/2	1/2	3/4	1	1	V			dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
188	188	1/2	1/2	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
189	189	1/2	1/2	3/4	1	1	V7	0.0904165	-4.48178	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
190	190	1/2	1/2	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
191	191	1/2	1/2	3/4	1	1	V	0	-1.84328	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
192	192	1/2	1/2	3/4	1	1	@none	0.0444096	-2.33817	dcml	A	I		@none	@none							m	0	0				
193	193	1/2	1/2	3/4	1	1	ii6	-2.02719	-3.30896	dcml	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
193	193	5/8	5/8	3/4	1	1	#viio6/ii	-2.5903	-4.82061	dcml	A	I		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
194	194	0	0	3/4	1	1	ii6	1.0136	-5.12626	dcml	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
194	194	1/4	1/4	3/4	1	1	ii	0	-4.54717	dcml	A	I		ii	ii							m	0	0	2, -1, 3		2	2
194	194	3/8	3/8	3/4	1	1	ii6	-0.112622	-3.65152	dcml	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
194	194	1/2	1/2	3/4	1	1	V6	0.112622	-2.83787	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
195	195	0	0	3/4	1	1	V			dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
195	195	1/2	1/2	3/4	1	1	I6	0	-3.66681	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
195	195	5/8	5/8	3/4	1	1	viio6	0	-4.2575	dcml	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
196	196	0	0	3/4	1	1	I6	0	-4.48674	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
196	196	1/8	1/8	3/4	1	1	viio6	-1.68933	-4.45053	dcml	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
196	196	1/4	1/4	3/4	1	1	I	0	-4.10467	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
196	196	3/8	3/8	3/4	1	1	I6	0	-4.18109	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
196	196	1/2	1/2	3/4	1	1	IV6	-0.112622	-2.67764	dcml	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
197	197	1/4	1/4	3/4	1	1	IV	0	-2.83467	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
198	198	0	0	3/4	1	1	I6	0	-2.72205	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
198	198	1/2	1/2	3/4	1	1	IV	0	-2.47619	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
199	199	0	0	3/4	1	1	V(64)			dcml	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
199	199	1/2	1/2	3/4	1	1	V7			dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
200	200	0	0	3/4	1	1	I\\			dcml	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
200	200	1/8	1/8	3/4	1	1	I			dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
200	200	1/2	1/2	3/4	1	1	V6/ii			dcml	A	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
