mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	1	1	.Eb.I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	2/2	1	1	V2/IV			dcml	Eb	I		V2/IV	V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
1	1	7/8	7/8	2/2	1	1	IV6			dcml	Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
2	2	0	0	2/2	1	1	V43/IV			dcml	Eb	I		V43/IV	V		43		IV		Mm7	0	0	1, -2, 0, 4		0	1
3	3	0	0	2/2	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
3	3	1/2	1/2	2/2	1	1	V2/IV			dcml	Eb	I		V2/IV	V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
3	3	7/8	7/8	2/2	1	1	IV6			dcml	Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
4	4	0	0	2/2	1	1	viio65/ii	-1.17551	-2.36939	dcml	Eb	I		viio65/ii	vii	o	65		ii		o7	0	0	-3, -6, -9, 0		0	-3
5	5	0	0	2/2	1	1	.bVII6(6+#7)	-6.00815	-2.36939	dcml	Eb	I		bVII6(6+#7)	bVII		6	6+#7			M	0	0	2, 1, -2	10	-2	2
5	5	1/2	1/2	2/2	1	1	.bVII6	-1.69796	-2.36939	dcml	Eb	I		bVII6	bVII		6				M	0	0	2, -1, -2		-2	2
5	5	3/4	3/4	2/2	1	1	V7	0.261224	-2.5	dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	0	0	2/2	1	1	I(9+74)			dcml	Eb	I		I(9+74)	I			9+74			M	0	0	0, -1, 1	2, 5	0	0
6	6	1/4	1/4	2/2	1	1	I(+7b64)	0	-2.63061	dcml	Eb	I		I(+7b64)	I			+7b64			M	0	0	0, -1, -4	5	0	0
6	6	1/2	1/2	2/2	1	1	I			dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
6	6	3/4	3/4	2/2	1	1	V6/V			dcml	Eb	I		V6/V	V		6		V		M	0	0	6, 3, 2		2	6
7	7	0	0	2/2	1	1	V7(4)	0	-2.99902	dcml	Eb	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
7	7	1/4	1/4	2/2	1	1	V7			dcml	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	1/2	1/2	2/2	1	1	V7(9)			dcml	Eb	I		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
7	7	3/4	3/4	2/2	1	1	V(64)			dcml	Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
8	8	0	0	2/2	1	1	V7/ii			dcml	Eb	I		V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
8	8	1/4	1/4	2/2	1	1	V(64)/ii	-0.65306	-2.46939	dcml	Eb	I		V(64)/ii	V			64	ii		M	0	0	3, 2, -1		3	3
8	8	1/2	1/2	2/2	1	1	V43			dcml	Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
8	8	3/4	3/4	2/2	1	1	I6			dcml	Eb	I		I6	I		6				M	0	0	4, 1, 0		0	4
9	9	0	0	2/2	1	1	ii6(2)			dcml	Eb	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2	-1
9	9	5/16	5/16	2/2	1	1	ii6			dcml	Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
9	9	3/4	3/4	2/2	1	1	ii			dcml	Eb	I		ii	ii						m	0	0	2, -1, 3		2	2
10	10	1/4	1/4	2/2	1	1	ii%2			dcml	Eb	I		ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2	0
10	10	1/2	1/2	2/2	1	1	V65			dcml	Eb	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
10	10	3/4	3/4	2/2	1	1	I	0	-3.59785	dcml	Eb	I		I	I						M	0	0	0, 4, 1		0	0
10	10	15/16	15/16	2/2	1	1	I6	0	-3.29844	dcml	Eb	I		I6	I		6				M	0	0	4, 1, 0		0	4
11	11	0	0	2/2	1	1	ii65			dcml	Eb	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
11	11	3/4	3/4	2/2	1	1	I64	-1.26817	-2.5	dcml	Eb	I		I64	I		64				M	0	0	1, 0, 4		0	1
11	11	7/8	7/8	2/2	1	1	IV6			dcml	Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
12	12	0	0	2/2	1	1	V(64)			dcml	Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
12	12	1/4	1/4	2/2	1	1	V65/V			dcml	Eb	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
12	12	5/8	5/8	2/2	1	1	V43/IV			dcml	Eb	I		V43/IV	V		43		IV		Mm7	0	0	1, -2, 0, 4		0	1
12	12	3/4	3/4	2/2	1	1	IV6			dcml	Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
12	12	7/8	7/8	2/2	1	1	V2/IV			dcml	Eb	I		V2/IV	V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
13	13	0	0	2/2	1	1	IV6			dcml	Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
13	13	1/4	1/4	2/2	1	1	V43/IV			dcml	Eb	I		V43/IV	V		43		IV		Mm7	0	0	1, -2, 0, 4		0	1
13	13	1/2	1/2	2/2	1	1	V65/IV			dcml	Eb	I		V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
14	14	0	0	2/2	1	1	V/ii			dcml	Eb	I		V/ii	V				ii		M	0	0	3, 7, 4		3	3
14	14	1/2	1/2	2/2	1	1	V65/ii	0	-3.05774	dcml	Eb	I		V65/ii	V		65		ii		Mm7	0	0	7, 4, 1, 3		3	7
14	14	7/8	7/8	2/2	1	1	ii	0	-2.87183	dcml	Eb	I		ii	ii						m	0	0	2, -1, 3		2	2
15	15	0	0	2/2	1	1	ii43			dcml	Eb	I		ii43	ii		43				mm7	0	0	3, 0, 2, -1		2	3
15	15	3/4	3/4	2/2	1	1	I64	-0.130612	-2.5	dcml	Eb	I		I64	I		64				M	0	0	1, 0, 4		0	1
16	16	0	0	2/2	1	1	V(64)	0	-2.8577	dcml	Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
16	16	1/4	1/4	2/2	1	1	V43/V	-0.625983	-3.22649	dcml	Eb	I		V43/V	V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
16	16	1/2	1/2	2/2	1	1	V2/IV	-0.357705	-3.28782	dcml	Eb	I		V2/IV	V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
16	16	3/4	3/4	2/2	1	1	IV6	-0.336541	-3.05301	dcml	Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
16	16	7/8	7/8	2/2	1	1	V43/IV	-0.83224	-2.93666	dcml	Eb	I		V43/IV	V		43		IV		Mm7	0	0	1, -2, 0, 4		0	1
17	17	0	0	2/2	1	1	IV6	0	-3.93899	dcml	Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
17	17	1/4	1/4	2/2	1	1	V2/IV	0.148567	-5.41897	dcml	Eb	I		V2/IV	V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
17	17	1/2	1/2	2/2	1	1	V65/IV	0.409791	-3.93427	dcml	Eb	I		V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
18	18	0	0	2/2	1	1	iv			dcml	Eb	I		iv	iv						m	0	0	-1, -4, 0		-1	-1
18	18	1/2	1/2	2/2	1	1	ivo			dcml	Eb	I		ivo	iv	o					o	0	0	-1, -4, -7		-1	-1
18	18	7/8	7/8	2/2	1	1	iv			dcml	Eb	I		iv	iv						m	0	0	-1, -4, 0		-1	-1
19	19	3/8	3/8	2/2	1	1	iv(b6)			dcml	Eb	I		iv(b6)	iv			b6			m	0	0	-1, -4, -5		-1	-1
19	19	7/8	7/8	2/2	1	1	iv(6)	-0.783672	-2.5	dcml	Eb	I		iv(6)	iv			6			m	0	0	-1, -4, 2		-1	-1
20	20	0	0	2/2	1	1	v			dcml	Eb	I		v	v						m	0	0	1, -2, 2		1	1
20	20	3/8	3/8	2/2	1	1	v(b6)			dcml	Eb	I		v(b6)	v			b6			m	0	0	1, -2, -3		1	1
20	20	7/8	7/8	2/2	1	1	v(6)	-1.76731	-2.63061	dcml	Eb	I		v(6)	v			6			m	0	0	1, -2, 4		1	1
21	21	0	0	2/2	1	1	iv(97b4)	0	-2.7049	dcml	Eb	I		iv(97b4)	iv			97b4			m	0	0	-1, -2, 0	1, 4	-1	-1
