mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
2	1	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
2	1	1/8	1/8	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
3	2	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
3	2	1/8	1/8	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
4	3	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
4	3	1/8	1/8	3/8	1	1		V43/V				V43/V		V		43		V				Mm7	3, 0, 2, 6		2	3
4	3	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
5	4	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
5	4	1/4	1/4	3/8	1	1		V65/IV				V65/IV		V		65		IV				Mm7	4, 1, -2, 0		0	4
6	5	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
6	5	1/8	1/8	3/8	1	1		#viio6/vi				#viio6/vi		#vii	o	6		vi				o	-2, -5, 1		1	-2
6	5	1/4	1/4	3/8	1	1		#viio/ii				#viio/ii		#vii	o			ii				o	7, 4, 1		7	7
7	6	0	0	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
7	6	1/8	1/8	3/8	1	1		V6/vi				V6/vi		V		6		vi				M	1, -2, -3		-3	1
7	6	1/4	1/4	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
8	7	0	0	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
8	7	1/8	1/8	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
8	7	1/4	1/4	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
9	8	0	0	3/8	1	1		V\\				V		V							\\	M	1, 5, 2		1	1
10	9	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
10	9	1/8	1/8	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
11	10	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
11	10	1/8	1/8	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
12	11	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
12	11	1/8	1/8	3/8	1	1		V43/V				V43/V		V		43		V				Mm7	3, 0, 2, 6		2	3
12	11	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
13	12	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
13	12	1/4	1/4	3/8	1	1		V65/IV				V65/IV		V		65		IV				Mm7	4, 1, -2, 0		0	4
14	13	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
14	13	1/8	1/8	3/8	1	1		vii%7				vii%7		vii	%	7						%7	-2, -5, -8, -4		-2	-2
14	13	1/4	1/4	3/8	1	1		#viio/ii				#viio/ii		#vii	o			ii				o	7, 4, 1		7	7
15	14	0	0	3/8	1	1		ii(119)				ii(119)		ii			119					m	2, -1, 3	1, -3	2	2
15	14	1/8	1/8	3/8	1	1		#viio7/vi				#viio7/vi		#vii	o	7		vi				o7	1, -2, -5, -8		1	1
15	14	1/4	1/4	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
16	15	0	0	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
16	15	1/8	1/8	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
16	15	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
17	16	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
18	17	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
19	18	0	0	3/8	1	1		V.V6(4)		V		V6(4)		V		6	4					M	0, 2, 1		1	0
19	18	1/8	1/8	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
20	19	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
20	19	1/8	1/8	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
20	19	1/4	1/4	3/8	1	1		V(9)				V(9)		V			9					M	1, 5, 2	-4	1	1
21	20	0	0	3/8	1	1		I(4)				I(4)		I			4					M	0, -1, 1		0	0
21	20	1/8	1/8	3/8	1	1		I				I		I								M	0, 4, 1		0	0
22	21	1/8	1/8	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
22	21	1/4	1/4	3/8	1	1		I				I		I								M	0, 4, 1		0	0
23	22	0	0	3/8	1	1		V(4)/V				V(4)/V		V			4	V				M	2, 1, 3		2	2
23	22	1/8	1/8	3/8	1	1		V/V				V/V		V				V				M	2, 6, 3		2	2
24	23	0	0	3/8	1	1		V/V				V/V		V				V				M	2, 6, 3		2	2
24	23	1/8	1/8	3/8	1	1		V6/V				V6/V		V		6		V				M	6, 3, 2		2	6
24	23	1/4	1/4	3/8	1	1		V/V				V/V		V				V				M	2, 6, 3		2	2
25	24	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
25	24	1/4	1/4	3/8	1	1		V65/V				V65/V		V		65		V				Mm7	6, 3, 0, 2		2	6
26	25	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
26	25	1/4	1/4	3/8	1	1		V65/V				V65/V		V		65		V				Mm7	6, 3, 0, 2		2	6
27	26	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
28	27	1/4	1/4	3/8	1	1		V65/V				V65/V		V		65		V				Mm7	6, 3, 0, 2		2	6
29	28	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
29	28	1/4	1/4	3/8	1	1		V65/V				V65/V		V		65		V				Mm7	6, 3, 0, 2		2	6
30	29	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
30	29	1/4	1/4	3/8	1	1		V65/V				V65/V		V		65		V				Mm7	6, 3, 0, 2		2	6
31	30	0	0	3/8	1	1		V\\				V		V							\\	M	1, 5, 2		1	1
32	31	0	0	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
32	31	1/8	1/8	3/8	1	1		V				V		V								M	1, 5, 2		1	1
33	32	0	0	3/8	1	1		V43				V43		V		43						Mm7	2, -1, 1, 5		1	2
33	32	1/8	1/8	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
34	33	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
35	34	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
36	35	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
37	36	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
38	37	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
39	38	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
39	38	1/4	1/4	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
40	39	0	0	3/8	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
40	39	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
