mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6/8	1	1	.Db.I6	0	-1.52313	dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
2	2	3/8	3/8	6/8	1	1	I	0.26642	-1.52313	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
3	3	3/8	3/8	6/8	1	1	V43	0	-1.34551	dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
4	4	0	0	6/8	1	1	I	0	-1.34551	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
4	4	3/8	3/8	6/8	1	1	V65	0.0888065	-1.34551	dcml	Db	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
5	5	0	0	6/8	1	1	I	0	-1.34551	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
5	5	3/8	3/8	6/8	1	1	V43	0.0888065	-1.34551	dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
6	6	0	0	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
6	6	3/8	3/8	6/8	1	1	V(64)			dcml	Db	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
6	6	1/2	1/2	6/8	1	1	V			dcml	Db	I		V		V						M	0	0	1, 5, 2		1	1
6	6	5/8	5/8	6/8	1	1	ii6			dcml	Db	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
7	7	0	0	6/8	1	1	V7/vi			dcml	Db	I		V7/vi		V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
7	7	3/8	3/8	6/8	1	1	vi			dcml	Db	I		vi		vi						m	0	0	3, 0, 4		3	3
8	8	0	0	6/8	1	1	V6/ii			dcml	Db	I		V6/ii		V		6		ii		M	0	0	7, 4, 3		3	7
8	8	3/8	3/8	6/8	1	1	ii			dcml	Db	I		ii		ii						m	0	0	2, -1, 3		2	2
9	9	0	0	6/8	1	1	V65			dcml	Db	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
9	9	3/8	3/8	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
9	9	5/8	5/8	6/8	1	1	I6			dcml	Db	I		I6		I		6				M	0	0	4, 1, 0		0	4
10	10	0	0	6/8	1	1	V(64)	-0.177613	-1.70074	dcml	Db	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
10	10	1/4	1/4	6/8	1	1	V7	0	-1.70074	dcml	Db	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
10	10	3/8	3/8	6/8	1	1	I\\	0.585368	-1.70074	dcml	Db	I		I		I					\\	M	0	0	0, 4, 1		0	0
11	11	0	0	6/8	1	1	V(64)			dcml	Db	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
11	11	1/4	1/4	6/8	1	1	V7			dcml	Db	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	3/8	3/8	6/8	1	1	I\\			dcml	Db	I		I		I					\\	M	0	0	0, 4, 1		0	0
11	11	5/8	5/8	6/8	1	1	IV6			dcml	Db	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
12	12	0	0	6/8	1	1	V(64)			dcml	Db	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
12	12	1/4	1/4	6/8	1	1	V7			dcml	Db	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
12	12	3/8	3/8	6/8	1	1	I\\			dcml	Db	I		I		I					\\	M	0	0	0, 4, 1		0	0
12	12	1/2	1/2	6/8	1	1	I(64)			dcml	Db	I		I(64)		I			64			M	0	0	0, -1, 3		0	0
12	12	5/8	5/8	6/8	1	1	I(94)			dcml	Db	I		I(94)		I			94			M	0	0	0, -1, 1	2	0	0
13	13	0	0	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
13	13	3/8	3/8	6/8	1	1	V43(4)	0	-2.64634	dcml	Db	I		V43(4)		V		43	4			Mm7	0	0	2, -1, 1, 0		1	2
13	13	5/8	5/8	6/8	1	1	V43			dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
14	14	0	0	6/8	1	1	I	0	-1.78955	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
14	14	3/8	3/8	6/8	1	1	V65(6)	0	-2.87061	dcml	Db	I		V65(6)		V		65	6			Mm7	0	0	5, 4, -1, 1		1	5
14	14	5/8	5/8	6/8	1	1	V65	0.177613	-1.52313	dcml	Db	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
15	15	0	0	6/8	1	1	viio7	0.0888065	-2.00883	dcml	Db	I		viio7		vii	o	7				o7	0	0	5, 2, -1, -4		5	5
15	15	1/4	1/4	6/8	1	1	I	0.585368	-1.70074	dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
15	15	5/8	5/8	6/8	1	1	V43	0	-1.34551	dcml	Db	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
16	16	1/4	1/4	6/8	1	1	I			dcml	Db	I		I		I						M	0	0	0, 4, 1		0	0
16	16	3/8	3/8	6/8	1	1	#viio7/vii			dcml	Db	I		#viio7/vii		#vii	o	7		vii		o7	0	0	10, 7, 4, 1		10	10
16	16	5/8	5/8	6/8	1	1	V6			dcml	Db	I		V6		V		6				M	0	0	5, 2, 1		1	5
17	17	0	0	6/8	1	1	#viio2/iii	0	-3.19458	dcml	Db	I		#viio2/iii		#vii	o	2		iii		o7	0	0	0, 9, 6, 3		9	0
17	17	1/4	1/4	6/8	1	1	III6			dcml	Db	I		III6		III		6				M	0	0	8, 5, 4		4	8
17	17	3/8	3/8	6/8	1	1	III			dcml	Db	I		III		III						M	0	0	4, 8, 5		4	4
17	17	5/8	5/8	6/8	1	1	VI			dcml	Db	I		VI		VI						M	0	0	3, 7, 4		3	3
18	18	0	0	6/8	1	1	ii.It6	-0.682929	-3.52439	dcml	Db	ii		It6	It	vii	o	6	b3	V		M	0	1	-4, 0, 6		6	-4
18	18	1/4	1/4	6/8	1	1	V/ii	0.146342	-3.52439	dcml	Db	ii		V/ii		V				ii		M	0	1	3, 7, 4		3	3
18	18	5/8	5/8	6/8	1	1	i	0.0888065	-3.49313	dcml	Db	ii		i		i						m	0	1	0, -3, 1		0	0
19	19	0	0	6/8	1	1	I.#viio43/V	-3.46346	-3.50703	dcml	Db	I		#viio43/V		#vii	o	43		V		o7	0	0	7, 4, 13, 10		13	7
19	19	1/4	1/4	6/8	1	1	V6	0.292684	-3.52439	dcml	Db	I		V6		V		6				M	0	0	5, 2, 1		1	5
19	19	3/8	3/8	6/8	1	1	V65	-0.00900009	-3.58347	dcml	Db	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
