quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	1	0	0	3/4	4	1		1	a.i(6)		dcml	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
1	2.0	1	1	1/4	1/4	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
3	1.0	2	2	0	0	3/4	4	1		1	V43(+2)		dcml	a	i		V43(+2)		V		43	+2				Mm7	1	1	2, -1, 1, 5	-4	1	2
4	2.0	2	2	1/4	1/4	3/4	4	1		1	V43		dcml	a	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
6	1.0	3	3	0	0	3/4	4	1		1	i(6)		dcml	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
7	2.0	3	3	1/4	1/4	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
9	2.0	4	4	0	0	3/4	4	1		1	V43(4+2)		dcml	a	i		V43(4+2)		V		43	4+2				Mm7	1	1	2, -1, 1, 0	-4	1	2
11	1.0	4	4	1/2	1/2	3/4	4	1		1	V43		dcml	a	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
12	1.0	5	5	0	0	3/4	4	1		1	i(6)		dcml	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
13	2.0	5	5	1/4	1/4	3/4	4	1		1	i		dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
15	1.0	6	6	0	0	3/4	4	1		1	V6(2)		dcml	a	i		V6(2)		V		6	2				M	1	1	5, 2, -4		1	5
16	2.0	6	6	1/4	1/4	3/4	4	1		1	V6		dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
18	1.0	7	7	0	0	3/4	4	1		1	V64(+4)/VI		dcml	a	i		V64(+4)/VI		V		64	+4	VI			M	1	1	-2, -3, 1	-4	-3	-2
19	2.0	7	7	1/4	1/4	3/4	4	1		1	V43/VI		dcml	a	i		V43/VI		V		43		VI			Mm7	1	1	-2, -5, -3, 1		-3	-2
