mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	3/2	4	1		f.#viio6	f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
1	1	2	4.0	1/2	1/2	3/2	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	6	3.0	0	0	3/2	4	1		i64	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
2	2	9	0.5	3/4	3/4	3/2	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	19/2	0.5	7/8	7/8	3/2	4	1		#viio6	f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	10	2.0	1	1	3/2	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
3	3	12	2.0	0	0	3/2	4	1		i64	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
3	3	14	4.0	1/2	1/2	3/2	4	1		iv6	f	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	18	4.0	0	0	3/2	4	1		iv64	f	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
4	4	22	8.0	1	1	3/2	4	1		IV2	f	i		IV2	IV		2					Mm7	1	1	-3, -1, 3, 0		-1	-3
6	6	30	6.0	0	0	3/2	4	1		#viio43	f	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
7	7	36	2.0	0	0	3/2	4	1		#viio2	f	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
7	7	38	4.0	1/2	1/2	3/2	4	1		#viio7	f	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
8	8	42	2.0	0	0	3/2	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
8	8	44	6.0	1/2	1/2	3/2	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
9	9	50	4.0	1/2	1/2	3/2	4	1		#viio65	f	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
10	10	54	2.0	0	0	3/2	4	1		V	f	i		V	V							M	1	1	1, 5, 2		1	1
10	10	56	4.0	1/2	1/2	3/2	4	1		V65(+2)	f	i		V65(+2)	V		65	+2				Mm7	1	1	5, 2, -1, 1	-4	1	5
11	11	60	2.0	0	0	3/2	4	1		V	f	i		V	V							M	1	1	1, 5, 2		1	1
11	11	62	4.0	1/2	1/2	3/2	4	1		V65(+2)	f	i		V65(+2)	V		65	+2				Mm7	1	1	5, 2, -1, 1	-4	1	5
12	12	66	6.0	0	0	3/2	4	1		V	f	i		V	V							M	1	1	1, 5, 2		1	1
13	13	72	2.0	0	0	4/4	4	1		V	f	i		V	V							M	1	1	1, 5, 2		1	1
13	13	74	2.0	1/2	1/2	4/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
14	14	76	3.0	0	0	4/4	4	1		V	f	i		V	V							M	1	1	1, 5, 2		1	1
14	14	79	1.0	3/4	3/4	4/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
15	15	80	2.0	0	0	4/4	4	1		I(+4)	f	i		I(+4)	I			+4				M	1	1	0, 4, 1	-1	0	0
15	15	82	4.0	1/2	1/2	4/4	4	1		I64	f	i		I64	I		64					M	1	1	1, 0, 4		0	1
16	16	86	2.0	1/2	1/2	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
