mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.F.I64		0.00670904	-2.50671	dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
1	1	3/4	3/4	4/4	1	1	I				dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
2	2	0	0	4/4	1	1	I64				dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
3	3	0	0	4/4	1	1	I64		2.13751	-2.09922	dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
3	3	1/2	1/2	4/4	1	1	I				dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
4	4	0	0	4/4	1	1	I64				dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
5	5	0	0	4/4	1	1	I	vi7			dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
6	6	0	0	4/4	1	1	I				dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
7	7	0	0	4/4	1	1	I64				dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
7	7	1/2	1/2	4/4	1	1	V43				dcml	F	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
10	10	0	0	4/4	1	1	V43(4)				dcml	F	I		V43(4)		V		43	4			Mm7	0	0	2, -1, 1, 0		1	2
10	10	3/4	3/4	4/4	1	1	V43				dcml	F	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
17	17	0	0	4/4	1	1	V(+2)		-0.292684	-3.81708	dcml	F	I		V(+2)		V			+2			M	0	0	1, 5, 2	3	1	1
18	18	0	0	4/4	1	1	V7		-0.439026	-4.10976	dcml	F	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
19	19	0	0	4/4	1	1	I\\		0.439026	-4.84147	dcml	F	I		I		I					\\	M	0	0	0, 4, 1		0	0
19	19	3/4	3/4	4/4	1	1	I6				dcml	F	I		I6		I		6				M	0	0	4, 1, 0		0	4
20	20	0	0	4/4	1	1	IV				dcml	F	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
20	20	1/4	1/4	4/4	1	1	IV6				dcml	F	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
20	20	1/2	1/2	4/4	1	1	I64				dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
21	21	0	0	4/4	1	1	IV				dcml	F	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
21	21	1/4	1/4	4/4	1	1	IV6				dcml	F	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
21	21	1/2	1/2	4/4	1	1	I64				dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
22	22	0	0	4/4	1	1	IV				dcml	F	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
22	22	1/4	1/4	4/4	1	1	IV6				dcml	F	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
22	22	1/2	1/2	4/4	1	1	#viio65/V		-1.22438	-2.5	dcml	F	I		#viio65/V		#vii	o	65		V		o7	0	0	10, 7, 4, 13		13	10
23	23	0	0	4/4	1	1	V6		0.725563	-2.47544	dcml	F	I		V6		V		6				M	0	0	5, 2, 1		1	5
23	23	1/2	1/2	4/4	1	1	V		0	-2.41119	dcml	F	I		V		V						M	0	0	1, 5, 2		1	1
24	24	0	0	4/4	1	1	#viio7/vi				dcml	F	I		#viio7/vi		#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
24	24	1/4	1/4	4/4	1	1	#viio65/vi				dcml	F	I		#viio65/vi		#vii	o	65		vi		o7	0	0	5, 2, -1, 8		8	5
24	24	1/2	1/2	4/4	1	1	vi6				dcml	F	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
25	25	0	0	4/4	1	1	#viio2/V				dcml	F	I		#viio2/V		#vii	o	2		V		o7	0	0	4, 13, 10, 7		13	4
25	25	1/2	1/2	4/4	1	1	#viio43/V				dcml	F	I		#viio43/V		#vii	o	43		V		o7	0	0	7, 4, 13, 10		13	7
26	26	0	0	4/4	1	1	viio6		-3.15921	-2.71729	dcml	F	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
26	26	1/4	1/4	4/4	1	1	viio43		-2.57159	-2.78153	dcml	F	I		viio43		vii	o	43				o7	0	0	-1, -4, 5, 2		5	-1
26	26	1/2	1/2	4/4	1	1	#viio65/ii		-1.4087	-2.82566	dcml	F	I		#viio65/ii		#vii	o	65		ii		o7	0	0	4, 1, -2, 7		7	4
27	27	0	0	4/4	1	1	#viio43/ii		0	-2.93903	dcml	F	I		#viio43/ii		#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
27	27	1/2	1/2	4/4	1	1	II6		0.46529	-2.90776	dcml	F	I		II6		II		6				M	0	0	6, 3, 2		2	6
28	28	0	0	4/4	1	1	iio6				dcml	F	I		iio6		ii	o	6				o	0	0	-1, -4, 2		2	-1
28	28	1/2	1/2	4/4	1	1	ii				dcml	F	I		ii		ii						m	0	0	2, -1, 3		2	2
29	29	0	0	4/4	1	1	V43				dcml	F	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
30	30	0	0	4/4	1	1	I\\				dcml	F	I		I		I					\\	M	0	0	0, 4, 1		0	0
30	30	1/4	1/4	4/4	1	1	I[I				dcml	F	I	I	I		I						M	0	0	0, 4, 1		0	0
33	33	0	0	4/4	1	1	viio]		0	-3.5	dcml	F	I	I	viio		vii	o					o	0	0	5, 2, -1		5	5
34	34	0	0	4/4	1	1	I6		-0.0888065	-2.05597	dcml	F	I		I6		I		6				M	0	0	4, 1, 0		0	4
35	35	0	0	4/4	1	1	I		-0.0888065	-1.96716	dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
37	37	0	0	4/4	1	1	V65				dcml	F	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
38	38	0	0	4/4	1	1	I				dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
39	39	0	0	4/4	1	1	V.V7				dcml	F	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
40	40	0	0	4/4	1	1	IV6				dcml	F	V		IV6		IV		6				M	0	0	3, 0, -1		-1	3
41	41	0	0	4/4	1	1	V65		0	-6.2	dcml	F	V		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
42	42	0	0	4/4	1	1	V		0.146342	-5.86587	dcml	F	V		V		V						M	0	0	1, 5, 2		1	1
43	43	0	0	4/4	1	1	V43		-0.146342	-3.67074	dcml	F	V		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
44	44	0	0	4/4	1	1	I		0.209654	-6	dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
44	44	1/4	1/4	4/4	1	1	ii6		-0.442086	-6	dcml	F	V		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
44	44	1/2	1/2	4/4	1	1	iii6		0	-6	dcml	F	V		iii6		iii		6				m	0	0	1, 5, 4		4	1
44	44	3/4	3/4	4/4	1	1	IV		0	-6	dcml	F	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
45	45	0	0	4/4	1	1	ii6		-0.0312711	-6	dcml	F	V		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
45	45	1/4	1/4	4/4	1	1	iii		0	-6	dcml	F	V		iii		iii						m	0	0	4, 1, 5		4	4
45	45	1/2	1/2	4/4	1	1	ii7		-8.87315e-14	-6	dcml	F	V		ii7		ii		7				mm7	0	0	2, -1, 3, 0		2	2
46	46	1/4	1/4	4/4	1	1	viio6		-0.292684	-6	dcml	F	V		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
46	46	1/2	1/2	4/4	1	1	I		0	-6	dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
46	46	3/4	3/4	4/4	1	1	V		-0.146342	-6	dcml	F	V		V		V						M	0	0	1, 5, 2		1	1
47	47	0	0	4/4	1	1	I		0	-6	dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
47	47	1/4	1/4	4/4	1	1	vi		0	-6	dcml	F	V		vi		vi						m	0	0	3, 0, 4		3	3
47	47	1/2	1/2	4/4	1	1	V7/V		-0.146342	-6	dcml	F	V		V7/V		V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
48	48	0	0	4/4	1	1	V\\		-0.146342	-5.57318	dcml	F	V		V		V					\\	M	0	0	1, 5, 2		1	1
49	49	0	0	4/4	1	1	V				dcml	F	V		V		V						M	0	0	1, 5, 2		1	1
50	50	0	0	4/4	1	1	I				dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
51	51	1/2	1/2	4/4	1	1	vi				dcml	F	V		vi		vi						m	0	0	3, 0, 4		3	3
51	51	3/4	3/4	4/4	1	1	V/V				dcml	F	V		V/V		V				V		M	0	0	2, 6, 3		2	2
52	52	0	0	4/4	1	1	V				dcml	F	V		V		V						M	0	0	1, 5, 2		1	1
53	53	0	0	4/4	1	1	.Ger6(+7)				dcml	F	V		Ger6(+7)	Ger	vii	o	65	+7b3	V		M	0	0	-4, 0, -3, 6	-3	6	-4
54	54	0	0	4/4	1	1	V6				dcml	F	V		V6		V		6				M	0	0	5, 2, 1		1	5
55	55	0	0	4/4	1	1	viio43/IV				dcml	F	V		viio43/IV		vii	o	43		IV		o7	0	0	-2, -5, 4, 1		4	-2
56	56	0	0	4/4	1	1	IV6(+2)				dcml	F	V		IV6(+2)		IV		6	+2			M	0	0	3, 0, -1	1	-1	3
57	57	0	0	4/4	1	1	iv6(+#4+2)				dcml	F	V		iv6(+#4+2)		iv		6	+#4+2			m	0	0	-4, 0, -1	12, 1	-1	-4
58	58	0	0	4/4	1	1	V(64)				dcml	F	V		V(64)		V			64			M	0	0	1, 0, 4		1	1
59	59	0	0	4/4	1	1	V7				dcml	F	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
59	59	3/4	3/4	4/4	1	1	V65				dcml	F	V		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
60	60	0	0	4/4	1	1	I[I				dcml	F	V	I	I		I						M	0	0	0, 4, 1		0	0
60	60	1/4	1/4	4/4	1	1	vi				dcml	F	V	I	vi		vi						m	0	0	3, 0, 4		3	3
60	60	1/2	1/2	4/4	1	1	I64		-0.986739	-2.40133	dcml	F	V	I	I64		I		64				M	0	0	1, 0, 4		0	1
60	60	3/4	3/4	4/4	1	1	viio64		-1.38144	-2.40133	dcml	F	V	I	viio64		vii	o	64				o	0	0	-1, 5, 2		5	-1
61	61	0	0	4/4	1	1	I6]				dcml	F	V	I	I6		I		6				M	0	0	4, 1, 0		0	4
61	61	1/2	1/2	4/4	1	1	I				dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
61	61	3/4	3/4	4/4	1	1	IV6				dcml	F	V		IV6		IV		6				M	0	0	3, 0, -1		-1	3
62	62	0	0	4/4	1	1	IV				dcml	F	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
62	62	1/2	1/2	4/4	1	1	viio6		-1.48011	-2.59867	dcml	F	V		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
62	62	3/4	3/4	4/4	1	1	V7				dcml	F	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
63	63	0	0	4/4	1	1	I\\		0	-3.5	dcml	F	V		I		I					\\	M	0	0	0, 4, 1		0	0
63	63	1/4	1/4	4/4	1	1	IV		0	-3.5	dcml	F	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
63	63	1/2	1/2	4/4	1	1	V		0	-3.5	dcml	F	V		V		V						M	0	0	1, 5, 2		1	1
63	63	3/4	3/4	4/4	1	1	V65		0	-3.5	dcml	F	V		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
64	64	0	0	4/4	1	1	I[I		0	-3.5	dcml	F	V	I	I		I						M	0	0	0, 4, 1		0	0
64	64	3/4	3/4	4/4	1	1	viio		0	-3.5	dcml	F	V	I	viio		vii	o					o	0	0	5, 2, -1		5	5
65	65	0	0	4/4	1	1	I6]		-0.0789392	-3.51	dcml	F	V	I	I6		I		6				M	0	0	4, 1, 0		0	4
65	65	1/2	1/2	4/4	1	1	I		0.0986739	-3.51	dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
65	65	11/12	11/12	4/4	1	1	I6		0	-3.51	dcml	F	V		I6		I		6				M	0	0	4, 1, 0		0	4
66	66	0	0	4/4	1	1	IV		0	-5	dcml	F	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
66	66	1/2	1/2	4/4	1	1	viio6		-0.878052	-5	dcml	F	V		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
66	66	3/4	3/4	4/4	1	1	V7		0	-5	dcml	F	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
67	67	0	0	4/4	1	1	I\\		0	-3.52439	dcml	F	V		I		I					\\	M	0	0	0, 4, 1		0	0
68	68	3/4	3/4	4/4	1	1	V43		-0.439026	-4.78782	dcml	F	V		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
69	69	0	0	4/4	1	1	I		-0.146342	-4.69513	dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
69	69	1/2	1/2	4/4	1	1	iii		0.292684	-4.54879	dcml	F	V		iii		iii						m	0	0	4, 1, 5		4	4
69	69	3/4	3/4	4/4	1	1	V43		0.292684	-5.71952	dcml	F	V		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
70	70	0	0	4/4	1	1	I		0.292684	-5.42684	dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
70	70	1/2	1/2	4/4	1	1	iii		0.292684	-5.2805	dcml	F	V		iii		iii						m	0	0	4, 1, 5		4	4
70	70	3/4	3/4	4/4	1	1	V43		-0.292684	-5.2805	dcml	F	V		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
71	71	0	0	4/4	1	1	I		-0.292684	-6.59757	dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
71	71	1/2	1/2	4/4	1	1	V43				dcml	F	V		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
72	72	0	0	4/4	1	1	I6		-0.146342	-7.0366	dcml	F	V		I6		I		6				M	0	0	4, 1, 0		0	4
72	72	1/2	1/2	4/4	1	1	IV(+2)				dcml	F	V		IV(+2)		IV			+2			M	0	0	-1, 3, 0	1	-1	-1
73	73	0	0	4/4	1	1	V2		-0.146342	-4.84147	dcml	F	V		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
74	74	0	0	4/4	1	1	I6				dcml	F	V		I6		I		6				M	0	0	4, 1, 0		0	4
75	75	0	0	4/4	1	1	V2				dcml	F	V		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
76	76	0	0	4/4	1	1	I6				dcml	F	V		I6		I		6				M	0	0	4, 1, 0		0	4
77	77	0	0	4/4	1	1	V43/V		-0.918286	-2.5	dcml	F	V		V43/V		V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
81	81	0	0	4/4	1	1	V7				dcml	F	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
83	83	0	0	4/4	1	1	I\\				dcml	F	V		I		I					\\	M	0	0	0, 4, 1		0	0
84	84	0	0	4/4	1	1	I				dcml	F	V		I		I						M	0	0	0, 4, 1		0	0
85	85	0	0	4/4	1	1	V7/ii		0	-5.10181	dcml	F	V		V7/ii		V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
86	86	0	0	4/4	1	1	V7				dcml	F	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
87	87	0	0	4/4	1	1	V7/ii		0.153048	-4.94876	dcml	F	V		V7/ii		V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
88	88	0	0	4/4	1	1	V7		0	-4.98781	dcml	F	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
89	89	0	0	4/4	1	1	V7/ii		-0.146342	-6.78	dcml	F	V		V7/ii		V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
90	90	0	0	4/4	1	1	ii		0	-6.5	dcml	F	V		ii		ii						m	0	0	2, -1, 3		2	2
90	90	1/2	1/2	4/4	1	1	#viio2		0	-6.78	dcml	F	V		#viio2		#vii	o	2				o7	0	0	3, 12, 9, 6		12	3
91	91	0	0	4/4	1	1	V		0.292684	-4.69513	dcml	F	V		V		V						M	0	0	1, 5, 2		1	1
92	92	0	0	4/4	1	1	V7				dcml	F	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
93	93	0	0	4/4	1	1	I[I				dcml	F	V	I	I		I						M	0	0	0, 4, 1		0	0
94	94	0	0	4/4	1	1	V7				dcml	F	V	I	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
95	95	0	0	4/4	1	1	I				dcml	F	V	I	I		I						M	0	0	0, 4, 1		0	0
96	96	0	0	4/4	1	1	V7				dcml	F	V	I	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
97	97	0	0	4/4	1	1	I]				dcml	F	V	I	I		I						M	0	0	0, 4, 1		0	0
98	98	0	0	4/4	1	1	V2/IV				dcml	F	V		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
99	99	0	0	4/4	1	1	IV6				dcml	F	V		IV6		IV		6				M	0	0	3, 0, -1		-1	3
100	100	0	0	4/4	1	1	V2(4)/IV				dcml	F	V		V2(4)/IV		V		2	4	IV		Mm7	0	0	-2, 0, -1, 1		0	-2
100	100	1/2	1/2	4/4	1	1	V2/IV				dcml	F	V		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
101	101	0	0	4/4	1	1	IV6				dcml	F	V		IV6		IV		6				M	0	0	3, 0, -1		-1	3
101	101	5/8	5/8	4/4	1	1	V2/IV				dcml	F	V		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
102	102	0	0	4/4	1	1	IV6				dcml	F	V		IV6		IV		6				M	0	0	3, 0, -1		-1	3
103	103	0	0	4/4	1	1	I.I64				dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
103	103	3/4	3/4	4/4	1	1	I				dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
104	104	0	0	4/4	1	1	I64		0.400784	-2.70039	dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
105	105	0	0	4/4	1	1	I				dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
106	106	0	0	4/4	1	1	I64		5.14339	-3.03438	dcml	F	I		I64		I		64				M	0	0	1, 0, 4		0	1
107	107	1/2	1/2	4/4	1	1	I				dcml	F	I		I		I						M	0	0	0, 4, 1		0	0
108	108	0	0	4/4	1	1	#viio2/IV				dcml	F	I		#viio2/IV		#vii	o	2		IV		o7	0	0	2, 11, 8, 5		11	2
111	111	0	0	4/4	1	1	V7/IV		0	-6.59757	dcml	F	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
112	112	0	0	4/4	1	1	IV.I		-0.911584	-5.71952	dcml	F	IV		I		I						M	0	0	0, 4, 1		0	0
115	115	3/4	3/4	4/4	1	1	#viio2/vi				dcml	F	IV		#viio2/vi		#vii	o	2		vi		o7	0	0	-1, 8, 5, 2		8	-1
116	116	0	0	4/4	1	1	#viio65/vi				dcml	F	IV		#viio65/vi		#vii	o	65		vi		o7	0	0	5, 2, -1, 8		8	5
118	118	0	0	4/4	1	1	V43/vi				dcml	F	IV		V43/vi		V		43		vi		Mm7	0	0	5, 2, 4, 8		4	5
