mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	1	1	.Eb.I6	0.00119149	-3.02964	dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
1	1	1/2	1/2	2/2	1	1	viio	0.217597	-3.04399	dcml	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
2	2	3/4	3/4	2/2	1	1	I	0	-3.87238	dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3/4	3/4	2/2	1	1	I	0	-3.87238	dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
4	4	1/4	1/4	2/2	1	1	ii			dcml	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	4	3/4	3/4	2/2	1	1	V			dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
5	5	0	0	2/2	1	1	I[I			dcml	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	2/2	1	1	V43			dcml	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	0	0	2/2	1	1	I			dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	1/2	1/2	2/2	1	1	V43			dcml	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	7	0	0	2/2	1	1	I			dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	7	1/2	1/2	2/2	1	1	V43(+#4)	0	-4.01	dcml	Eb	I		V43(+#4)		V		43	+#4				Mm7	0	0	2, -1, 1, 5	7	1	2
8	8	0	0	2/2	1	1	V43	0	-4.01	dcml	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	3/4	3/4	2/2	1	1	V43]	0	-4.01	dcml	Eb	I		V43		V		43			]		Mm7	0	0	2, -1, 1, 5		1	2
9	9	0	0	2/2	1	1	I6	0	-4.01	dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	1/2	1/2	2/2	1	1	V2	0	-4.00962	dcml	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
