mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1	12/8	4	1	Ab.V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	14	0	0	12/8	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
4	4	31/2	3/8	3/8	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
5	5	20	0	0	12/8	4	1	V65	Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	23	3/4	3/4	12/8	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	26	0	0	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	61/2	9/8	9/8	12/8	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
7	7	35	3/4	3/4	12/8	4	1	V	Ab	I		V		V							M	0	0	1, 5, 2		1	1
7	7	73/2	9/8	9/8	12/8	4	1	vi2	Ab	I		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
7	7	75/2	11/8	11/8	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	38	0	0	12/8	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
8	8	79/2	3/8	3/8	12/8	4	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
8	8	41	3/4	3/4	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
9	9	44	0	0	12/8	4	1	V65	Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	50	0	0	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
10	10	103/2	3/8	3/8	12/8	4	1	#viio6(+4)/vi	Ab	I		#viio6(+4)/vi		#vii	o	6	+4	vi			o	0	0	5, 2, 8	0	8	5
10	10	105/2	5/8	5/8	12/8	4	1	vi6	Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
10	10	53	3/4	3/4	12/8	4	1	V7/V	Ab	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
10	10	109/2	9/8	9/8	12/8	4	1	V64	Ab	I		V64		V		64					M	0	0	2, 1, 5		1	2
10	10	111/2	11/8	11/8	12/8	4	1	V7/V	Ab	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
11	11	56	0	0	12/8	4	1	V[V7/V	Ab	I	V	V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
11	11	59	3/4	3/4	12/8	4	1	V6]\\	Ab	I	V	V6		V		6				\\	M	0	0	5, 2, 1		1	5
11	11	60	1	1	12/8	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	12	62	0	0	12/8	4	1	V65	Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	12	65	3/4	3/4	12/8	4	1	V43(4)	Ab	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
12	12	66	1	1	12/8	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	12	133/2	9/8	9/8	12/8	4	1	V43(4)	Ab	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
12	12	135/2	11/8	11/8	12/8	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
13	13	68	0	0	12/8	4	1	I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
13	13	71	3/4	3/4	12/8	4	1	I6(2)	Ab	I		I6(2)		I		6	2				M	0	0	4, 1, 2		0	4
13	13	72	1	1	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
13	13	145/2	9/8	9/8	12/8	4	1	I6(2)	Ab	I		I6(2)		I		6	2				M	0	0	4, 1, 2		0	4
13	13	147/2	11/8	11/8	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
14	14	74	0	0	12/8	4	1	I6(4)	Ab	I		I6(4)		I		6	4				M	0	0	-1, 1, 0		0	-1
14	14	75	1/4	1/4	12/8	4	1	V43	Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	151/2	3/8	3/8	12/8	4	1	I(+4)	Ab	I		I(+4)		I			+4				M	0	0	0, 4, 1	-1	0	0
14	14	153/2	5/8	5/8	12/8	4	1	V6	Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
14	14	77	3/4	3/4	12/8	4	1	vi7	Ab	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
14	14	78	1	1	12/8	4	1	V	Ab	I		V		V							M	0	0	1, 5, 2		1	1
14	14	157/2	9/8	9/8	12/8	4	1	V65(+4)/V	Ab	I		V65(+4)/V		V		65	+4	V			Mm7	0	0	6, 3, 0, 2	1	2	6
14	14	159/2	11/8	11/8	12/8	4	1	V2	Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	15	80	0	0	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	163/2	3/8	3/8	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	83	3/4	3/4	12/8	4	1	I\\	Ab	I		I		I						\\	M	0	0	0, 4, 1		0	0
15	15	169/2	9/8	9/8	12/8	4	1	V[V6	Ab	I	V	V6		V		6					M	0	0	5, 2, 1		1	5
15	15	171/2	11/8	11/8	12/8	4	1	vi6	Ab	I	V	vi6		vi		6					m	0	0	0, 4, 3		3	0
16	16	86	0	0	12/8	4	1	V43	Ab	I	V	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
16	16	177/2	5/8	5/8	12/8	4	1	IV64	Ab	I	V	IV64		IV		64					M	0	0	0, -1, 3		-1	0
16	16	89	3/4	3/4	12/8	4	1	ii2	Ab	I	V	ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
17	17	92	0	0	12/8	4	1	I6	Ab	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
17	17	189/2	5/8	5/8	12/8	4	1	viio6	Ab	I	V	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
17	17	95	3/4	3/4	12/8	4	1	I(2)	Ab	I	V	I(2)		I			2				M	0	0	2, 4, 1		0	2
17	17	96	1	1	12/8	4	1	I]	Ab	I	V	I		I							M	0	0	0, 4, 1		0	0
17	17	193/2	9/8	9/8	12/8	4	1	V43/IV	Ab	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
18	18	98	0	0	12/8	4	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
18	18	99	1/4	1/4	12/8	4	1	V43/IV	Ab	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
18	18	199/2	3/8	3/8	12/8	4	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
18	18	201/2	5/8	5/8	12/8	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	18	101	3/4	3/4	12/8	4	1	ii7	Ab	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
18	18	102	1	1	12/8	4	1	viio2	Ab	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
18	18	205/2	9/8	9/8	12/8	4	1	I64	Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
18	18	207/2	11/8	11/8	12/8	4	1	V65/V	Ab	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
19	19	104	0	0	12/8	4	1	V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
19	19	211/2	3/8	3/8	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	107	3/4	3/4	12/8	4	1	V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
19	19	217/2	9/8	9/8	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	110	0	0	12/8	4	1	V65/IV	Ab	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
20	20	111	1/4	1/4	12/8	4	1	V43/IV	Ab	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
20	20	223/2	3/8	3/8	12/8	4	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
20	20	225/2	5/8	5/8	12/8	4	1	iv6	Ab	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
20	20	113	3/4	3/4	12/8	4	1	#iv%7	Ab	I		#iv%7		#iv	%	7					%7	0	0	6, 3, 0, 4		6	6
20	20	114	1	1	12/8	4	1	V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
20	20	231/2	11/8	11/8	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	116	0	0	12/8	4	1	V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
21	21	235/2	3/8	3/8	12/8	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	119	3/4	3/4	12/8	4	1	I\\	Ab	I		I		I						\\	M	0	0	0, 4, 1		0	0
