mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	1/4	2/4	4	1		Eb.I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	1	1.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	2	2.0	1/4	1/4	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	4	2.0	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	4	6	1.0	1/4	1/4	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	7	1.0	0	0	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	5	8	1.0	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	9	1.0	0	0	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
6	6	10	2.0	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	12	0.75	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	7	51/4	0.25	7/16	7/16	2/4	4	1		#viio6/vi		Eb	I		#viio6/vi		#vii	o	6		vi			o	0	0	5, 2, 8		8	5
8	8	13	0.5	0	0	2/4	4	1		vi.i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
8	8	27/2	0.5	1/8	1/8	2/4	4	1		v6		Eb	vi		v6		v		6					m	0	1	-2, 2, 1		1	-2
8	8	14	0.5	1/4	1/4	2/4	4	1		VI		Eb	vi		VI		VI							M	0	1	-4, 0, -3		-4	-4
8	8	29/2	0.5	3/8	3/8	2/4	4	1		iv6		Eb	vi		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
9	9	15	1.0	0	0	2/4	4	1		V\\		Eb	vi		V		V						\\	M	0	1	1, 5, 2		1	1
10	10	16	1.0	0	1/4	2/4	4	1		I.V7/vi		Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
11	11	17	1.0	0	0	2/4	4	1		V7/ii		Eb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
11	11	18	1.0	1/4	1/4	2/4	4	1		V7/V		Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
12	12	19	1.0	0	0	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	20	1.0	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
13	13	21	1.0	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii			Ger	0	0	0, 4, 1, 10		10	0
13	13	22	2.0	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii			M	0	0	5, 9, 6		5	5
14	14	24	0.75	1/4	1/4	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	99/4	0.25	7/16	7/16	2/4	4	1		vi64		Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
15	15	25	1.0	0	0	2/4	4	1		V2		Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	15	26	0.75	1/4	1/4	2/4	4	1		V64		Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
15	15	107/4	0.25	7/16	7/16	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
16	16	27	1.0	0	0	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	28	0.75	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
16	16	115/4	0.25	7/16	7/16	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
17	17	29	1.0	0	0	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	30	0.75	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	17	123/4	0.25	7/16	7/16	2/4	4	1		vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
18	18	31	1.0	0	0	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	32	0.75	1/4	1/4	2/4	4	1		vi7		Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
18	18	131/4	0.25	7/16	7/16	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	19	33	1.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
19	19	34	0.75	1/4	1/4	2/4	4	1		ii7		Eb	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
19	19	139/4	0.25	7/16	7/16	2/4	4	1		iii		Eb	I		iii		iii							m	0	0	4, 1, 5		4	4
20	20	35	1.0	0	0	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
20	20	36	0.75	1/4	1/4	2/4	4	1		vii%7		Eb	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
20	20	147/4	0.25	7/16	7/16	2/4	4	1		#viio/ii		Eb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
21	21	37	0.5	0	0	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
21	21	75/2	0.5	1/8	1/8	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
21	21	38	0.5	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
21	21	77/2	0.5	3/8	3/8	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	22	39	1.0	0	0	2/4	4	1		I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
23	23	40	3.0	0	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
