mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	6.0	0	0	3/8	4	1	Bb.I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
5	5	6	1.5	0	0	3/8	4	1	V	Bb	I		V	V								M	0	0	1, 5, 2		1	1
6	6	15/2	1.5	0	0	3/8	4	1	I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
7	7	9	1.5	0	0	3/8	4	1	V7/V	Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
8	8	21/2	1.5	0	0	3/8	4	1	V\\	Bb	I		V	V							\\	M	0	0	1, 5, 2		1	1
9	9	12	6.0	0	0	3/8	4	1	bVII.I	Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
13	13	18	1.5	0	0	3/8	4	1	V	Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
14	14	39/2	1.5	0	0	3/8	4	1	I	Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
15	15	21	1.5	0	0	3/8	4	1	V7/V	Bb	bVII		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
16	16	45/2	1.5	0	0	3/8	4	1	V\\	Bb	bVII		V	V							\\	M	0	0	1, 5, 2		1	1
17	17	24	6.0	0	0	3/8	4	1	bII.I	Bb	bII		I	I								M	0	0	0, 4, 1		0	0
21	21	30	3.0	0	0	3/8	4	1	I.V43	Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
23	23	33	0.5	0	0	3/8	4	1	I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
23	23	67/2	0.5	1/8	1/8	3/8	4	1	V7	Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
23	23	34	0.5	1/4	1/4	3/8	4	1	vi	Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
