mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	2.0	0	0	2/4	4	1	f.i	f	i		i		i							m	1	1	0, -3, 1		0	0
2	1	2	1.0	0	0	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
2	1	3	0.5	1/4	1/4	2/4	4	1	V(4)	f	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
2	1	7/2	0.5	3/8	3/8	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
3	2	4	0.5	0	0	2/4	4	1	V(64)	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
3	2	9/2	0.5	1/8	1/8	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
3	2	5	0.5	1/4	1/4	2/4	4	1	i(94)	f	i		i(94)		i			94				m	1	1	0, -1, 1	2	0	0
3	2	11/2	0.5	3/8	3/8	2/4	4	1	i\\	f	i		i		i						\\	m	1	1	0, -3, 1		0	0
4	3	6	0.875	0	0	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
4	3	55/8	0.125	7/32	7/32	2/4	4	1	i6	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	7	0.5	1/4	1/4	2/4	4	1	ii%7	f	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
4	3	15/2	0.25	3/8	3/8	2/4	4	1	V43	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	3	31/4	0.25	7/16	7/16	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
5	4	8	0.25	0	0	2/4	4	1	V6	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
5	4	33/4	0.25	1/16	1/16	2/4	4	1	V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	4	17/2	0.25	1/8	1/8	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
5	4	35/4	0.25	3/16	3/16	2/4	4	1	viio2/V	f	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
5	4	9	0.5	1/4	1/4	2/4	4	1	V(#764)	f	i		V(#764)		V			#764				M	1	1	1, 0, -3	6	1	1
5	4	19/2	0.5	3/8	3/8	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
6	5	10	0.5	0	0	2/4	4	1	V43/III	f	i		V43/III		V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
6	5	21/2	0.5	1/8	1/8	2/4	4	1	V2/III	f	i		V2/III		V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
6	5	11	0.75	1/4	1/4	2/4	4	1	III6	f	i		III6		III		6					M	1	1	1, -2, -3		-3	1
6	5	47/4	0.25	7/16	7/16	2/4	4	1	III	f	i		III		III							M	1	1	-3, 1, -2		-3	-3
7	6	12	0.5	0	0	2/4	4	1	V43/III	f	i		V43/III		V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
7	6	25/2	0.5	1/8	1/8	2/4	4	1	V2/III	f	i		V2/III		V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
7	6	13	0.5	1/4	1/4	2/4	4	1	III6	f	i		III6		III		6					M	1	1	1, -2, -3		-3	1
7	6	27/2	0.5	3/8	3/8	2/4	4	1	III	f	i		III		III							M	1	1	-3, 1, -2		-3	-3
8	7	14	1.0	0	0	2/4	4	1	V43	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
8	7	15	0.875	1/4	1/4	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
8	7	127/8	0.125	15/32	15/32	2/4	4	1	VI	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
9	8	16	0.5	0	0	2/4	4	1	iv	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
9	8	33/2	1.0	1/8	1/8	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
9	8	35/2	0.5	3/8	3/8	2/4	4	1	V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	9	18	1.0	0	0	2/4	4	1	i\\	f	i		i		i						\\	m	1	1	0, -3, 1		0	0
10	9	19	0.25	1/4	1/4	2/4	4	1	V7(4)	f	i		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
10	9	77/4	0.5	5/16	5/16	2/4	4	1	V7(64)	f	i		V7(64)		V		7	64				Mm7	1	1	1, 0, -3, -1		1	1
10	9	79/4	0.25	7/16	7/16	2/4	4	1	V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	10	20	0.75	0	0	2/4	4	1	V(64)	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
11	10	83/4	0.25	3/16	3/16	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
11	10	21	0.5	1/4	1/4	2/4	4	1	i(#74)	f	i		i(#74)		i			#74				m	1	1	0, -1, 1	5	0	0
11	10	43/2	0.25	3/8	3/8	2/4	4	1	i(9)	f	i		i(9)		i			9				m	1	1	0, -3, 1	2	0	0
11	10	87/4	0.25	7/16	7/16	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
12	11	22	0.5	0	0	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
12	11	45/2	0.5	1/8	1/8	2/4	4	1	i6	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
12	11	23	0.25	1/4	1/4	2/4	4	1	ii%7	f	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
12	11	93/4	0.5	5/16	5/16	2/4	4	1	V43	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
12	11	95/4	0.25	7/16	7/16	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
13	12	24	0.5	0	0	2/4	4	1	V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
13	12	49/2	0.25	1/8	1/8	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
13	12	99/4	1.25	3/16	3/16	2/4	4	1	viio7/V	f	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
14	13	26	1.0	0	0	2/4	4	1	V2/III	f	i		V2/III		V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
14	13	27	1.0	1/4	1/4	2/4	4	1	III6	f	i		III6		III		6					M	1	1	1, -2, -3		-3	1
15	14	28	1.0	0	0	2/4	4	1	V2/III	f	i		V2/III		V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
15	14	29	1.0	1/4	1/4	2/4	4	1	III6	f	i		III6		III		6					M	1	1	1, -2, -3		-3	1
16	15	30	1.0	0	0	2/4	4	1	V43	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
16	15	31	1.0	1/4	1/4	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
17	16	32	0.5	0	0	2/4	4	1	ii%43	f	i		ii%43		ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
17	16	65/2	0.5	1/8	1/8	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
17	16	33	1.0	1/4	1/4	2/4	4	1	i\\	f	i		i		i						\\	m	1	1	0, -3, 1		0	0
18	17	34	1.0	0	0	2/4	4	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
18	17	35	1.5	1/4	1/4	2/4	4	1	viio7/V	f	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
19	18	73/2	0.5	1/8	1/8	2/4	4	1	v.i	f	v		i		i							m	1	1	0, -3, 1		0	0
19	18	37	0.5	1/4	1/4	2/4	4	1	ii65	f	v		ii65		ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
19	18	75/2	0.5	3/8	3/8	2/4	4	1	V43/V	f	v		V43/V		V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
20	19	38	0.5	0	0	2/4	4	1	V	f	v		V		V							M	1	1	1, 5, 2		1	1
20	19	77/2	1.0	1/8	1/8	2/4	4	1	Ger6	f	v		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
20	19	79/2	0.5	3/8	3/8	2/4	4	1	V43/V	f	v		V43/V		V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
21	20	40	0.5	0	0	2/4	4	1	V	f	v		V		V							M	1	1	1, 5, 2		1	1
21	20	81/2	1.0	1/8	1/8	2/4	4	1	Ger6	f	v		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
21	20	83/2	0.5	3/8	3/8	2/4	4	1	V2/V	f	v		V2/V		V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
22	21	42	1.0	0	0	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
22	21	43	1.0	1/4	1/4	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
23	22	44	1.0	0	0	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
23	22	45	1.0	1/4	1/4	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
24	23	46	1.5	0	0	2/4	4	1	V	f	v		V		V							M	1	1	1, 5, 2		1	1
24	23	95/2	0.5	3/8	3/8	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
25	24	48	0.5	0	0	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
25	24	97/2	0.5	1/8	1/8	2/4	4	1	i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
25	24	49	0.75	1/4	1/4	2/4	4	1	V	f	v		V		V							M	1	1	1, 5, 2		1	1
25	24	199/4	0.25	7/16	7/16	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
26	25	50	0.5	0	0	2/4	4	1	V65	f	v		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
26	25	101/2	0.5	1/8	1/8	2/4	4	1	V43	f	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
26	25	51	0.75	1/4	1/4	2/4	4	1	V	f	v		V		V							M	1	1	1, 5, 2		1	1
26	25	207/4	0.25	7/16	7/16	2/4	4	1	V2	f	v		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
27	26	52	1.75	0	0	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
27	26	215/4	0.25	7/16	7/16	2/4	4	1	i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
28	27	54	2.0	0	0	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
29	28	56	0.5	0	0	2/4	4	1	i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
29	28	113/2	0.5	1/8	1/8	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
29	28	57	0.75	1/4	1/4	2/4	4	1	v6	f	v		v6		v		6					m	1	1	-2, 2, 1		1	-2
29	28	231/4	0.25	7/16	7/16	2/4	4	1	v64	f	v		v64		v		64					m	1	1	2, 1, -2		1	2
30	29	58	0.5	0	0	2/4	4	1	iv	f	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
30	29	117/2	0.5	1/8	1/8	2/4	4	1	iv6	f	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
30	29	59	0.75	1/4	1/4	2/4	4	1	III6	f	v		III6		III		6					M	1	1	1, -2, -3		-3	1
30	29	239/4	0.25	7/16	7/16	2/4	4	1	III64	f	v		III64		III		64					M	1	1	-2, -3, 1		-3	-2
31	30	60	0.5	0	0	2/4	4	1	bII	f	v		bII		bII							M	1	1	-5, -1, -4		-5	-5
31	30	121/2	0.5	1/8	1/8	2/4	4	1	bII6	f	v		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
31	30	61	1.0	1/4	1/4	2/4	4	1	i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
32	31	62	2.0	0	0	2/4	4	1	V7/V	f	v		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
33	32	64	2.0	0	0	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
34	33	66	0.5	0	0	2/4	4	1	V7/iv	f	v		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
34	33	133/2	0.25	1/8	1/8	2/4	4	1	iv	f	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
34	33	267/4	0.25	3/16	3/16	2/4	4	1	V7/VII	f	v		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
34	33	67	0.5	1/4	1/4	2/4	4	1	#viio7	f	v		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
34	33	135/2	0.5	3/8	3/8	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
35	34	68	0.125	0	0	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
35	34	545/8	0.25	1/32	1/32	2/4	4	1	ii%43/iv	f	v		ii%43/iv		ii	%	43		iv			%7	1	1	-5, -1, 1, -2		1	-5
35	34	547/8	0.25	3/32	3/32	2/4	4	1	#viio65	f	v		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
35	34	549/8	0.25	5/32	5/32	2/4	4	1	i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
35	34	551/8	0.625	7/32	7/32	2/4	4	1	@none	f	v		@none		@none							m	1	1				
35	34	139/2	0.5	3/8	3/8	2/4	4	1	V65/iv	f	v		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
36	35	70	0.125	0	0	2/4	4	1	V65/V	f	v		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
36	35	561/8	0.25	1/32	1/32	2/4	4	1	iv	f	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
36	35	563/8	0.25	3/32	3/32	2/4	4	1	V43	f	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
36	35	565/8	0.25	5/32	5/32	2/4	4	1	i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
36	35	567/8	0.25	7/32	7/32	2/4	4	1	V65	f	v		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
36	35	569/8	0.25	9/32	9/32	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
36	35	571/8	0.25	11/32	11/32	2/4	4	1	V2/iv	f	v		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
36	35	573/8	0.125	13/32	13/32	2/4	4	1	iv6	f	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
36	35	287/4	0.125	7/16	7/16	2/4	4	1	#viio6/iv	f	v		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1
36	35	575/8	0.125	15/32	15/32	2/4	4	1	iv	f	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
37	36	72	1.0	0	0	2/4	4	1	viio7/V	f	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
37	36	73	1.0	1/4	1/4	2/4	4	1	Ger6	f	v		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
38	37	74	2.0	0	0	2/4	4	1	V(64)	f	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
39	38	76	1.0	0	0	2/4	4	1	V7(9)	f	v		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
39	38	77	0.5	1/4	1/4	2/4	4	1	V(64)	f	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
39	38	155/2	0.5	3/8	3/8	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
40	39	78	2.0	0	0	2/4	4	1	i\\	f	v		i		i						\\	m	1	1	0, -3, 1		0	0
41	40	80	2.0	0	0	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
42	41	82	0.5	0	0	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
42	41	165/2	0.5	1/8	1/8	2/4	4	1	i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
42	41	83	0.5	1/4	1/4	2/4	4	1	V43	f	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
42	41	167/2	0.5	3/8	3/8	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
43	42	84	1.0	0	0	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
43	42	85	0.5	1/4	1/4	2/4	4	1	V43	f	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
43	42	171/2	0.5	3/8	3/8	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
44	43	86	1.875	0	0	2/4	4	1	i\\	f	v		i		i						\\	m	1	1	0, -3, 1		0	0
44	43	703/8	0.125	15/32	15/32	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
45	44	88	1.5	0	0	2/4	4	1	i	f	v		i		i							m	1	1	0, -3, 1		0	0
45	44	179/2	0.375	3/8	3/8	2/4	4	1	V(64)	f	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
45	44	719/8	0.125	15/32	15/32	2/4	4	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
46	45	90	1.0	0	0	2/4	4	1	i\\	f	v		i		i						\\	m	1	1	0, -3, 1		0	0
46	45	91	1.0	1/4	1/4	2/4	4	1	V43/VI	f	v		V43/VI		V		43		VI			Mm7	1	1	-2, -5, -3, 1		-3	-2
47	46	92	2.0	0	0	2/4	4	1	III.I	f	III		I		I							M	1	0	0, 4, 1		0	0
48	47	94	1.75	0	0	2/4	4	1	V65	f	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
48	47	383/4	0.25	7/16	7/16	2/4	4	1	V2	f	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
49	48	96	2.0	0	0	2/4	4	1	I	f	III		I		I							M	1	0	0, 4, 1		0	0
50	49	98	2.0	0	0	2/4	4	1	V7	f	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
51	50	100	0.5	0	0	2/4	4	1	I6	f	III		I6		I		6					M	1	0	4, 1, 0		0	4
51	50	201/2	0.5	1/8	1/8	2/4	4	1	I	f	III		I		I							M	1	0	0, 4, 1		0	0
51	50	101	1.0	1/4	1/4	2/4	4	1	V7/IV	f	III		V7/IV		V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
52	51	102	2.0	0	0	2/4	4	1	VI.I	f	VI		I		I							M	1	0	0, 4, 1		0	0
53	52	104	2.0	0	0	2/4	4	1	V65	f	VI		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
54	53	106	2.0	0	0	2/4	4	1	#v.i	f	#v		i		i							m	1	1	0, -3, 1		0	0
55	54	108	2.0	0	0	2/4	4	1	iv64	f	#v		iv64		iv		64					m	1	1	0, -1, -4		-1	0
56	55	110	2.0	0	0	2/4	4	1	ii.V	f	ii		V		V							M	1	1	1, 5, 2		1	1
57	56	112	2.0	0	0	2/4	4	1	V7	f	ii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
58	57	114	1.0	0	0	2/4	4	1	i	f	ii		i		i							m	1	1	0, -3, 1		0	0
58	57	115	0.5	1/4	1/4	2/4	4	1	V7(4)	f	ii		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
58	57	231/2	0.5	3/8	3/8	2/4	4	1	V7	f	ii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
59	58	116	0.5	0	0	2/4	4	1	i6	f	ii		i6		i		6					m	1	1	-3, 1, 0		0	-3
59	58	233/2	0.5	1/8	1/8	2/4	4	1	V65	f	ii		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
59	58	117	0.5	1/4	1/4	2/4	4	1	i	f	ii		i		i							m	1	1	0, -3, 1		0	0
59	58	235/2	0.5	3/8	3/8	2/4	4	1	V7/iv	f	ii		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
60	59	118	0.5	0	0	2/4	4	1	v.i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
60	59	237/2	0.5	1/8	1/8	2/4	4	1	iv	f	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
60	59	119	0.5	1/4	1/4	2/4	4	1	V(4)	f	v		V(4)		V			4				M	1	1	1, 0, 2		1	1
60	59	239/2	0.5	3/8	3/8	2/4	4	1	V2	f	v		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
61	60	120	0.5	0	0	2/4	4	1	i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
61	60	241/2	0.5	1/8	1/8	2/4	4	1	V6	f	v		V6		V		6					M	1	1	5, 2, 1		1	5
61	60	121	0.5	1/4	1/4	2/4	4	1	V7(4)/iv	f	v		V7(4)/iv		V		7	4	iv			Mm7	1	1	0, -1, 1, -2		0	0
61	60	243/2	0.5	3/8	3/8	2/4	4	1	V7(+b2)/iv	f	v		V7(+b2)/iv		V		7	+b2	iv			Mm7	1	1	0, 4, 1, -2	-12	0	0
62	61	122	0.5	0	0	2/4	4	1	V7(4)/VII	f	v		V7(4)/VII		V		7	4	VII			Mm7	1	1	-1, -2, 0, -3		-1	-1
62	61	245/2	0.5	1/8	1/8	2/4	4	1	V7(+b2)/VII	f	v		V7(+b2)/VII		V		7	+b2	VII			Mm7	1	1	-1, 3, 0, -3	-6	-1	-1
62	61	123	0.25	1/4	1/4	2/4	4	1	V(4)/III	f	v		V(4)/III		V			4	III			M	1	1	-2, -3, -1		-2	-2
62	61	493/4	0.5	5/16	5/16	2/4	4	1	V7/III	f	v		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
62	61	495/4	0.25	7/16	7/16	2/4	4	1	V6	f	v		V6		V		6					M	1	1	5, 2, 1		1	5
63	62	124	0.25	0	0	2/4	4	1	i(4)	f	v		i(4)		i			4				m	1	1	0, -1, 1		0	0
63	62	497/4	0.75	1/16	1/16	2/4	4	1	V6/bII	f	v		V6/bII		V		6		bII			M	1	1	0, -3, -4		-4	0
63	62	125	0.5	1/4	1/4	2/4	4	1	bII	f	v		bII		bII							M	1	1	-5, -1, -4		-5	-5
63	62	251/2	0.5	3/8	3/8	2/4	4	1	V65/III	f	v		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
64	63	126	0.75	0	0	2/4	4	1	III	f	v		III		III							M	1	1	-3, 1, -2		-3	-3
