mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
3	3	4	2.0	0	0	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
4	4	6	1.0	0	0	2/4	4	1	V7	iv				V7	V		7						Mm7	1, 5, 2, -1		1	1
4	4	7	1.0	1/4	1/4	2/4	4	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
5	5	8	1.0	0	0	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
5	5	9	1.0	1/4	1/4	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
6	6	10	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
6	6	21/2	0.5	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
6	6	11	0.5	1/4	1/4	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
6	6	23/2	0.5	3/8	3/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
7	7	12	2.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
8	8	14	1.0	0	0	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
8	8	15	0.5	1/4	1/4	2/4	4	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
8	8	31/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
9	9	16	1.375	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
9	9	139/8	0.625	11/32	11/32	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
10	10	18	0.5	0	0	2/4	4	1	I	V				I	I								M	0, 4, 1		0	0
10	10	37/2	0.5	1/8	1/8	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
10	10	19	0.5	1/4	1/4	2/4	4	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
10	10	39/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
11	11	20	1.0	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
11	11	21	1.0	1/4	1/4	2/4	4	1	V					V	V								M	1, 5, 2		1	1
