mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	2/2	4	1	e.VI	e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
2	2	4	2.0	0	0	2/2	4	1	VI.I	e	VI		I		I								M	1	0	0, 4, 1		0	0
2	2	6	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
3	3	8	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
4	4	14	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
5	5	16	8.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
7	7	24	2.0	0	0	2/2	4	1	i.iv65	e	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
7	7	26	2.0	1/2	1/2	2/2	4	1	i64	e	i		i64		i		64						m	1	1	1, 0, -3		0	1
8	8	28	2.0	0	0	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
8	8	30	1.0	1/2	1/2	2/2	4	1	V7(4)	e	i		V7(4)		V		7	4					Mm7	1	1	1, 0, 2, -1		1	1
8	8	31	1.0	3/4	3/4	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
9	9	32	2.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
9	9	34	2.0	1/2	1/2	2/2	4	1	VI.V43	e	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
10	10	36	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
11	11	42	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
12	12	44	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
13	13	50	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
14	14	52	8.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
16	16	60	2.0	0	0	2/2	4	1	i.iv65	e	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
16	16	62	2.0	1/2	1/2	2/2	4	1	i64	e	i		i64		i		64						m	1	1	1, 0, -3		0	1
17	17	64	2.0	0	0	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
17	17	66	1.0	1/2	1/2	2/2	4	1	V7(4)	e	i		V7(4)		V		7	4					Mm7	1	1	1, 0, 2, -1		1	1
17	17	67	1.0	3/4	3/4	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
18	18	68	2.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
18	18	70	2.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
19	19	72	10.0	0	0	2/2	4	1	V/V	e	i		V/V		V				V				M	1	1	2, 6, 3		2	2
21	21	82	2.0	1/2	1/2	2/2	4	1	VI.V7/V	e	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
22	22	84	4.0	0	0	2/2	4	1	V7	e	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
23	23	88	2.0	0	0	2/2	4	1	I\\	e	VI		I		I							\\	M	1	0	0, 4, 1		0	0
23	23	90	4.0	1/2	1/2	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
24	24	94	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
25	25	96	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
26	26	102	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
27	27	104	8.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
29	29	112	2.0	0	0	2/2	4	1	i.iv6	e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
29	29	114	2.0	1/2	1/2	2/2	4	1	i64	e	i		i64		i		64						m	1	1	1, 0, -3		0	1
30	30	116	2.0	0	0	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
30	30	118	1.0	1/2	1/2	2/2	4	1	V7(4)	e	i		V7(4)		V		7	4					Mm7	1	1	1, 0, 2, -1		1	1
30	30	119	1.0	3/4	3/4	2/2	4	1	V7	e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
31	31	120	2.0	0	0	2/2	4	1	i\\	e	i		i		i							\\	m	1	1	0, -3, 1		0	0
31	31	122	2.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
32	32	124	10.0	0	0	2/2	4	1	V/V	e	i		V/V		V				V				M	1	1	2, 6, 3		2	2
34	34	134	2.0	1/2	1/2	2/2	4	1	VI.V7/V	e	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
35	35	136	4.0	0	0	2/2	4	1	V7	e	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
36	36	140	2.0	0	0	2/2	4	1	I\\	e	VI		I		I							\\	M	1	0	0, 4, 1		0	0
36	36	142	4.0	1/2	1/2	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
37	37	146	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
38	38	148	6.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
39	39	154	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
40	40	156	2.0	0	0	2/2	4	1	I	e	VI		I		I								M	1	0	0, 4, 1		0	0
40	40	158	2.0	1/2	1/2	2/2	4	1	I(64)	e	VI		I(64)		I			64					M	1	0	0, -1, 3		0	0
41	41	160	1.5	0	0	2/2	4	1	I[I	e	VI	I	I		I								M	1	0	0, 4, 1		0	0
41	41	323/2	0.5	3/8	3/8	2/2	4	1	ii6	e	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
41	41	162	1.5	1/2	1/2	2/2	4	1	I6	e	VI		I6		I		6						M	1	0	4, 1, 0		0	4
41	41	327/2	0.5	7/8	7/8	2/2	4	1	viio6]	e	VI		viio6		vii	o	6			]			o	1	0	2, -1, 5		5	2
42	42	164	2.0	0	0	2/2	4	1	i.iv6	e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
42	42	166	4.0	1/2	1/2	2/2	4	1	i64	e	i		i64		i		64						m	1	1	1, 0, -3		0	1
43	43	170	2.0	1/2	1/2	2/2	4	1	iv	e	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
44	44	172	1.5	0	0	2/2	4	1	#viio2	e	i		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
44	44	347/2	0.5	3/8	3/8	2/2	4	1	V2	e	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
44	44	174	2.0	1/2	1/2	2/2	4	1	i6	e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
45	45	176	2.0	0	0	2/2	4	1	#viio6	e	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5	2
45	45	178	2.0	1/2	1/2	2/2	4	1	i	e	i		i		i								m	1	1	0, -3, 1		0	0
46	46	180	2.0	0	0	2/2	4	1	iv6	e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
46	46	182	2.0	1/2	1/2	2/2	4	1	V64/iv	e	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
47	47	184	1.5	0	0	2/2	4	1	iv	e	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
47	47	371/2	0.5	3/8	3/8	2/2	4	1	ii%65	e	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
47	47	186	2.0	1/2	1/2	2/2	4	1	V	e	i		V		V								M	1	1	1, 5, 2		1	1
