mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	3/4	2/2	4	1	c#.i64	c#	i		i64		i		64					m	1	1	1, 0, -3		0	1
2	1	1	1	2.0	0	0	2/2	4	1	V6	c#	i		V6		V		6					M	1	1	5, 2, 1		1	5
2	1	3	3	2.0	1/2	1/2	2/2	4	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
3	2	5	5	3.0	0	0	2/2	4	1	iv6	c#	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
3	2	8	8	1.0	3/4	3/4	2/2	4	1	i64	c#	i		i64		i		64					m	1	1	1, 0, -3		0	1
4	3	9	9	2.0	0	0	2/2	4	1	iv	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	3	11	11	2.0	1/2	1/2	2/2	4	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	4	13	13	2.0	0	0	2/2	4	1	i6	c#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
5	4	15	15	2.0	1/2	1/2	2/2	4	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
6	5	17	17	2.0	0	0	2/2	4	1	#viio/iv	c#	i		#viio/iv		#vii	o			iv			o	1	1	4, 1, -2		4	4
6	5	19	19	1.0	1/2	1/2	2/2	4	1	iv(4)	c#	i		iv(4)		iv			4				m	1	1	-1, -2, 0		-1	-1
6	5	20	20	1.0	3/4	3/4	2/2	4	1	iv	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
7	6	21	21	1.0	0	0	2/2	4	1	bII	c#	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
7	6	22	22	1.0	1/4	1/4	2/2	4	1	bII(#2)	c#	i		bII(#2)		bII			#2				M	1	1	-5, 4, -4		-5	-5
7	6	23	23	1.0	1/2	1/2	2/2	4	1	bII	c#	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
7	6	24	24	1.0	3/4	3/4	2/2	4	1	iv64	c#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
8	7	25	25	3.0	0	0	2/2	4	1	Ger6	c#	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
8	7	28	28	1.0	3/4	3/4	2/2	4	1	V2/iv	c#	i		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
9	8	29	29	2.0	0	0	2/2	4	1	iv6	c#	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
9	8	31	31	1.0	1/2	1/2	2/2	4	1	V(64)	c#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
9	8	32	32	1.0	3/4	3/4	2/2	4	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
10	9	33	33	1.0	0	0	2/2	4	1	V6	c#	i		V6		V		6					M	1	1	5, 2, 1		1	5
10	9	34	34	1.0	1/4	1/4	2/2	4	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	9	35	35	1.0	1/2	1/2	2/2	4	1	i64	c#	i		i64		i		64					m	1	1	1, 0, -3		0	1
10	9	36	36	1.0	3/4	3/4	2/2	4	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
11	10	37	37	1.0	0	0	2/2	4	1	#viio2(4)	c#	i		#viio2(4)		#vii	o	2	4				o7	1	1	-4, 5, -3, -1		5	-4
11	10	38	38	1.0	1/4	1/4	2/2	4	1	#viio2	c#	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
11	10	39	39	1.0	1/2	1/2	2/2	4	1	iio43	c#	i		iio43		ii	o	43					o7	1	1	-4, -7, 2, -1		2	-4
11	10	40	40	1.0	3/4	3/4	2/2	4	1	III6	c#	i		III6		III		6					M	1	1	1, -2, -3		-3	1
12	11	41	41	1.0	0	0	2/2	4	1	V7/vii	c#	i		V7/vii		V		7		vii			Mm7	1	1	-1, 3, 0, -3		-1	-1
12	11	42	42	1.0	1/4	1/4	2/2	4	1	VI	c#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
12	11	43	43	1.0	1/2	1/2	2/2	4	1	III6	c#	i		III6		III		6					M	1	1	1, -2, -3		-3	1
12	11	44	44	1.0	3/4	3/4	2/2	4	1	bII6	c#	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
13	12	45	45	1.0	0	0	2/2	4	1	V7/vi	c#	i		V7/vi		V		7		vi			Mm7	1	1	-3, 1, -2, -5		-3	-3
13	12	46	46	1.0	1/4	1/4	2/2	4	1	iv	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	12	47	47	1.0	1/2	1/2	2/2	4	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
13	12	48	48	1.0	3/4	3/4	2/2	4	1	V7/iv	c#	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
14	13	49	49	2.0	0	0	2/2	4	1	viio2/VI	c#	i		viio2/VI		vii	o	2		VI			o7	1	1	-8, 1, -2, -5		1	-8
14	13	51	51	2.0	1/2	1/2	2/2	4	1	IV	c#	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
15	14	53	53	1.0	0	0	2/2	4	1	bII+	c#	i		bII+		bII	+						+	1	1	-5, -1, 3		-5	-5
15	14	54	54	1.0	1/4	1/4	2/2	4	1	vii6(6)	c#	i		vii6(6)		vii		6	6				m	1	1	-5, 1, -2		-2	-5
15	14	55	55	1.0	1/2	1/2	2/2	4	1	vii6	c#	i		vii6		vii		6					m	1	1	-5, -1, -2		-2	-5
15	14	56	56	1.0	3/4	3/4	2/2	4	1	#viio6/vii	c#	i		#viio6/vii		#vii	o	6		vii			o	1	1	0, -3, 3		3	0
16	15	57	57	1.0	0	0	2/2	4	1	vii	c#	i		vii		vii							m	1	1	-2, -5, -1		-2	-2
16	15	58	58	1.0	1/4	1/4	2/2	4	1	viio43/VI	c#	i		viio43/VI		vii	o	43		VI			o7	1	1	-5, -8, 1, -2		1	-5
16	15	59	59	1.0	1/2	1/2	2/2	4	1	VI	c#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
16	15	60	60	1.0	3/4	3/4	2/2	4	1	vii	c#	i		vii		vii							m	1	1	-2, -5, -1		-2	-2
17	16	61	61	2.0	0	0	2/2	4	1	VI	c#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
17	16	63	63	1.0	1/2	1/2	2/2	4	1	i[VI6	c#	i	i	VI6		VI		6					M	1	1	0, -3, -4		-4	0
17	16	64	64	1.0	3/4	3/4	2/2	4	1	vii64	c#	i	i	vii64		vii		64					m	1	1	-1, -2, -5		-2	-1
18	17	65	65	1.0	0	0	2/2	4	1	bII+6]	c#	i	i	bII+6		bII	+	6					+	1	1	-1, 3, -5		-5	-1
18	17	66	66	1.0	1/4	1/4	2/2	4	1	#viio43/vii	c#	i		#viio43/vii		#vii	o	43		vii			o7	1	1	-3, -6, 3, 0		3	-3
18	17	67	67	1.0	1/2	1/2	2/2	4	1	vii6	c#	i		vii6		vii		6					m	1	1	-5, -1, -2		-2	-5
18	17	68	68	1.0	3/4	3/4	2/2	4	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
19	18	69	69	1.0	0	0	2/2	4	1	vii.i	c#	vii		i		i							m	1	1	0, -3, 1		0	0
19	18	70	70	1.0	1/4	1/4	2/2	4	1	V64	c#	vii		V64		V		64					M	1	1	2, 1, 5		1	2
19	18	71	71	1.0	1/2	1/2	2/2	4	1	i6	c#	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
19	18	72	72	1.0	3/4	3/4	2/2	4	1	#io6	c#	vii		#io6		#i	o	6					o	1	1	4, 1, 7		7	4
20	19	73	73	1.0	0	0	2/2	4	1	#io65	c#	vii		#io65		#i	o	65					o7	1	1	4, 1, -2, 7		7	4
20	19	74	74	1.0	1/4	1/4	2/2	4	1	ii6	c#	vii		ii6		ii		6					m	1	1	-1, 3, 2		2	-1
20	19	75	75	1.0	1/2	1/2	2/2	4	1	#viio6/iv	c#	vii		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1
20	19	76	76	1.0	3/4	3/4	2/2	4	1	#vo7	c#	vii		#vo7		#v	o	7					o7	1	1	8, 5, 2, -1		8	8
21	20	77	77	1.0	0	0	2/2	4	1	i.V(64)	c#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
21	20	78	78	1.0	1/4	1/4	2/2	4	1	Ger6	c#	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
21	20	79	79	1.0	1/2	1/2	2/2	4	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
21	20	80	80	1.0	3/4	3/4	2/2	4	1	V2	c#	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
22	21	81	81	1.0	0	0	2/2	4	1	V2	c#	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
22	21	82	82	1.0	1/4	1/4	2/2	4	1	I6(7)	c#	i		I6(7)		I		6	7				M	1	1	4, 1, -2		0	4
22	21	83	83	2.0	1/2	1/2	2/2	4	1	I6	c#	i		I6		I		6					M	1	1	4, 1, 0		0	4
23	22	85	85	1.0	0	0	2/2	4	1	V65/iv	c#	i		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
23	22	86	86	2.0	1/4	1/4	2/2	4	1	iv(7)	c#	i		iv(7)		iv			7				m	1	1	-1, -4, 0	-3	-1	-1
23	22	88	88	1.0	3/4	3/4	2/2	4	1	V/vii	c#	i		V/vii		V				vii			M	1	1	-1, 3, 0		-1	-1
24	23	89	89	2.0	0	0	2/2	4	1	V2/vii	c#	i		V2/vii		V		2		vii			Mm7	1	1	-3, -1, 3, 0		-1	-3
24	23	91	91	1.0	1/2	1/2	2/2	4	1	vii64	c#	i		vii64		vii		64					m	1	1	-1, -2, -5		-2	-1
24	23	92	92	1.0	3/4	3/4	2/2	4	1	V/III	c#	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
25	24	93	93	1.0	0	0	2/2	4	1	vo64(2)	c#	i		vo64(2)		v	o	64	2				o	1	1	-5, -4, -2		1	-5
25	24	94	94	1.0	1/4	1/4	2/2	4	1	vo64	c#	i		vo64		v	o	64					o	1	1	-5, 1, -2		1	-5
25	24	95	95	1.0	1/2	1/2	2/2	4	1	III.I(42)	c#	III		I(42)		I			42				M	1	0	2, -1, 1		0	2
25	24	96	96	1.0	3/4	3/4	2/2	4	1	I64	c#	III		I64		I		64					M	1	0	1, 0, 4		0	1
26	25	97	97	1.0	0	0	2/2	4	1	V65	c#	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
26	25	98	98	1.0	1/4	1/4	2/2	4	1	iii64	c#	III		iii64		iii		64					m	1	0	5, 4, 1		4	5
26	25	99	99	1.0	1/2	1/2	2/2	4	1	I[I(42)	c#	III	I	I(42)		I			42				M	1	0	2, -1, 1		0	2
26	25	100	100	1.0	3/4	3/4	2/2	4	1	I	c#	III	I	I		I							M	1	0	0, 4, 1		0	0
27	26	101	101	1.0	0	0	2/2	4	1	viio64	c#	III	I	viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1
27	26	102	102	1.0	1/4	1/4	2/2	4	1	I(7)	c#	III	I	I(7)		I			7				M	1	0	0, 4, 1	5	0	0
27	26	103	103	1.5	1/2	1/2	2/2	4	1	iv]	c#	III	I	iv		iv							m	1	0	-1, -4, 0		-1	-1
27	26	209/2	209/2	0.5	7/8	7/8	2/2	4	1	I	c#	III		I		I							M	1	0	0, 4, 1		0	0
28	27	105	105	2.0	0	0	2/2	4	1	I+6	c#	III		I+6		I	+	6					+	1	0	4, 8, 0		0	4
28	27	107	107	1.0	1/2	1/2	2/2	4	1	IV	c#	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
28	27	108	108	1.0	3/4	3/4	2/2	4	1	Fr6/V	c#	III		Fr6/V	Fr	V		43	b5	V/V			Fr	1	0	-3, 1, 3, 7		3	-3
29	28	109	109	1.0	0	0	2/2	4	1	V/V	c#	III		V/V		V				V			M	1	0	2, 6, 3		2	2
29	28	110	110	1.0	1/4	1/4	2/2	4	1	V65/V	c#	III		V65/V		V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
29	28	111	111	1.0	1/2	1/2	2/2	4	1	V	c#	III		V		V							M	1	0	1, 5, 2		1	1
29	28	112	112	1.0	3/4	3/4	2/2	4	1	V65	c#	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
