mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.f.i	-0.00384688	-3.52439	dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
1	1	5/8	5/8	4/4	1	1	V			dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
2	2	0	0	4/4	1	1	i			dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
3	3	0	0	4/4	1	1	V[V6	0	-3.12165	dcml	f	i	V	V6		V		6				M	1	1	5, 2, 1		1	5
3	3	1/2	1/2	4/4	1	1	i	0	-3.65197	dcml	f	i	V	i		i						m	1	1	0, -3, 1		0	0
4	4	0	0	4/4	1	1	V6]			dcml	f	i	V	V6		V		6				M	1	1	5, 2, 1		1	5
4	4	1/4	1/4	4/4	1	1	i			dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
4	4	1/2	1/2	4/4	1	1	V			dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
4	4	3/4	3/4	4/4	1	1	i	0.195123	-4.06098	dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
5	5	0	0	4/4	1	1	V	0	-4.06098	dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
6	6	0	0	4/4	1	1	.bII			dcml	f	i		bII		bII						M	1	1	-5, -1, -4		-5	-5
8	8	0	0	4/4	1	1	#viio2/V			dcml	f	i		#viio2/V		#vii	o	2		V		o7	1	1	4, 13, 10, 7		13	4
9	9	0	0	4/4	1	1	V43(2)			dcml	f	i		V43(2)		V		43	2			Mm7	1	1	2, -1, -4, 5		1	2
9	9	1/2	1/2	4/4	1	1	V43			dcml	f	i		V43		V		43				Mm7	1	1	2, -1, 1, 5		1	2
10	10	0	0	4/4	1	1	V7			dcml	f	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
11	11	0	0	4/4	1	1	V7(94)	-0.177613	-2.78267	dcml	f	i		V7(94)		V		7	94			Mm7	1	1	1, 0, 2, -1	-4	1	1
11	11	1/2	1/2	4/4	1	1	V7(9)			dcml	f	i		V7(9)		V		7	9			Mm7	1	1	1, 5, 2, -1	-4	1	1
13	13	0	0	4/4	1	1	V7	0.0888065	-4.64427	dcml	f	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
14	14	0	0	4/4	1	1	i	0.0888065	-6.62791	dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
14	14	1/2	1/2	4/4	1	1	vii%65	-1.59852	-6.2809	dcml	f	i		vii%65		vii	%	65				%7	1	1	-3, 4, -4, -2		-2	-3
14	14	3/4	3/4	4/4	1	1	i	0	-5.6988	dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
15	15	0	0	4/4	1	1	V	0	-3.40306	dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
16	16	0	0	4/4	1	1	VI	0	-3.31185	dcml	f	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
16	16	1/2	1/2	4/4	1	1	VI(#4)			dcml	f	i		VI(#4)		VI			#4			M	1	1	-4, 0, 9		-4	-4
16	16	3/4	3/4	4/4	1	1	VI			dcml	f	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
17	17	0	0	4/4	1	1	V/V			dcml	f	i		V/V		V				V		M	1	1	2, 6, 3		2	2
17	17	1/4	1/4	4/4	1	1	V7/V			dcml	f	i		V7/V		V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
17	17	1/2	1/2	4/4	1	1	V			dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
18	18	0	0	4/4	1	1	i\\			dcml	f	i		i		i					\\	m	1	1	0, -3, 1		0	0
18	18	1/4	1/4	4/4	1	1	i			dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
18	18	5/8	5/8	4/4	1	1	V			dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
19	19	0	0	4/4	1	1	i			dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
19	19	1/2	1/2	4/4	1	1	.bII			dcml	f	i		bII		bII						M	1	1	-5, -1, -4		-5	-5
20	20	0	0	4/4	1	1	@none			dcml	f	i		@none		@none						m	1	1				
21	21	0	0	4/4	1	1	V	0	-4.55	dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
21	21	1/8	1/8	4/4	1	1	V6/VI	0	-4.55012	dcml	f	i		V6/VI		V		6		VI		M	1	1	1, -2, -3		-3	1
21	21	1/2	1/2	4/4	1	1	VI.V	-0.0712966	-4.55	dcml	f	VI		V		V						M	1	0	1, 5, 2		1	1
21	21	3/4	3/4	4/4	1	1	viio	0.0175099	-5.20604	dcml	f	VI		viio		vii	o					o	1	0	5, 2, -1		5	5
22	22	0	0	4/4	1	1	I	-0.106316	-5.20604	dcml	f	VI		I		I						M	1	0	0, 4, 1		0	0
22	22	1/4	1/4	4/4	1	1	ii7	0	-4.55	dcml	f	VI		ii7		ii		7				mm7	1	0	2, -1, 3, 0		2	2
22	22	3/8	3/8	4/4	1	1	I6	0	-4.55	dcml	f	VI		I6		I		6				M	1	0	4, 1, 0		0	4
22	22	1/2	1/2	4/4	1	1	IV	0	-4.55	dcml	f	VI		IV		IV						M	1	0	-1, 3, 0		-1	-1
22	22	3/4	3/4	4/4	1	1	ii65	0	-4.55	dcml	f	VI		ii65		ii		65				mm7	1	0	-1, 3, 0, 2		2	-1
