mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	9.5	0	3/8	3/4	4	1		c.i		c	i		i	i							m	1	1	0, -3, 1		0	0
4	3	19/2	19/2	1.0	1/2	1/2	3/4	4	1		viio64/V		c	i		viio64/V	vii	o	64		V			o	1	1	0, 6, 3		6	0
5	4	21/2	21/2	10.0	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
8	7	41/2	41/2	3.5	1/4	1/4	3/4	4	1		@none		c	i		@none	@none							m	1	1				
10	8	24	24	1.5	0	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
11	9	51/2	51/2	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
11	9	27	27	1.5	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	10	57/2	57/2	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
12	10	30	30	1.5	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
13	11	63/2	63/2	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
13	11	33	33	1.5	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
14	12	69/2	69/2	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
14	12	36	36	1.5	3/8	3/8	3/4	4	1		iv.VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
15	13	75/2	75/2	1.5	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
15	13	39	39	1.5	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
16	14	81/2	81/2	1.5	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
16	14	42	42	1.5	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
17	15	87/2	87/2	1.5	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
17	15	45	45	1.5	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
18	16	93/2	93/2	3.0	0	0	3/4	4	1		bII.V6		c	bII		V6	V		6					M	1	0	5, 2, 1		1	5
19	17	99/2	99/2	6.0	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
21	19	111/2	111/2	6.0	0	0	3/4	4	1		IV		c	bII		IV	IV							M	1	0	-1, 3, 0		-1	-1
23	21	123/2	123/2	6.0	0	0	3/4	4	1		V7		c	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
25	23	135/2	135/2	3.0	0	0	3/4	4	1		I\\		c	bII		I	I						\\	M	1	0	0, 4, 1		0	0
26	24	141/2	141/2	9.0	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
29	27	159/2	159/2	3.0	0	0	3/4	4	1		iv.ii%65		c	iv		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
30	28	165/2	165/2	3.0	0	0	3/4	4	1		ii%7		c	iv		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
31	29	171/2	171/2	6.0	0	0	3/4	4	1		V7		c	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
33	31	183/2	183/2	6.0	0	0	3/4	4	1		i		c	iv		i	i							m	1	1	0, -3, 1		0	0
35	33	195/2	195/2	3.0	0	0	3/4	4	1		i\\		c	iv		i	i						\\	m	1	1	0, -3, 1		0	0
36	34	201/2	201/2	6.0	0	0	3/4	4	1		i.#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
38	36	213/2	213/2	3.0	0	0	3/4	4	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
39	37	219/2	219/2	9.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
42	40	237/2	237/2	6.0	0	0	3/4	4	1		i.#viio/v		c	i		#viio/v	#vii	o			v			o	1	1	6, 3, 0		6	6
44	42	249/2	249/2	3.0	0	0	3/4	4	1		V7/v		c	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
45	43	255/2	255/2	3.0	0	0	3/4	4	1		v[v6		c	i	v	v6	v		6					m	1	1	-2, 2, 1		1	-2
46	44	261/2	261/2	3.0	0	0	3/4	4	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
47	45	267/2	267/2	3.0	0	0	3/4	4	1		i64		c	i	v	i64	i		64					m	1	1	1, 0, -3		0	1
48	46	273/2	273/2	3.0	0	0	3/4	4	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
49	47	279/2	279/2	6.0	0	0	3/4	4	1		i64		c	i	v	i64	i		64					m	1	1	1, 0, -3		0	1
51	49	291/2	291/2	3.0	0	0	3/4	4	1		V		c	i	v	V	V							M	1	1	1, 5, 2		1	1
52	50	297/2	297/2	3.0	0	0	3/4	4	1		V]		c	i	v	V	V							M	1	1	1, 5, 2		1	1
53	51	303/2	303/2	3.0	0	0	3/4	4	1		i[i		c	i	i	i	i							m	1	1	0, -3, 1		0	0
54	52	309/2	309/2	3.0	0	0	3/4	4	1		V7/iv		c	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
55	53	315/2	315/2	3.0	0	0	3/4	4	1		iv64		c	i	i	iv64	iv		64					m	1	1	0, -1, -4		-1	0
56	54	321/2	321/2	3.0	0	0	3/4	4	1		V7/iv		c	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
57	55	327/2	327/2	5.0	0	0	3/4	4	1		iv64		c	i	i	iv64	iv		64					m	1	1	0, -1, -4		-1	0
58	56	337/2	337/2	1.0	1/2	1/2	3/4	4	1		V		c	i	i	V	V							M	1	1	1, 5, 2		1	1
59	57	339/2	339/2	1.0	0	0	3/4	4	1		i6]		c	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
59	57	341/2	341/2	2.0	1/4	1/4	3/4	4	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
60	58	345/2	345/2	1.0	0	0	3/4	4	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
60	58	347/2	347/2	2.0	1/4	1/4	3/4	4	1		V65/III		c	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
61	59	351/2	351/2	1.0	0	0	3/4	4	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
61	59	353/2	353/2	2.0	1/4	1/4	3/4	4	1		VI6		c	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
62	60	357/2	357/2	1.0	0	0	3/4	4	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
62	60	359/2	359/2	2.0	1/4	1/4	3/4	4	1		V65		c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
63	61	363/2	363/2	1.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
63	61	365/2	365/2	2.0	1/4	1/4	3/4	4	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
64	62	369/2	369/2	1.0	0	0	3/4	4	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
64	62	371/2	371/2	2.0	1/4	1/4	3/4	4	1		V65/III		c	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
65	63	375/2	375/2	1.0	0	0	3/4	4	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
65	63	377/2	377/2	2.0	1/4	1/4	3/4	4	1		VI6		c	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
66	64	381/2	381/2	1.0	0	0	3/4	4	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
66	64	383/2	383/2	2.0	1/4	1/4	3/4	4	1		V65		c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
67	65	387/2	387/2	1.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
67	65	389/2	389/2	2.0	1/4	1/4	3/4	4	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
68	66	393/2	393/2	1.0	0	0	3/4	4	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
68	66	395/2	395/2	2.0	1/4	1/4	3/4	4	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
69	67	399/2	399/2	1.0	0	0	3/4	4	1		ii		c	i		ii	ii							m	1	1	2, -1, 3		2	2
69	67	401/2	401/2	2.0	1/4	1/4	3/4	4	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
70	68	405/2	405/2	1.0	0	0	3/4	4	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
70	68	407/2	407/2	2.0	1/4	1/4	3/4	4	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
71	69	411/2	411/2	3.0	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
72	70	417/2	417/2	3.0	0	0	3/4	4	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
73	71	423/2	423/2	3.0	0	0	3/4	4	1		ii%43/v		c	i		ii%43/v	ii	%	43		v			%7	1	1	-3, 1, 3, 0		3	-3
74	72	429/2	429/2	3.0	0	0	3/4	4	1		V64		c	i		V64	V		64					M	1	1	2, 1, 5		1	2
75	73	435/2	435/2	2.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
75	73	439/2	439/2	1.0	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
76	74	441/2	441/2	2.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
76	74	445/2	445/2	1.0	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
77	75	447/2	447/2	2.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
77	75	451/2	451/2	1.0	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
78	76	453/2	453/2	2.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
78	76	457/2	457/2	1.0	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
79	77		459/2		0	0	3/4	4	1	1	V\\		c	i		V	V						\\	M	1	1	1, 5, 2		1	1
80	77	459/2	231	3.0	0	0	3/4	4	1	2	I.I\\		c	I		I	I						\\	M	1	0	0, 4, 1		0	0
81	78	465/2	234	21.0	0	0	3/4	4	1		I		c	I		I	I							M	1	0	0, 4, 1		0	0
88	85	507/2	255	3.0	0	0	3/4	4	1		I		c	I		I	I							M	1	0	0, 4, 1		0	0
89	86	513/2	258	6.0	0	0	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
