mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.A.I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
1	1	11/16	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
1	1	3/4	viio6	A	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
1	1	15/16	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
2	2	0	V65	A	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
2	2	1/4	I\\	A	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
3	3	0	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
3	3	1/4	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
3	3	11/16	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
3	3	3/4	IV6	A	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
3	3	15/16	IV	A	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
4	4	0	V(64)	A	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
4	4	1/4	V\\	A	I		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
4	4	1/2	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
5	5	0	V6	A	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
5	5	3/4	V2	A	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
6	6	0	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
6	6	1/4	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
6	6	3/4	V.ii	A	V		ii	ii						m	0	0	2, -1, 3		2.0	2.0
7	7	0	V7(4)	A	V		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1.0	1.0
7	7	3/8	V7	A	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
7	7	1/2	V(64)	A	V		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
7	7	5/8	V7	A	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
7	7	3/4	vi7	A	V		vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
7	7	15/16	viio64	A	V		viio64	vii	o	64				o	0	0	-1, 5, 2		5.0	-1.0
8	8	0	I	A	V		I	I						M	0	0	0, 4, 1		0.0	0.0
8	8	1/4	V7	A	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
8	8	1/2	I\\	A	V		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
9	9	0	I6	A	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
9	9	1/2	I	A	V		I	I						M	0	0	0, 4, 1		0.0	0.0
9	9	3/4	V	A	V		V	V						M	0	0	1, 5, 2		1.0	1.0
9	9	15/16	IV	A	V		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
10	10	0	I6	A	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
10	10	1/4	viio64	A	V		viio64	vii	o	64				o	0	0	-1, 5, 2		5.0	-1.0
10	10	1/2	V	A	V		V	V						M	0	0	1, 5, 2		1.0	1.0
10	10	5/8	@none	A	V		@none	@none						m	0	0				
10	10	15/16	I.V	A	I		V	V						M	0	0	1, 5, 2		1.0	1.0
11	11	0	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
11	11	1/4	V(64)	A	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
11	11	3/8	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
11	11	1/2	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
11	11	5/8	I(64)	A	I		I(64)	I			64			M	0	0	0, -1, 3		0.0	0.0
12	12	0	iii	A	I		iii	iii						m	0	0	4, 1, 5		4.0	4.0
12	12	3/8	V43	A	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
12	12	1/2	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
12	12	5/8	vi	A	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
12	12	3/4	iiio64	A	I		iiio64	iii	o	64				o	0	0	-2, 4, 1		4.0	-2.0
13	13	0	IV64	A	I		IV64	IV		64				M	0	0	0, -1, 3		-1.0	0.0
13	13	1/2	IV6	A	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
14	14	0	ii7	A	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2.0	2.0
14	14	1/2	V65	A	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
15	15	0	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
15	15	3/4	V64	A	I		V64	V		64				M	0	0	2, 1, 5		1.0	2.0
15	15	15/16	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
16	16	0	V65	A	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
16	16	1/4	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
17	17	0	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
17	17	1/4	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
17	17	1/2	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
17	17	3/4	IV6	A	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
17	17	15/16	IV	A	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
18	18	0	V(64)	A	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
18	18	1/4	V\\	A	I		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
18	18	1/2	V7/V	A	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
19	19	3/4	V2/V	A	I		V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2.0	0.0
20	20	0	V6	A	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
20	20	1/2	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
21	21	1/4	V43	A	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
21	21	3/4	V2	A	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
22	22	0	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
22	22	1/4	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
22	22	3/4	ii	A	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
22	22	15/16	ii6	A	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
23	23	0	V7(4)	A	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1.0	1.0
23	23	3/8	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
23	23	1/2	V(64)	A	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
23	23	5/8	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
23	23	3/4	IV6(+6+2)	A	I		IV6(+6+2)	IV		6	+6+2			M	0	0	3, 0, -1	2, 1	-1.0	3.0
23	23	15/16	V65	A	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
24	24	0	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
24	24	1/4	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
24	24	1/2	I	A	I		I	I						M	0	0	0, 4, 1		0.0	0.0
25	25	0	.i.V	A	i		V	V						M	0	1	1, 5, 2		1.0	1.0
25	25	1/2	i	A	i		i	i						m	0	1	0, -3, 1		0.0	0.0
26	26	0	III	A	i		III	III						M	0	1	-3, 1, -2		-3.0	-3.0
26	26	1/4	V2/VI	A	i		V2/VI	V		2		VI		Mm7	0	1	-5, -3, 1, -2		-3.0	-5.0
26	26	1/2	VI6	A	i		VI6	VI		6				M	0	1	0, -3, -4		-4.0	0.0
