mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3/8	3/4	1	1		.c.i		c	i		i	i							m	1	1	0, -3, 1		0	0
4	4	1/2	1/2	3/4	1	1		#viio64/V		c	i		#viio64/V	#vii	o	64		V			o	1	1	0, 6, 3		6	0
5	5	0	0	3/4	1	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
8	8	1/4	1/4	3/4	1	1		@none		c	i		@none	@none							m	1	1				
10	10	0	3/8	3/4	1	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
11	11	0	0	3/4	1	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
11	11	3/8	3/8	3/4	1	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	12	0	0	3/4	1	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
12	12	3/8	3/8	3/4	1	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
13	13	0	0	3/4	1	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
13	13	3/8	3/8	3/4	1	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
14	14	0	0	3/4	1	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
14	14	3/8	3/8	3/4	1	1		iv.VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
15	15	0	0	3/4	1	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
15	15	3/8	3/8	3/4	1	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
16	16	0	0	3/4	1	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
16	16	3/8	3/8	3/4	1	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
17	17	0	0	3/4	1	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
17	17	3/8	3/8	3/4	1	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
18	18	0	0	3/4	1	1		.bII.V6		c	bII		V6	V		6					M	1	0	5, 2, 1		1	5
19	19	0	0	3/4	1	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
21	21	0	0	3/4	1	1		IV		c	bII		IV	IV							M	1	0	-1, 3, 0		-1	-1
23	23	0	0	3/4	1	1		V7		c	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
25	25	0	0	3/4	1	1		I\\		c	bII		I	I						\\	M	1	0	0, 4, 1		0	0
26	26	0	0	3/4	1	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
29	29	0	0	3/4	1	1		iv.ii%6		c	iv		ii%6	ii	%	6						1	1				
30	30	0	0	3/4	1	1		iio7		c	iv		iio7	ii	o	7					o7	1	1	2, -1, -4, -7		2	2
31	31	0	0	3/4	1	1		V7		c	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
33	33	0	0	3/4	1	1		i		c	iv		i	i							m	1	1	0, -3, 1		0	0
35	35	0	0	3/4	1	1		i\\		c	iv		i	i						\\	m	1	1	0, -3, 1		0	0
36	36	0	0	3/4	1	1		i.#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
38	38	0	0	3/4	1	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
39	39	0	0	3/4	1	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
42	42	0	0	3/4	1	1		i.#viio/v		c	i		#viio/v	#vii	o			v			o	1	1	6, 3, 0		6	6
44	44	0	0	3/4	1	1		V7/v		c	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
45	45	0	0	3/4	1	1		v[v6		c	i	v	v6	v		6					m	1	1	-2, 2, 1		1	-2
46	46	0	0	3/4	1	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
47	47	0	0	3/4	1	1		i64		c	i	v	i64	i		64					m	1	1	1, 0, -3		0	1
48	48	0	0	3/4	1	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
49	49	0	0	3/4	1	1		i64		c	i	v	i64	i		64					m	1	1	1, 0, -3		0	1
51	51	0	0	3/4	1	1		V		c	i	v	V	V							M	1	1	1, 5, 2		1	1
