mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	4	1		Eb.I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	4	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
1	1	2	1.0	1/2	1/2	3/4	4	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	3	3.0	0	0	3/4	4	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
3	3	6	11.0	0	0	3/4	4	1		@none	Eb	I		@none		@none							m	0	0				
6	6	17	1.0	1/2	1/2	3/4	4	1		#viio/ii	Eb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
7	7	18	2.0	0	0	3/4	4	1		ii	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
7	7	20	1.0	1/2	1/2	3/4	4	1		V64/ii	Eb	I		V64/ii		V		64		ii			M	0	0	4, 3, 7		3	4
8	8	21	2.0	0	0	3/4	4	1		ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	8	23	1.0	1/2	1/2	3/4	4	1		#viio/V	Eb	I		#viio/V		#vii	o			V			o	0	0	6, 3, 0		6	6
9	9	24	2.0	0	0	3/4	4	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
9	9	26	1.0	1/2	1/2	3/4	4	1		@none	Eb	I		@none		@none							m	0	0				
10	10	27	2.0	0	0	3/4	4	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
10	10	29	1.0	1/2	1/2	3/4	4	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	30	2.0	0	0	3/4	4	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
11	11	32	1.0	1/2	1/2	3/4	4	1		@none	Eb	I		@none		@none							m	0	0				
12	12	33	2.0	0	0	3/4	4	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
12	12	35	1.0	1/2	1/2	3/4	4	1		#viio6/V	Eb	I		#viio6/V		#vii	o	6		V			o	0	0	3, 0, 6		6	3
13	13	36	2.0	0	0	3/4	4	1		V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
13	13	38	1.0	1/2	1/2	3/4	4	1		@none	Eb	I		@none		@none							m	0	0				
14	14	39	2.0	0	0	3/4	4	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
14	14	41	1.0	1/2	1/2	3/4	4	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	42	2.0	0	0	3/4	4	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
15	15	44	1.0	1/2	1/2	3/4	4	1		V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
16	16	45	1.0	0	0	3/4	4	1		#viio6/V	Eb	I		#viio6/V		#vii	o	6		V			o	0	0	3, 0, 6		6	3
16	16	46	1.0	1/4	1/4	3/4	4	1		iv6	Eb	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
16	16	47	1.0	1/2	1/2	3/4	4	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	48	2.0	0	0	3/4	4	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
17	17	50	1.0	1/2	1/2	3/4	4	1		ii	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
18	18	51	1.0	0	0	3/4	4	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	18	52	1.0	1/4	1/4	3/4	4	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
18	18	53	1.0	1/2	1/2	3/4	4	1		IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
19	19	54	1.0	0	0	3/4	4	1		viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
19	19	55	1.0	1/4	1/4	3/4	4	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	56	1.0	1/2	1/2	3/4	4	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
20	20	57	1.0	0	0	3/4	4	1		V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
20	20	58	1.0	1/4	1/4	3/4	4	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
20	20	59	1.0	1/2	1/2	3/4	4	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
21	21	60	2.0	0	0	3/4	4	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	62	1.0	1/2	1/2	3/4	4	1		#viio6/V	Eb	I		#viio6/V		#vii	o	6		V			o	0	0	3, 0, 6		6	3
22	22	63	1.0	0	0	3/4	4	1		v6	Eb	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
22	22	64	1.0	1/4	1/4	3/4	4	1		#io2	Eb	I		#io2		#i	o	2					o7	0	0	-2, 7, 4, 1		7	-2
22	22	65	1.0	1/2	1/2	3/4	4	1		V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	23	66	2.0	0	0	3/4	4	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
23	23	68	1.0	1/2	1/2	3/4	4	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
24	24	69	2.0	0	0	3/4	4	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
24	24	71	1.0	1/2	1/2	3/4	4	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
25	25	72	2.0	0	0	3/4	4	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
25	25	74	1.0	1/2	1/2	3/4	4	1		V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
26	26	75	2.0	0	0	3/4	4	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
26	26	77	1.0	1/2	1/2	3/4	4	1		V7/vi	Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
27	27	78	2.0	0	0	3/4	4	1		ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
27	27	80	2.0	1/2	1/2	3/4	4	1		V/vi	Eb	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
28	28	82	3.0	1/4	1/4	3/4	4	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
29	29	85	2.0	1/4	1/4	3/4	4	1		V/V	Eb	I		V/V		V				V			M	0	0	2, 6, 3		2	2
30	30	87	1.0	0	0	3/4	4	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
30	30	88	1.0	1/4	1/4	3/4	4	1		V7/vi	Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
30	30	89	1.0	1/2	1/2	3/4	4	1		V/vi	Eb	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
31	31	90	1.0	0	0	3/4	4	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
31	31	91	2.0	1/4	1/4	3/4	4	1		V.ii	Eb	V		ii		ii							m	0	0	2, -1, 3		2	2
32	32	93	2.0	0	0	3/4	4	1		V65	Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
32	32	95	0.5	1/2	1/2	3/4	4	1		I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
32	32	191/2	0.5	5/8	5/8	3/4	4	1		V65	Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
33	33	96	0.5	0	0	3/4	4	1		V2	Eb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
33	33	193/2	0.5	1/8	1/8	3/4	4	1		I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
33	33	97	0.5	1/4	1/4	3/4	4	1		vii%65	Eb	V		vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5	2
33	33	195/2	0.5	3/8	3/8	3/4	4	1		vi65	Eb	V		vi65		vi		65					mm7	0	0	0, 4, 1, 3		3	0
33	33	98	0.5	1/2	1/2	3/4	4	1		V6	Eb	V		V6		V		6					M	0	0	5, 2, 1		1	5
33	33	197/2	0.5	5/8	5/8	3/4	4	1		IV6	Eb	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
34	34	99	0.5	0	0	3/4	4	1		iii6(+6)	Eb	V		iii6(+6)		iii		6	+6				m	0	0	1, 5, 4	0	4	1
34	34	199/2	0.5	1/8	1/8	3/4	4	1		ii6	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
34	34	100	0.5	1/4	1/4	3/4	4	1		I6(+2)	Eb	V		I6(+2)		I		6	+2				M	0	0	4, 1, 0	2	0	4
34	34	201/2	0.5	3/8	3/8	3/4	4	1		viio6	Eb	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
34	34	101	0.5	1/2	1/2	3/4	4	1		I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
34	34	203/2	0.5	5/8	5/8	3/4	4	1		V6	Eb	V		V6		V		6					M	0	0	5, 2, 1		1	5
35	35	102	0.5	0	0	3/4	4	1		IV6	Eb	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
