mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/2	6/8	4	1		D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
2	1	1	1	3.5	0	0	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
3	2	9/2	9/2	2.5	1/8	1/8	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
4	3	7	7	3.0	0	0	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
5	4	10	10	2.0	0	0	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	12	12	4.0	1/2	1/2	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
7	6	16	16	3.0	0	0	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
8	7	19	19	3.0	0	0	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
9	8	22	22	4.5	0	0	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
10	9	53/2	53/2	3.0	3/8	3/8	6/8	4	1		#viio7/ii	D	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
11	10	59/2	59/2	0.5	3/8	3/8	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
11	10	30	30	2.5	1/2	1/2	6/8	4	1		v	D	I		v		v							m	0	0	1, -2, 2		1	1
12	11	65/2	65/2	1.5	3/8	3/8	6/8	4	1		bVII6	D	I		bVII6		bVII		6					M	0	0	2, -1, -2		-2	2
13	12	34	34	1.5	0	0	6/8	4	1		vii%7/IV	D	I		vii%7/IV		vii	%	7		IV			%7	0	0	4, 1, -2, 2		4	4
13	12	71/2	71/2	0.5	3/8	3/8	6/8	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
13	12	36	36	2.5	1/2	1/2	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
14	13	77/2	77/2	1.5	3/8	3/8	6/8	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
15	14	40	40	1.5	0	0	6/8	4	1		vii%7	D	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
15	14	83/2	83/2	1.5	3/8	3/8	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
16	15	43	43	1.0	0	0	6/8	4	1		IV(#72)	D	I		IV(#72)		IV			#72				M	0	0	1, 3, 0	11	-1	1
16	15	44	44	0.5	1/4	1/4	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
16	15	89/2	89/2	1.5	3/8	3/8	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	46	46	1.5	0	0	6/8	4	1		I(+#74+2)	D	I		I(+#74+2)		I			+#74+2				M	0	0	0, -1, 1	12, 2	0	0
17	16	95/2	95/2	1.5	3/8	3/8	6/8	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
18	17	49	49	3.0	0	0	6/8	4	1		iiio	D	I		iiio		iii	o						o	0	0	4, 1, -2		4	4
19	18	52	52	1.5	0	0	6/8	4	1		#viio43/ii	D	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
19	18	107/2	107/2	1.5	3/8	3/8	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
20	19	55	55	3.0	0	0	6/8	4	1		#viio43/ii	D	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
21	20	58	58	1.5	0	0	6/8	4	1		vii%43/IV	D	I		vii%43/IV		vii	%	43		IV			%7	0	0	-2, 2, 4, 1		4	-2
21	20	119/2	119/2	1.5	3/8	3/8	6/8	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
22	21	61	61	3.0	0	0	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
23	22	64	64	1.5	0	0	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
23	22	131/2	131/2	1.5	3/8	3/8	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
24	23	67	67	0.5	0	0	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
24	23	135/2	135/2	1.0	1/8	1/8	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
24	23	137/2	137/2	0.5	3/8	3/8	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
24	23	69	69	1.0	1/2	1/2	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	24	70	70	0.5	0	0	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
25	24	141/2	141/2	2.0	1/8	1/8	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	24	145/2	145/2	0.5	5/8	5/8	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
26	25	73	73	1.0	0	0	6/8	4	1		IV(#7)	D	I		IV(#7)		IV			#7				M	0	0	-1, 3, 0	11	-1	-1
26	25	74	74	0.5	1/4	1/4	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
26	25	149/2	149/2	1.5	3/8	3/8	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
27	26	76	76	1.5	0	0	6/8	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
27	26	155/2	155/2	1.5	3/8	3/8	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
28	27	79	79	1.5	0	0	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
28	27	161/2	161/2	1.5	3/8	3/8	6/8	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
29	28	82	82	1.5	0	0	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
29	28	167/2	167/2	1.5	3/8	3/8	6/8	4	1		vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
30	29	85	85	0.5	0	0	6/8	4	1		IV(4)	D	I		IV(4)		IV			4				M	0	0	-1, 5, 0		-1	-1
30	29	171/2	171/2	1.0	1/8	1/8	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
30	29	173/2	173/2	1.5	3/8	3/8	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
31	30	88	88	1.5	0	0	6/8	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
31	30	179/2	179/2	1.5	3/8	3/8	6/8	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
32	31	91	91	1.5	0	0	6/8	4	1		V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
32	31	185/2	185/2	1.5	3/8	3/8	6/8	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
33	32	94	94	1.5	0	0	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
33	32	191/2	191/2	1.5	3/8	3/8	6/8	4	1		vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
34	33	97	97	0.5	0	0	6/8	4	1		IV(4)	D	I		IV(4)		IV			4				M	0	0	-1, 5, 0		-1	-1
34	33	195/2	195/2	1.0	1/8	1/8	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
34	33	197/2	197/2	1.5	3/8	3/8	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
35	34	100	100	2.5	0	0	6/8	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
