mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	2/4	1	1	.f.V6	0	-4.09376	dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
2	1	0	0	2/4	1	1	i	0	-4.32985	dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
2	1	1/8	1/8	2/4	1	1	V43			dcml	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
2	1	3/8	3/8	2/4	1	1	V6	0	-3.28049	dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
3	2	0	0	2/4	1	1	i			dcml	f	i		i		i							m	1	1	0, -3, 1		0	0
3	2	1/8	1/8	2/4	1	1	V43			dcml	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	2	3/8	3/8	2/4	1	1	V/iv			dcml	f	i		V/iv		V				iv			M	1	1	0, 4, 1		0	0
4	3	0	0	2/4	1	1	iv(4)			dcml	f	i		iv(4)		iv			4				m	1	1	-1, -2, 0		-1	-1
4	3	1/16	1/16	2/4	1	1	iv			dcml	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	3	1/8	1/8	2/4	1	1	V(64)			dcml	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
4	3	1/4	1/4	2/4	1	1	.Ger6			dcml	f	i		Ger6	Ger	vii	o	65	b3	V			M	1	1	-4, 0, -3, 6		6	-4
5	4	0	0	2/4	1	1	V[V(64)	0	-3.7199	dcml	f	i	V	V(64)		V			64				M	1	1	1, 0, -3		1	1
5	4	7/32	7/32	2/4	1	1	#viio43/V	-3.79427	-3.02779	dcml	f	i		#viio43/V		#vii	o	43		V			o7	1	1	7, 4, 13, 10		13	7
5	4	1/4	1/4	2/4	1	1	V(+764)	-0.444033	-2.5766	dcml	f	i		V(+764)		V			+764				M	1	1	1, 0, -3	-1	1	1
5	4	5/16	5/16	2/4	1	1	V]			dcml	f	i		V		V					]		M	1	1	1, 5, 2		1	1
5	4	3/8	3/8	2/4	1	1	#viio7/V			dcml	f	i		#viio7/V		#vii	o	7		V			o7	1	1	13, 10, 7, 4		13	13
6	5	1/8	1/8	2/4	1	1	V6			dcml	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
6	5	1/4	1/4	2/4	1	1	VI6(7)			dcml	f	i		VI6(7)		VI		6	7				M	1	1	0, -3, 1		-4	0
6	5	5/16	5/16	2/4	1	1	VI6			dcml	f	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
