mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/4	2/4	4	1		Eb.I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	1	1	1.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	2	2	2.0	1/4	1/4	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	2	4	4	2.0	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	3	6	6	1.0	1/4	1/4	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	4	7	7	1.0	0	0	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	8	8	1.0	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	5	9	9	1.0	0	0	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
6	5	10	10	2.0	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	12	12	0.75	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	51/4	51/4	0.25	7/16	7/16	2/4	4	1		#viio6/vi		Eb	I		#viio6/vi		#vii	o	6		vi			o	0	0	5, 2, 8		8	5
8	7	13	13	0.5	0	0	2/4	4	1		vi.i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
8	7	27/2	27/2	0.5	1/8	1/8	2/4	4	1		v6		Eb	vi		v6		v		6					m	0	1	-2, 2, 1		1	-2
8	7	14	14	0.5	1/4	1/4	2/4	4	1		VI		Eb	vi		VI		VI							M	0	1	-4, 0, -3		-4	-4
8	7	29/2	29/2	0.5	3/8	3/8	2/4	4	1		iv6		Eb	vi		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
9	8	15	15	1.0	0	0	2/4	4	1		V\\		Eb	vi		V		V						\\	M	0	1	1, 5, 2		1	1
10	8	16	16	1.0	0	1/4	2/4	4	1		I.V7/vi		Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
11	9	17	17	1.0	0	0	2/4	4	1		V7/ii		Eb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
11	9	18	18	1.0	1/4	1/4	2/4	4	1		V7/V		Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
12	10	19	19	1.0	0	0	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	10	20	20	1.0	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
13	11	21	21	1.0	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii			Ger	0	0	0, 4, 1, 10		10	0
13	11	22	22	2.0	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii			M	0	0	5, 9, 6		5	5
14	12	24	24	0.75	1/4	1/4	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	12	99/4	99/4	0.25	7/16	7/16	2/4	4	1		vi64		Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
15	13	25	25	1.0	0	0	2/4	4	1		V2		Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	13	26	26	0.75	1/4	1/4	2/4	4	1		V64		Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
15	13	107/4	107/4	0.25	7/16	7/16	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
16	14	27	27	1.0	0	0	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	14	28	28	0.75	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
