mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	1/2	3/4	4	1		A.I	A	I		I		I							M	0	0	0, 4, 1		0	0
3	3	4	3.0	0	0	3/4	4	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
4	4	7	3.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
5	5	10	1.0	0	0	3/4	4	1		V(6)	A	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
5	5	11	2.0	1/4	1/4	3/4	4	1		V\\	A	I		V		V						\\	M	0	0	1, 5, 2		1	1
6	6	13	5.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
7	7	18	1.0	1/2	1/2	3/4	4	1		vi	A	I		vi		vi							m	0	0	3, 0, 4		3	3
8	8	19	3.0	0	0	3/4	4	1		#viio/V	A	I		#viio/V		#vii	o			V			o	0	0	6, 3, 0		6	6
9	9	22	2.0	0	0	3/4	4	1		V/V	A	I		V/V		V				V			M	0	0	2, 6, 3		2	2
9	9	24	1.0	1/2	1/2	3/4	4	1		V2/V	A	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
10	10	25	2.0	0	0	3/4	4	1		V6	A	I		V6		V		6					M	0	0	5, 2, 1		1	5
10	10	27	2.0	1/2	1/2	3/4	4	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
11	11	29	1.0	1/4	1/4	3/4	4	1		V.IV6	A	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
11	11	30	1.0	1/2	1/2	3/4	4	1		V	A	V		V		V							M	0	0	1, 5, 2		1	1
12	12	31	1.0	0	0	3/4	4	1		ii6	A	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	32	1.0	1/4	1/4	3/4	4	1		ii	A	V		ii		ii							m	0	0	2, -1, 3		2	2
12	12	33	1.0	1/2	1/2	3/4	4	1		V	A	V		V		V							M	0	0	1, 5, 2		1	1
13	13	34	3.0	0	0	3/4	4	1		I\\	A	V		I		I						\\	M	0	0	0, 4, 1		0	0
14	14	37	3.0	0	0	3/4	4	1		I.I	A	I		I		I							M	0	0	0, 4, 1		0	0
15	15	40	3.0	0	0	3/4	4	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
16	16	43	2.0	0	0	3/4	4	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	16	45	1.0	1/2	1/2	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
17	17	46	3.0	0	0	3/4	4	1		V\\	A	I		V		V						\\	M	0	0	1, 5, 2		1	1
