mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	3/4	4/4	4	1		c.i	c	i		i		i							m	1	1	0, -3, 1		0	0
2	1	1	3.0	0	0	4/4	4	1		i[i	c	i	i	i		i							m	1	1	0, -3, 1		0	0
2	1	4	0.5	3/4	3/4	4/4	4	1		#viio64(4)	c	i	i	#viio64(4)		#vii	o	64	4				o	1	1	-1, 5, -3		5	-1
2	1	9/2	0.5	7/8	7/8	4/4	4	1		#viio64	c	i	i	#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
3	2	5	2.0	0	0	4/4	4	1		#viio2	c	i	i	#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
3	2	7	2.0	1/2	1/2	4/4	4	1		i6	c	i	i	i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	9	3.0	0	0	4/4	4	1		iv6	c	i	i	iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
4	3	12	0.5	3/4	3/4	4/4	4	1		#iiio64(4)	c	i	i	#iiio64(4)		#iii	o	64	4				o	1	1	-2, 4, -4		4	-2
4	3	25/2	0.5	7/8	7/8	4/4	4	1		#iiio64	c	i	i	#iiio64		#iii	o	64					o	1	1	-2, 4, 1		4	-2
5	4	13	2.0	0	0	4/4	4	1		#iiio2	c	i	i	#iiio2		#iii	o	2					o7	1	1	-5, 4, 1, -2		4	-5
5	4	15	3.0	1/2	1/2	4/4	4	1		iv6	c	i	i	iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
6	5	18	2.0	1/4	1/4	4/4	4	1		iio6	c	i	i	iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
6	5	20	1.0	3/4	3/4	4/4	4	1		i64	c	i	i	i64		i		64					m	1	1	1, 0, -3		0	1
7	6	21	0.5	0	0	4/4	4	1		#viio64	c	i	i	#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
7	6	43/2	2.5	1/8	1/8	4/4	4	1		#viio7	c	i	i	#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
7	6	24	1.0	3/4	3/4	4/4	4	1		i]	c	i	i	i		i							m	1	1	0, -3, 1		0	0
8	7	25	0.5	0	0	4/4	4	1		ii6(2)	c	i		ii6(2)		ii		6	2				m	1	1	-1, 3, -3		2	-1
8	7	51/2	0.5	1/8	1/8	4/4	4	1		ii6	c	i		ii6		ii		6					m	1	1	-1, 3, 2		2	-1
8	7	26	1.0	1/4	1/4	4/4	4	1		VI7	c	i		VI7		VI		7					Mm7	1	1	-4, 0, -3, -6		-4	-4
8	7	27	1.0	1/2	1/2	4/4	4	1		#viio7	c	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
8	7	28	1.0	3/4	3/4	4/4	4	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	29	1.5	0	0	4/4	4	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
9	8	61/2	0.5	3/8	3/8	4/4	4	1		V65	c	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
9	8	31	2.0	1/2	1/2	4/4	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
10	9	33	0.5	0	0	4/4	4	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	9	67/2	2.5	1/8	1/8	4/4	4	1		#viio43	c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
10	9	36	1.5	3/4	3/4	4/4	4	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
11	10	75/2	2.5	1/8	1/8	4/4	4	1		V65	c	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
11	10	40	1.0	3/4	3/4	4/4	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
12	11	41	1.0	0	0	4/4	4	1		ii%65(2)	c	i		ii%65(2)		ii	%	65	2				%7	1	1	-1, -4, 0, -3		2	-1
12	11	42	1.0	1/4	1/4	4/4	4	1		ii%65	c	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
12	11	43	1.0	1/2	1/2	4/4	4	1		ii%43	c	i		ii%43		ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
12	11	44	1.0	3/4	3/4	4/4	4	1		ii%65	c	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
13	12	45	1.0	0	0	4/4	4	1		V65/V	c	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
13	12	46	1.0	1/4	1/4	4/4	4	1		Ger6	c	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
13	12	47	1.0	1/2	1/2	4/4	4	1		V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
13	12	48	1.0	3/4	3/4	4/4	4	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	13	49	2.0	0	0	4/4	4	1		i\\	c	i		i		i						\\	m	1	1	0, -3, 1		0	0
14	13	51	2.0	1/2	1/2	4/4	4	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
15	14	53	1.0	0	0	4/4	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
