quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	0	0	1/2	4/4	4	1		1	C.IV64	dcml	C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
2	1.0	2	1	0	0	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
3	1.0	2	1	1/4	1/4	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
4	1.0	2	1	1/2	1/2	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
5	1.0	2	1	3/4	3/4	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
6	1.0	3	2	0	0	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
7	1.0	3	2	1/4	1/4	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
8	2.0	3	2	1/2	1/2	4/4	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	2.0	4	3	0	0	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	2.0	4	3	1/2	1/2	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
14	2.0	5	4	0	0	4/4	4	1		1	ii	dcml	C	I		ii	ii							m	0	0	2, -1, 3		2	2
16	2.0	5	4	1/2	1/2	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
18	2.0	6	5	0	0	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
20	1.0	6	5	1/2	1/2	4/4	4	1		1	V	dcml	C	I		V	V							M	0	0	1, 5, 2		1	1
21	1.0	6	5	3/4	3/4	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
22	4.0	7	6	0	0	4/4	4	1		1	ii	dcml	C	I		ii	ii							m	0	0	2, -1, 3		2	2
26	1.0	8	7	0	0	4/4	4	1		1	vi	dcml	C	I		vi	vi							m	0	0	3, 0, 4		3	3
27	1.0	8	7	1/4	1/4	4/4	4	1		1	ii	dcml	C	I		ii	ii							m	0	0	2, -1, 3		2	2
28	1.0	8	7	1/2	1/2	4/4	4	1		1	V	dcml	C	I		V	V							M	0	0	1, 5, 2		1	1
29	1.0	8	7	3/4	3/4	4/4	4	1		1	V65	dcml	C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
30	1.0	9	8	0	0	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
31	1.0	9	8	1/4	1/4	4/4	4	1		1	V64	dcml	C	I		V64	V		64					M	0	0	2, 1, 5		1	2
32	2.0	9	8	1/2	1/2	4/4	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
34	2.0	10	9	0	0	4/4	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
36	2.0	10	9	1/2	1/2	4/4	4	1		1	I6	dcml	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
38	2.0	11	10	0	0	4/4	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
40	2.0	11	10	1/2	1/2	4/4	4	1		1	I64	dcml	C	I		I64	I		64					M	0	0	1, 0, 4		0	1
42	2.0	12	11	0	0	4/4	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
44	1.0	12	11	1/2	1/2	4/4	4	1		1	V6	dcml	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
45	1.0	12	11	3/4	3/4	4/4	4	1		1	V7	dcml	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	4.0	13	12	0	0	4/4	4	1		1	I\\	dcml	C	I		I	I						\\	M	0	0	0, 4, 1		0	0
50	1.0	14	13	0	0	4/4	4	1		1	V64	dcml	C	I		V64	V		64					M	0	0	2, 1, 5		1	2
