mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	3.0	1	6/8	3/4	0						firstMeasure	2
2	2	3	3	3.0	1	6/8	3/4	0						start	3
3	3	6	6	3.0	1	6/8	3/4	0							4
4	4	9	9	3.0	1	6/8	3/4	0					line		5
5	5	12	12	3.0	1	6/8	3/4	0							6
6	6	15	15	3.0	1	6/8	3/4	0							7
7	7	18	18	3.0	1	6/8	3/4	0							8
8	8	21	21	3.0	1	6/8	3/4	0					line		9
9	9	24	24	3.0	1	6/8	3/4	0							10
10	10	27	27	3.0	1	6/8	3/4	0							11
11	11	30	30	3.0	1	6/8	3/4	0							12
12	12	33	33	3.0	1	6/8	3/4	0					line		13
13	13	36	36	3.0	1	6/8	3/4	0							14
14	14	39	39	3.0	1	6/8	3/4	0							15
15	15	42	42	3.0	1	6/8	3/4	0							16
16	16	45	45	3.0	1	6/8	3/4	0							17
17	17	48	48	3.0	1	6/8	3/4	0					line		18
18	18	51	51	3.0	1	6/8	3/4	0							19
19	19	54	54	3.0	1	6/8	3/4	0							20
20	20	57	57	3.0	1	6/8	3/4	0					line		21
21	21	60	60	3.0	1	6/8	3/4	0							22
22	22	63	63	3.0	1	6/8	3/4	0					line		23
23	23	66	66	3.0	1	6/8	3/4	0							24
24	24	69	69	3.0	1	6/8	3/4	0					line		25
25	25	72	72	3.0	1	6/8	3/4	0							26
26	26	75	75	3.0	1	6/8	3/4	0					line		27
27	27	78	78	3.0	1	6/8	3/4	0							28
28	28	81	81	3.0	1	6/8	3/4	0					line		29
29	29	84	84	3.0	1	6/8	3/4	0							30
30	30	87	87	3.0	1	6/8	3/4	0					line		31
31	31	90	90	3.0	1	6/8	3/4	0							32
32	32	93	93	3.0	1	6/8	3/4	0							33
33	33	96	96	3.0	1	6/8	3/4	0							34
34	34	99	99	3.0	1	6/8	3/4	0							35
35	35	102	102	3.0	1	6/8	3/4	0							36
36	36	105	105	3.0	1	6/8	3/4	0					line		37
37	37	108	108	3.0	1	6/8	3/4	0							38
38	38	111	111	3.0	1	6/8	3/4	0							39
39	39	114	114	3.0	1	6/8	3/4	0							40
40	40	117	117	3.0	1	6/8	3/4	0					line		41
41	41	120	120	3.0	1	6/8	3/4	0							42
42	42	123	123	3.0	1	6/8	3/4	0					line		43
43	43	126	126	3.0	1	6/8	3/4	0							44
44	44	129	129	3.0	1	6/8	3/4	0					line		45
45	45	132	132	3.0	1	6/8	3/4	0							46
46	46	135	135	3.0	1	6/8	3/4	0							47
47	47	138	138	3.0	1	6/8	3/4	0							48
48	48	141	141	3.0	1	6/8	3/4	0					line		49
49	49	144	144	3.0	1	6/8	3/4	0							50
50	50	147	147	3.0	1	6/8	3/4	0							51
51	51	150	150	3.0	1	6/8	3/4	0							52
52	52	153	153	3.0	1	6/8	3/4	0					line		53
53	53	156	156	3.0	1	6/8	3/4	0							54
54	54	159	159	3.0	1	6/8	3/4	0							55
55	55	162	162	3.0	1	6/8	3/4	0							56
56	56	165	165	3.0	1	6/8	3/4	0					line		57
57	57	168	168	3.0	1	6/8	3/4	0							58
58	58	171	171	3.0	1	6/8	3/4	0					line		59
59	59	174	174	3.0	1	6/8	3/4	0							60
60	60	177	177	3.0	1	6/8	3/4	0					line		61
61	61	180	180	3.0	1	6/8	3/4	0							62
62	62	183	183	3.0	1	6/8	3/4	0							63
63	63	186	186	3.0	1	6/8	3/4	0							64
64	64	189	189	3.0	1	6/8	3/4	0					line		65
65	65	192	192	3.0	1	6/8	3/4	0							66
66	66	195	195	3.0	1	6/8	3/4	0					line		67
67	67	198	198	3.0	1	6/8	3/4	0							68
68	68	201	201	3.0	1	6/8	3/4	0					line		69
69	69		204	3.0	1	6/8	3/4	0	1						70
70	70		207	3.0	1	6/8	3/4	0	1					end	2, 71
71	71		210	3.0	1	6/8	3/4	0	1						72
72	70		213	3.0	1	6/8	3/4	0	1	-2			line		73
73	71		216	3.0	1	6/8	3/4	0	1						74
74	72	204	219	3.0	1	6/8	3/4	0						start	75
75	73	207	222	3.0	1	6/8	3/4	0							76
76	74	210	225	3.0	1	6/8	3/4	0					line		77
77	75	213	228	3.0	1	6/8	3/4	0							78
78	76	216	231	3.0	1	6/8	3/4	0							79
79	77	219	234	3.0	1	6/8	3/4	0							80
80	78	222	237	3.0	1	6/8	3/4	0					line		81
81	79	225	240	3.0	1	6/8	3/4	0							82
82	80	228	243	3.0	1	6/8	3/4	0							83
83	81	231	246	3.0	1	6/8	3/4	0							84
84	82	234	249	3.0	1	6/8	3/4	0					line		85
85	83	237	252	3.0	1	6/8	3/4	0							86
86	84	240	255	3.0	1	6/8	3/4	0					line		87
87	85	243	258	3.0	1	6/8	3/4	0							88
88	86	246	261	3.0	1	6/8	3/4	0					line		89
89	87	249	264	3.0	1	6/8	3/4	0							90
90	88	252	267	3.0	1	6/8	3/4	0					line		91
91	89	255	270	3.0	1	6/8	3/4	0							92
92	90	258	273	3.0	1	6/8	3/4	0					line		93
93	91	261	276	3.0	1	6/8	3/4	0							94
94	92	264	279	3.0	1	6/8	3/4	0							95
95	93	267	282	3.0	1	6/8	3/4	0							96
96	94	270	285	3.0	1	6/8	3/4	0					line		97
97	95	273	288	3.0	1	6/8	3/4	0							98
98	96	276	291	3.0	1	6/8	3/4	0							99
99	97	279	294	3.0	1	6/8	3/4	0							100
100	98	282	297	3.0	1	6/8	3/4	0					line		101
101	99	285	300	3.0	1	6/8	3/4	0							102
102	100	288	303	3.0	1	6/8	3/4	0							103
103	101	291	306	3.0	1	6/8	3/4	0							104
104	102	294	309	3.0	1	6/8	3/4	0					line		105
105	103	297	312	3.0	1	6/8	3/4	0							106
106	104	300	315	3.0	1	6/8	3/4	0							107
107	105	303	318	3.0	1	6/8	3/4	0							108
108	106	306	321	3.0	1	6/8	3/4	0					line		109
109	107	309	324	3.0	1	6/8	3/4	0							110
110	108	312	327	3.0	1	6/8	3/4	0							111
111	109	315	330	3.0	1	6/8	3/4	0							112
112	110	318	333	3.0	1	6/8	3/4	0					line		113
113	111	321	336	3.0	1	6/8	3/4	0							114
114	112	324	339	3.0	1	6/8	3/4	0							115
115	113	327	342	3.0	1	6/8	3/4	0							116
116	114	330	345	3.0	1	6/8	3/4	0					line		117
117	115	333	348	3.0	1	6/8	3/4	0							118
118	116	336	351	3.0	1	6/8	3/4	0					line		119
119	117	339	354	3.0	1	6/8	3/4	0							120
120	118	342	357	3.0	1	6/8	3/4	0					line		121
121	119	345	360	3.0	1	6/8	3/4	0							122
122	120	348	363	3.0	1	6/8	3/4	0					line		123
123	121	351	366	3.0	1	6/8	3/4	0							124
124	122	354	369	3.0	1	6/8	3/4	0					line		125
125	123	357	372	3.0	1	6/8	3/4	0							126
126	124	360	375	3.0	1	6/8	3/4	0					line		127
127	125	363	378	3.0	1	6/8	3/4	0							128
128	126	366	381	3.0	1	6/8	3/4	0					line		129
129	127	369	384	3.0	1	6/8	3/4	0							130
130	128	372	387	3.0	1	6/8	3/4	0					line		131
131	129	375	390	3.0	1	6/8	3/4	0							132
132	130	378	393	3.0	1	6/8	3/4	0					line		133
133	131	381	396	3.0	1	6/8	3/4	0							134
134	132	384	399	3.0	1	6/8	3/4	0					line		135
135	133	387	402	3.0	1	6/8	3/4	0							136
136	134	390	405	3.0	1	6/8	3/4	0					line		137
137	135	393	408	3.0	1	6/8	3/4	0							138
138	136	396	411	3.0	1	6/8	3/4	0					line		139
139	137	399	414	3.0	1	6/8	3/4	0							140
140	138	402	417	3.0	1	6/8	3/4	0					line		141
141	139	405	420	3.0	1	6/8	3/4	0							142
142	140	408	423	3.0	1	6/8	3/4	0							143
143	141	411	426	3.0	1	6/8	3/4	0							144
144	142	414	429	3.0	1	6/8	3/4	0					line		145
145	143	417	432	3.0	1	6/8	3/4	0							146
146	144	420	435	3.0	1	6/8	3/4	0							147
147	145	423	438	3.0	1	6/8	3/4	0							148
148	146	426	441	3.0	1	6/8	3/4	0					line		149
149	147	429	444	3.0	1	6/8	3/4	0							150
150	148	432	447	3.0	1	6/8	3/4	0							151
151	149	435	450	3.0	1	6/8	3/4	0							152
152	150	438	453	3.0	1	6/8	3/4	0					line		153
153	151	441	456	3.0	1	6/8	3/4	0							154
154	152	444	459	3.0	1	6/8	3/4	0							155
155	153	447	462	3.0	1	6/8	3/4	0							156
156	154	450	465	3.0	1	6/8	3/4	0					line		157
157	155	453	468	3.0	1	6/8	3/4	0							158
158	156	456	471	3.0	1	6/8	3/4	0							159
159	157	459	474	3.0	1	6/8	3/4	0							160
160	158	462	477	3.0	1	6/8	3/4	0					line		161
161	159	465	480	3.0	1	6/8	3/4	0							162
162	160	468	483	3.0	1	6/8	3/4	0							163
163	161	471	486	3.0	1	6/8	3/4	0							164
164	162	474	489	3.0	1	6/8	3/4	0					line		165
165	163	477	492	3.0	1	6/8	3/4	0							166
166	164	480	495	3.0	1	6/8	3/4	0					line		167
167	165	483	498	3.0	1	6/8	3/4	0							168
168	166	486	501	3.0	1	6/8	3/4	0					line		169
169	167	489	504	3.0	1	6/8	3/4	0							170
170	168	492	507	3.0	1	6/8	3/4	0							171
171	169	495	510	3.0	1	6/8	3/4	0							172
172	170	498	513	3.0	1	6/8	3/4	0					line		173
173	171	501	516	3.0	1	6/8	3/4	0							174
174	172	504	519	3.0	1	6/8	3/4	0					line		175
175	173	507	522	3.0	1	6/8	3/4	0							176
176	174	510	525	3.0	1	6/8	3/4	0					line		177
177	175	513	528	3.0	1	6/8	3/4	0							178
178	176	516	531	3.0	1	6/8	3/4	0							179
179	177	519	534	3.0	1	6/8	3/4	0							180
180	178	522	537	3.0	1	6/8	3/4	0					line		181
181	179	525	540	3.0	1	6/8	3/4	0							182
182	180	528	543	3.0	1	6/8	3/4	0					line		183
183	181	531	546	3.0	1	6/8	3/4	0							184
184	182	534	549	3.0	1	6/8	3/4	0					line		185
185	183	537	552	3.0	1	6/8	3/4	0							186
186	184	540	555	3.0	1	6/8	3/4	0							187
187	185	543	558	3.0	1	6/8	3/4	0							188
188	186	546	561	3.0	1	6/8	3/4	0					line		189
189	187	549	564	3.0	1	6/8	3/4	0							190
190	188	552	567	3.0	1	6/8	3/4	0							191
191	189	555	570	3.0	1	6/8	3/4	0							192
192	190	558	573	3.0	1	6/8	3/4	0					line		193
193	191	561	576	3.0	1	6/8	3/4	0							194
194	192	564	579	3.0	1	6/8	3/4	0					line		195
195	193	567	582	3.0	1	6/8	3/4	0							196
196	194	570	585	3.0	1	6/8	3/4	0					line		197
