mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.5	-1	9/8	9/8	0						firstMeasure	2
2	2	9/2	4.5	-1	9/8	9/8	0							3
3	3	9	4.5	-1	9/8	9/8	0							4
4	4	27/2	4.5	-1	9/8	9/8	0							5
5	5	18	4.5	-1	9/8	9/8	0							6
6	6	45/2	4.5	-1	9/8	9/8	0							7
7	7	27	4.5	-1	9/8	9/8	0							8
8	8	63/2	4.5	-1	9/8	9/8	0							9
9	9	36	4.5	-1	9/8	9/8	0							10
10	10	81/2	4.5	-1	9/8	9/8	0							11
11	11	45	4.5	-1	9/8	9/8	0							12
12	12	99/2	4.5	-1	9/8	9/8	0							13
13	13	54	4.5	-1	9/8	9/8	0							14
14	14	117/2	4.5	-1	9/8	9/8	0							15
15	15	63	4.5	-1	9/8	9/8	0							16
16	16	135/2	4.5	-1	9/8	9/8	0							17
17	17	72	4.5	-1	9/8	9/8	0							18
18	18	153/2	4.5	-1	9/8	9/8	0							19
19	19	81	4.5	-1	9/8	9/8	0							20
20	20	171/2	4.5	-1	9/8	9/8	0							21
21	21	90	4.5	-1	9/8	9/8	0							22
22	22	189/2	4.5	-1	9/8	9/8	0							23
23	23	99	4.5	-1	9/8	9/8	0							24
24	24	207/2	4.5	-1	9/8	9/8	0							25
25	25	108	4.5	-1	9/8	9/8	0							26
26	26	225/2	4.5	-1	9/8	9/8	0							27
27	27	117	4.5	-1	9/8	9/8	0							28
28	28	243/2	4.5	-1	9/8	9/8	0							29
29	29	126	4.5	-1	9/8	9/8	0							30
30	30	261/2	4.5	-1	9/8	9/8	0							31
31	31	135	4.5	-1	9/8	9/8	0							32
32	32	279/2	4.5	-1	9/8	9/8	0							33
33	33	144	4.5	-1	9/8	9/8	0							34
34	34	297/2	4.5	-1	9/8	9/8	0							35
35	35	153	4.5	-1	9/8	9/8	0							36
36	36	315/2	4.5	-1	9/8	9/8	0							37
37	37	162	4.5	-1	9/8	9/8	0							38
38	38	333/2	4.5	-1	9/8	9/8	0							39
39	39	171	4.5	-1	9/8	9/8	0							40
40	40	351/2	4.5	-1	9/8	9/8	0							41
41	41	180	4.5	-1	9/8	9/8	0							42
42	42	369/2	4.5	-1	9/8	9/8	0							43
43	43	189	4.5	-1	9/8	9/8	0							44
44	44	387/2	4.5	-1	9/8	9/8	0							45
45	45	198	4.5	-1	9/8	9/8	0							46
46	46	405/2	4.5	-1	9/8	9/8	0							47
47	47	207	4.5	-1	9/8	9/8	0							48
48	48	423/2	4.5	-1	9/8	9/8	0							49
49	49	216	4.5	-1	9/8	9/8	0							50
50	50	441/2	4.5	-1	9/8	9/8	0							51
51	51	225	4.5	-1	9/8	9/8	0							52
52	52	459/2	4.5	-1	9/8	9/8	0							53
53	53	234	4.5	-1	9/8	9/8	0							54
54	54	477/2	4.5	-1	9/8	9/8	0							55
55	55	243	4.5	-1	9/8	9/8	0							56
56	56	495/2	4.5	-1	9/8	9/8	0							57
57	57	252	4.5	-1	9/8	9/8	0							58
58	58	513/2	4.5	-1	9/8	9/8	0							59
59	59	261	4.5	-1	9/8	9/8	0							60
60	60	531/2	4.5	-1	9/8	9/8	0							61
61	61	270	4.5	-1	9/8	9/8	0							62
62	62	549/2	4.5	-1	9/8	9/8	0							63
63	63	279	4.5	-1	9/8	9/8	0							64
64	64	567/2	4.5	-1	9/8	9/8	0							65
65	65	288	4.5	-1	9/8	9/8	0							66
66	66	585/2	4.5	-1	9/8	9/8	0							67
67	67	297	4.5	-1	9/8	9/8	0							68
68	68	603/2	4.5	-1	9/8	9/8	0							69
69	69	306	4.5	-1	9/8	9/8	0							70
70	70	621/2	4.5	-1	9/8	9/8	0							71
71	71	315	4.5	-1	9/8	9/8	0							72
72	72	639/2	4.5	-1	9/8	9/8	0							73
73	73	324	4.5	-1	9/8	9/8	0							74
74	74	657/2	4.5	-1	9/8	9/8	0							75
75	75	333	4.5	-1	9/8	9/8	0							76
76	76	675/2	4.5	-1	9/8	9/8	0							77
77	77	342	4.5	-1	9/8	9/8	0							78
78	78	693/2	4.5	-1	9/8	9/8	0							79
79	79	351	4.5	-1	9/8	9/8	0							80
80	80	711/2	4.5	-1	9/8	9/8	0							81
81	81	360	4.5	-1	9/8	9/8	0							82
82	82	729/2	4.5	-1	9/8	9/8	0							83
83	83	369	4.5	-1	9/8	9/8	0							84
84	84	747/2	4.5	-1	9/8	9/8	0							85
85	85	378	4.5	-1	9/8	9/8	0							86
86	86	765/2	4.5	-1	9/8	9/8	0							87
87	87	387	4.5	-1	9/8	9/8	0							88
88	88	783/2	4.5	-1	9/8	9/8	0							89
89	89	396	4.5	-1	9/8	9/8	0							90
90	90	801/2	4.5	-1	9/8	9/8	0							91
91	91	405	4.5	-1	9/8	9/8	0							92
92	92	819/2	4.5	-1	9/8	9/8	0							93
93	93	414	4.5	-1	9/8	9/8	0							94
94	94	837/2	4.5	-1	9/8	9/8	0							95
95	95	423	4.5	-1	9/8	9/8	0							96
96	96	855/2	4.5	-1	9/8	9/8	0							97
97	97	432	4.5	-1	9/8	9/8	0							98
98	98	873/2	4.5	-1	9/8	9/8	0							99
99	99	441	4.5	-1	9/8	9/8	0							100
100	100	891/2	4.5	-1	9/8	9/8	0							101
101	101	450	4.5	-1	9/8	9/8	0							102
102	102	909/2	4.5	-1	9/8	9/8	0							103
103	103	459	4.5	-1	9/8	9/8	0							104
104	104	927/2	4.5	-1	9/8	9/8	0							105
105	105	468	4.5	-1	9/8	9/8	0							106
106	106	945/2	4.5	-1	9/8	9/8	0							107
107	107	477	4.5	-1	9/8	9/8	0							108
108	108	963/2	4.5	-1	9/8	9/8	0							109
109	109	486	4.5	-1	9/8	9/8	0							110
110	110	981/2	4.5	-1	9/8	9/8	0				end		lastMeasure	-1
