mc	mn	keysig	timesig	act_dur	mc_offset	breaks	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-3	2/4	1/2	0		firstMeasure					2
2	2	-3	2/4	1/2	0	line						3
3	3	-3	2/4	1/2	0							4
4	4	-3	2/4	1/2	0							5
5	5	-3	2/4	1/2	0	page						6
6	6	-3	2/4	1/2	0							7
7	7	-3	2/4	1/2	0							8
8	8	-3	2/4	1/2	0	line						9
9	9	-3	2/4	1/2	0							10
10	10	-3	2/4	1/2	0							11
11	11	-3	2/4	1/2	0	line						12
12	12	-3	2/4	1/2	0							13
13	13	-3	2/4	1/2	0	page						14
14	14	-3	2/4	1/2	0							15
15	15	-3	2/4	1/2	0	line						16
16	16	-3	2/4	1/2	0							17
17	17	-3	2/4	1/2	0							18
18	18	-3	2/4	1/2	0	line						19
19	19	-3	2/4	1/2	0							20
20	20	-3	2/4	1/2	0							21
21	21	-3	2/4	1/2	0	page						22
22	22	-3	2/4	1/2	0	line						23
23	23	-3	2/4	1/2	0							24
24	24	-3	2/4	1/2	0	line						25
25	25	-3	2/4	1/2	0							26
26	26	-3	2/4	1/2	0							27
27	27	-3	2/4	1/2	0	page						28
28	28	-3	2/4	1/2	0							29
29	29	-3	2/4	1/2	0	line						30
30	30	-3	2/4	1/2	0							31
31	31	-3	2/4	1/2	0	line						32
32	32	-3	2/4	1/2	0							33
33	33	-3	2/4	1/2	0							34
34	34	-3	2/4	1/2	0	page						35
35	35	-3	2/4	1/2	0							36
36	36	-3	2/4	1/2	0	line						37
37	37	-3	2/4	1/2	0							38
38	38	-3	2/4	1/2	0							39
39	39	-3	2/4	1/2	0	line						40
40	40	-3	2/4	1/2	0							41
41	41	-3	2/4	1/2	0							42
42	42	-3	2/4	1/2	0	page						43
43	43	-3	2/4	1/2	0	line						44
44	44	-3	2/4	1/2	0							45
45	45	-3	2/4	1/2	0	line						46
46	46	-3	2/4	1/2	0							47
47	47	-3	2/4	1/2	0	page						48
48	48	-3	2/4	1/2	0							49
49	49	-3	2/4	1/2	0	line						50
50	50	-3	2/4	1/2	0							51
51	51	-3	2/4	1/2	0	line						52
52	52	-3	2/4	1/2	0							53
53	53	-3	2/4	1/2	0							54
54	54	-3	2/4	1/2	0	page						55
55	55	-3	2/4	1/2	0							56
56	56	-3	2/4	1/2	0	line						57
57	57	-3	2/4	1/2	0	line						58
58	58	-3	2/4	1/2	0							59
59	59	-3	2/4	1/2	0	page						60
60	60	-3	2/4	1/2	0							61
61	61	-3	2/4	1/2	0							62
62	62	-3	2/4	1/2	0							63
63	63	-3	2/4	1/2	0	line						64
64	64	-3	2/4	1/2	0							65
65	65	-3	2/4	1/2	0							66
66	66	-3	2/4	1/2	0							67
67	67	-3	2/4	1/2	0							68
68	68	-3	2/4	1/2	0	line						69
69	69	-3	2/4	1/2	0							70
70	70	-3	2/4	1/2	0							71
71	71	-3	2/4	1/2	0							72
72	72	-3	2/4	1/2	0	page						73
73	73	-3	2/4	1/2	0							74
74	74	-3	2/4	1/2	0	line						75
75	75	-3	2/4	1/2	0	line						76
76	76	-3	2/4	1/2	0	page						77
77	77	-3	2/4	1/2	0							78
78	78	-3	2/4	1/2	0							79
79	79	-3	2/4	1/2	0	line	lastMeasure		double			-1
