mc	mn	keysig	timesig	act_dur	mc_offset	breaks	repeats	volta	barline	numbering_offset	dont_count	next
1	1	1	3/8	3/8	0		firstMeasure					2
2	2	1	3/8	3/8	0							3
3	3	1	3/8	3/8	0							4
4	4	1	3/8	3/8	0							5
5	5	1	3/8	3/8	0							6
6	6	1	3/8	3/8	0							7
7	7	1	3/8	3/8	0							8
8	8	1	3/8	3/8	0		end					1, 9
9	9	1	3/8	3/8	0	line	start					10
10	10	1	3/8	3/8	0							11
11	11	1	3/8	3/8	0							12
12	12	1	3/8	3/8	0							13
13	13	1	3/8	3/8	0							14
14	14	1	3/8	3/8	0							15
15	15	1	3/8	3/8	0							16
16	16	1	3/8	3/8	0							17
17	17	1	3/8	3/8	0							18
18	18	1	3/8	3/8	0							19
19	19	1	3/8	3/8	0	line						20
20	20	1	3/8	3/8	0							21
21	21	1	3/8	3/8	0							22
22	22	1	3/8	3/8	0							23
23	23	1	3/8	3/8	0							24
24	24	1	3/8	3/8	0		end					9, 25
25	25	1	3/8	3/8	0							26
26	26	1	3/8	3/8	0							27
27	27	1	3/8	3/8	0							28
28	28	1	3/8	3/8	0	page						29
29	29	1	3/8	3/8	0							30
30	30	1	3/8	3/8	0							31
31	31	1	3/8	3/8	0							32
32	32	1	3/8	3/8	0							33
33	33	1	3/8	3/8	0							34
34	34	1	3/8	3/8	0							35
35	35	1	3/8	3/8	0							36
36	36	1	3/8	3/8	0	line						37
37	37	1	3/8	3/8	0							38
38	38	1	3/8	3/8	0							39
39	39	1	3/8	3/8	0							40
40	40	1	3/8	3/8	0				double			41
41	41	0	3/8	3/8	0							42
42	42	0	3/8	3/8	0							43
43	43	0	3/8	3/8	0	line						44
44	44	0	3/8	3/8	0							45
45	45	0	3/8	3/8	0							46
46	46	0	3/8	3/8	0							47
47	47	0	3/8	3/8	0							48
48	48	0	3/8	3/8	0							49
49	49	0	3/8	3/8	0							50
50	50	0	3/8	3/8	0							51
51	51	0	3/8	3/8	0	line						52
52	52	0	3/8	3/8	0							53
53	53	0	3/8	3/8	0							54
54	54	0	3/8	3/8	0							55
55	55	0	3/8	3/8	0							56
56	56	0	3/8	3/8	0							57
57	57	0	3/8	3/8	0							58
58	58	0	3/8	3/8	0							59
59	59	0	3/8	3/8	0	page						60
60	60	0	3/8	3/8	0							61
61	61	0	3/8	3/8	0							62
62	62	0	3/8	3/8	0							63
63	63	0	3/8	3/8	0							64
64	64	0	3/8	3/8	0				double			65
65	65	1	3/8	3/8	0							66
66	66	1	3/8	3/8	0							67
67	67	1	3/8	3/8	0							68
68	68	1	3/8	3/8	0	line						69
69	69	1	3/8	3/8	0							70
70	70	1	3/8	3/8	0							71
71	71	1	3/8	3/8	0							72
72	72	1	3/8	3/8	0							73
73	73	1	3/8	3/8	0							74
74	74	1	3/8	3/8	0							75
75	75	1	3/8	3/8	0							76
76	76	1	3/8	3/8	0							77
77	77	1	3/8	3/8	0	line						78
78	78	1	3/8	3/8	0							79
79	79	1	3/8	3/8	0							80
80	80	1	3/8	3/8	0							81
81	81	1	3/8	3/8	0							82
82	82	1	3/8	3/8	0							83
83	83	1	3/8	3/8	0							84
84	84	1	3/8	3/8	0							85
85	85	1	3/8	3/8	0	line						86
86	86	1	3/8	3/8	0							87
87	87	1	3/8	3/8	0							88
88	88	1	3/8	3/8	0							89
89	89	1	3/8	3/8	0							90
90	90	1	3/8	3/8	0							91
91	91	1	3/8	3/8	0							92
92	92	1	3/8	3/8	0							93
93	93	1	3/8	3/8	0	page						94
94	94	1	3/8	3/8	0							95
95	95	1	3/8	3/8	0							96
96	96	1	3/8	3/8	0							97
97	97	1	3/8	3/8	0							98
98	98	1	3/8	3/8	0							99
99	99	1	3/8	3/8	0							100
100	100	1	3/8	3/8	0							101
101	101	1	3/8	3/8	0	line						102
102	102	1	3/8	3/8	0							103
103	103	1	3/8	3/8	0							104
104	104	1	3/8	3/8	0							105
105	105	1	3/8	3/8	0							106
106	106	1	3/8	3/8	0							107
107	107	1	3/8	3/8	0							108
108	108	1	3/8	3/8	0							109
109	109	1	3/8	3/8	0	line						110
110	110	1	3/8	3/8	0							111
111	111	1	3/8	3/8	0							112
112	112	1	3/8	3/8	0							113
113	113	1	3/8	3/8	0							114
114	114	1	3/8	3/8	0							115
115	115	1	3/8	3/8	0							116
116	116	1	3/8	3/8	0							117
117	117	1	3/8	3/8	0	line						118
118	118	1	3/8	3/8	0							119
119	119	1	3/8	3/8	0							120
120	120	1	3/8	3/8	0							121
121	121	1	3/8	3/8	0							122
122	122	1	3/8	3/8	0							123
123	123	1	3/8	3/8	0							124
124	124	1	3/8	3/8	0							125
125	125	1	3/8	3/8	0	page						126
126	126	1	3/8	3/8	0							127
127	127	1	3/8	3/8	0							128
128	128	1	3/8	3/8	0							129
129	129	1	3/8	3/8	0							130
130	130	1	3/8	3/8	0							131
131	131	1	3/8	3/8	0							132
132	132	1	3/8	3/8	0							133
133	133	1	3/8	3/8	0							134
134	134	1	3/8	3/8	0							135
135	135	1	3/8	3/8	0	line						136
136	136	1	3/8	3/8	0							137
137	137	1	3/8	3/8	0							138
138	138	1	3/8	3/8	0							139
139	139	1	3/8	3/8	0							140
140	140	1	3/8	3/8	0							141
141	141	1	3/8	3/8	0							142
142	142	1	3/8	3/8	0							143
143	143	1	3/8	3/8	0	line						144
144	144	1	3/8	3/8	0							145
145	145	1	3/8	3/8	0							146
146	146	1	3/8	3/8	0							147
147	147	1	3/8	3/8	0							148
148	148	1	3/8	3/8	0							149
149	149	1	3/8	3/8	0							150
150	150	1	3/8	3/8	0		lastMeasure		end			-1
