mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	3.0	-4	3/4	3/4	0				start-repeat		start	2
2	2	3	3	3.0	-4	3/4	3/4	0							3
3	3	6	6	3.0	-4	3/4	3/4	0							4
4	4	9	9	3.0	-4	3/4	3/4	0							5
5	5	12	12	3.0	-4	3/4	3/4	0							6
6	6	15	15	3.0	-4	3/4	3/4	0							7
7	7	18	18	3.0	-4	3/4	3/4	0					line		8
8	8	21	21	3.0	-4	3/4	3/4	0							9
9	9	24	24	3.0	-4	3/4	3/4	0							10
10	10	27	27	3.0	-4	3/4	3/4	0							11
11	11	30	30	3.0	-4	3/4	3/4	0							12
12	12	33	33	3.0	-4	3/4	3/4	0							13
13	13	36	36	3.0	-4	3/4	3/4	0					page		14
14	14	39	39	3.0	-4	3/4	3/4	0							15
15	15	42	42	3.0	-4	3/4	3/4	0							16
16	16	45	45	3.0	-4	3/4	3/4	0							17
17	17	48	48	3.0	-4	3/4	3/4	0							18
18	18	51	51	3.0	-4	3/4	3/4	0					line		19
19	19	54	54	3.0	-4	3/4	3/4	0							20
20	20	57	57	3.0	-4	3/4	3/4	0							21
21	21	60	60	3.0	-4	3/4	3/4	0							22
22	22	63	63	3.0	-4	3/4	3/4	0							23
23	23	66	66	3.0	-4	3/4	3/4	0					line		24
24	24	69	69	3.0	-4	3/4	3/4	0							25
25	25	72	72	3.0	-4	3/4	3/4	0							26
26	26	75	75	3.0	-4	3/4	3/4	0							27
27	27	78	78	3.0	-4	3/4	3/4	0							28
28	28	81	81	3.0	-4	3/4	3/4	0					line		29
29	29	84	84	3.0	-4	3/4	3/4	0							30
30	30	87	87	3.0	-4	3/4	3/4	0							31
31	31	90	90	3.0	-4	3/4	3/4	0							32
32	32	93	93	3.0	-4	3/4	3/4	0							33
33	33	96	96	3.0	-4	3/4	3/4	0							34
34	34	99	99	3.0	-4	3/4	3/4	0					page		35
35	35	102	102	3.0	-4	3/4	3/4	0							36
36	36	105	105	3.0	-4	3/4	3/4	0							37
37	37	108	108	3.0	-4	3/4	3/4	0							38
38	38	111	111	3.0	-4	3/4	3/4	0							39
39	39	114	114	3.0	-4	3/4	3/4	0							40
40	40		117	3.0	-4	3/4	3/4	0	1				line	end	1, 41
41	41		120	3.0	-4	3/4	3/4	0	1						42
42	42	117	123	3.0	-4	3/4	3/4	0							43
43	43	120	126	3.0	-4	3/4	3/4	0							44
44	44	123	129	3.0	-4	3/4	3/4	0							45
45	45	126	132	3.0	-4	3/4	3/4	0							46
46	46	129	135	3.0	-4	3/4	3/4	0							47
47	47	132	138	3.0	-4	3/4	3/4	0					line		48
48	48	135	141	3.0	-4	3/4	3/4	0							49
49	49	138	144	3.0	-4	3/4	3/4	0							50
50	50	141	147	3.0	-4	3/4	3/4	0							51
51	51	144	150	3.0	-4	3/4	3/4	0							52
52	52	147	153	3.0	-4	3/4	3/4	0							53
53	53	150	156	3.0	-4	3/4	3/4	0					line		54
54	54	153	159	3.0	-4	3/4	3/4	0							55
55	55	156	162	3.0	-4	3/4	3/4	0							56
56	56	159	165	3.0	-4	3/4	3/4	0							57
57	57	162	168	3.0	-4	3/4	3/4	0							58
58	58	165	171	3.0	-4	3/4	3/4	0							59
59	59	168	174	3.0	-4	3/4	3/4	0					page		60
60	60	171	177	3.0	-4	3/4	3/4	0							61
61	61	174	180	3.0	-4	3/4	3/4	0							62
62	62	177	183	3.0	-4	3/4	3/4	0							63
63	63	180	186	3.0	-4	3/4	3/4	0							64
64	64	183	189	3.0	-4	3/4	3/4	0							65
65	65	186	192	3.0	-4	3/4	3/4	0				double	line		66
66	66	189	195	3.0	2	3/4	3/4	0							67
67	67	192	198	3.0	2	3/4	3/4	0							68
68	68	195	201	3.0	2	3/4	3/4	0							69
69	69	198	204	3.0	2	3/4	3/4	0							70
70	70	201	207	3.0	2	3/4	3/4	0							71
71	71	204	210	3.0	2	3/4	3/4	0					line		72
72	72	207	213	3.0	2	3/4	3/4	0							73
73	73	210	216	3.0	2	3/4	3/4	0							74
74	74	213	219	3.0	2	3/4	3/4	0							75
75	75	216	222	3.0	2	3/4	3/4	0							76
76	76	219	225	3.0	2	3/4	3/4	0							77
77	77	222	228	3.0	2	3/4	3/4	0					line		78
78	78	225	231	3.0	2	3/4	3/4	0							79
79	79	228	234	3.0	2	3/4	3/4	0							80
80	80	231	237	3.0	2	3/4	3/4	0							81
81	81	234	240	3.0	2	3/4	3/4	0							82
82	82	237	243	3.0	2	3/4	3/4	0							83
83	83	240	246	3.0	2	3/4	3/4	0					page		84
84	84	243	249	3.0	2	3/4	3/4	0							85
85	85	246	252	3.0	2	3/4	3/4	0							86
86	86	249	255	3.0	2	3/4	3/4	0							87
87	87	252	258	3.0	2	3/4	3/4	0							88
88	88	255	261	3.0	2	3/4	3/4	0							89
89	89	258	264	3.0	2	3/4	3/4	0							90
90	90	261	267	3.0	2	3/4	3/4	0					line		91
91	91	264	270	3.0	2	3/4	3/4	0							92
92	92	267	273	3.0	2	3/4	3/4	0							93
93	93	270	276	3.0	2	3/4	3/4	0							94
94	94	273	279	3.0	2	3/4	3/4	0							95
95	95	276	282	3.0	2	3/4	3/4	0							96
96	96	279	285	3.0	2	3/4	3/4	0					line		97
97	97	282	288	3.0	2	3/4	3/4	0							98
98	98	285	291	3.0	2	3/4	3/4	0							99
99	99	288	294	3.0	2	3/4	3/4	0							100
100	100	291	297	3.0	2	3/4	3/4	0							101
101	101	294	300	3.0	2	3/4	3/4	0							102
102	102	297	303	3.0	2	3/4	3/4	0							103
103	103	300	306	3.0	2	3/4	3/4	0							104
104	104	303	309	3.0	2	3/4	3/4	0					line		105
105	105	306	312	3.0	2	3/4	3/4	0							106
106	106	309	315	3.0	2	3/4	3/4	0							107
107	107	312	318	3.0	2	3/4	3/4	0							108
108	108	315	321	3.0	2	3/4	3/4	0							109
109	109	318	324	3.0	2	3/4	3/4	0							110
110	110	321	327	3.0	2	3/4	3/4	0					page		111
111	111	324	330	3.0	2	3/4	3/4	0				double			112
112	112	327	333	3.0	-4	3/4	3/4	0							113
113	113	330	336	3.0	-4	3/4	3/4	0							114
114	114	333	339	3.0	-4	3/4	3/4	0							115
115	115	336	342	3.0	-4	3/4	3/4	0					line		116
116	116	339	345	3.0	-4	3/4	3/4	0							117
117	117	342	348	3.0	-4	3/4	3/4	0							118
118	118	345	351	3.0	-4	3/4	3/4	0							119
119	119	348	354	3.0	-4	3/4	3/4	0							120
120	120	351	357	3.0	-4	3/4	3/4	0							121
121	121	354	360	3.0	-4	3/4	3/4	0					line		122
122	122	357	363	3.0	-4	3/4	3/4	0							123
123	123	360	366	3.0	-4	3/4	3/4	0							124
124	124	363	369	3.0	-4	3/4	3/4	0							125
125	125	366	372	3.0	-4	3/4	3/4	0							126
126	126	369	375	3.0	-4	3/4	3/4	0					line		127
127	127	372	378	3.0	-4	3/4	3/4	0							128
128	128	375	381	3.0	-4	3/4	3/4	0							129
129	129	378	384	3.0	-4	3/4	3/4	0							130
130	130	381	387	3.0	-4	3/4	3/4	0					page		131
131	131	384	390	3.0	-4	3/4	3/4	0							132
132	132	387	393	3.0	-4	3/4	3/4	0							133
133	133	390	396	3.0	-4	3/4	3/4	0							134
134	134	393	399	3.0	-4	3/4	3/4	0							135
135	135	396	402	3.0	-4	3/4	3/4	0							136
136	136	399	405	3.0	-4	3/4	3/4	0					line		137
137	137	402	408	3.0	-4	3/4	3/4	0							138
138	138	405	411	3.0	-4	3/4	3/4	0							139
139	139	408	414	3.0	-4	3/4	3/4	0							140
140	140	411	417	3.0	-4	3/4	3/4	0							141
141	141	414	420	3.0	-4	3/4	3/4	0							142
142	142	417	423	3.0	-4	3/4	3/4	0					line		143
143	143	420	426	3.0	-4	3/4	3/4	0							144
144	144	423	429	3.0	-4	3/4	3/4	0							145
145	145	426	432	3.0	-4	3/4	3/4	0				double			146
146	146	429	435	3.0	2	3/4	3/4	0							147
147	147	432	438	3.0	2	3/4	3/4	0							148
148	148	435	441	3.0	2	3/4	3/4	0							149
149	149	438	444	3.0	2	3/4	3/4	0					line		150
150	150	441	447	3.0	2	3/4	3/4	0							151
151	151	444	450	3.0	2	3/4	3/4	0							152
152	152	447	453	3.0	2	3/4	3/4	0							153
153	153	450	456	3.0	2	3/4	3/4	0							154
154	154	453	459	3.0	2	3/4	3/4	0							155
155	155	456	462	3.0	2	3/4	3/4	0							156
156	156	459	465	3.0	2	3/4	3/4	0					page		157
157	157	462	468	3.0	2	3/4	3/4	0							158
158	158	465	471	3.0	2	3/4	3/4	0							159
159	159	468	474	3.0	2	3/4	3/4	0							160
160	160	471	477	3.0	2	3/4	3/4	0							161
161	161	474	480	3.0	2	3/4	3/4	0							162
162	162	477	483	3.0	2	3/4	3/4	0							163
163	163	480	486	3.0	2	3/4	3/4	0					line		164
164	164	483	489	3.0	2	3/4	3/4	0							165
