mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	3.0	5	3/4	3/4	0			1			firstMeasure	2
2	1	3	3.0	5	3/4	3/4	0							3
3	2	6	3.0	5	3/4	3/4	0							4
4	3	9	3.0	5	3/4	3/4	0							5
5	4	12	3.0	5	3/4	3/4	0							6
6	5	15	3.0	5	3/4	3/4	0					line		7
7	6	18	3.0	5	3/4	3/4	0							8
8	7	21	3.0	5	3/4	3/4	0							9
9	8	24	3.0	5	3/4	3/4	0							10
10	9	27	3.0	5	3/4	3/4	0							11
11	10	30	3.0	5	3/4	3/4	0							12
12	11	33	3.0	5	3/4	3/4	0							13
13	12	36	3.0	5	3/4	3/4	0							14
14	13	39	3.0	5	3/4	3/4	0							15
15	14	42	3.0	5	3/4	3/4	0							16
16	15	45	3.0	5	3/4	3/4	0					page		17
17	16	48	3.0	5	3/4	3/4	0							18
18	17	51	3.0	5	3/4	3/4	0							19
19	18	54	3.0	5	3/4	3/4	0							20
20	19	57	3.0	5	3/4	3/4	0							21
21	20	60	3.0	5	3/4	3/4	0							22
22	21	63	3.0	5	3/4	3/4	0							23
23	22	66	3.0	5	3/4	3/4	0							24
24	23	69	3.0	5	3/4	3/4	0							25
25	24	72	3.0	5	3/4	3/4	0					line		26
26	25	75	3.0	5	3/4	3/4	0							27
27	26	78	3.0	5	3/4	3/4	0							28
28	27	81	3.0	5	3/4	3/4	0				end		lastMeasure	-1
