mc	mn	keysig	timesig	act_dur	mc_offset	breaks	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-3	2/2	1	0		firstMeasure					2
2	2	-3	2/2	1	0							3
3	3	-3	2/2	1	0							4
4	4	-3	2/2	1	0							5
5	5	-3	2/2	1	0							6
6	6	-3	2/2	1	0							7
7	7	-3	2/2	1	0							8
8	8	-3	2/2	1	0							9
9	9	-3	2/2	1	0							10
10	10	-3	2/2	1	0							11
11	11	-3	2/2	1	0							12
12	12	-3	2/2	1	0							13
13	13	-3	2/2	1	0							14
14	14	-3	2/2	1	0							15
15	15	-3	2/2	1	0							16
16	16	-3	2/2	1	0							17
17	17	-3	2/2	1	0							18
18	18	-3	2/2	1	0							19
19	19	-3	2/2	1	0							20
20	20	-3	2/2	1	0							21
21	21	-3	2/2	1	0							22
22	22	-3	2/2	1	0							23
23	23	-3	2/2	1	0							24
24	24	-3	2/2	1	0				double			25
25	25	-3	4/4	1	0							26
26	26	-3	4/4	1	0							27
27	27	-3	4/4	1	0	line						28
28	28	-3	4/4	1	0							29
29	29	-3	4/4	1	0							30
30	30	-3	4/4	1	0							31
31	31	-3	4/4	1	0	line						32
32	32	-3	4/4	1	0							33
33	33	-3	4/4	1	0							34
34	34	-3	4/4	1	0							35
35	35	-3	4/4	1	0							36
36	36	-3	4/4	1	0	line						37
37	37	-3	4/4	1	0							38
38	38	-3	4/4	1	0							39
39	39	-3	4/4	1	0							40
40	40	-3	4/4	1	0	page						41
41	41	-3	4/4	1	0							42
42	42	-3	4/4	1	0							43
43	43	-3	4/4	1	0							44
44	44	-3	4/4	1	0							45
45	45	-3	4/4	1	0							46
46	46	-3	4/4	1	0	line						47
47	47	-3	4/4	1	0							48
48	48	-3	4/4	1	0							49
49	49	-3	4/4	1	0							50
50	50	-3	4/4	1	0							51
51	51	-3	4/4	1	0	line						52
52	52	-3	4/4	1	0							53
53	53	-3	4/4	1	0							54
54	54	-3	4/4	1	0	line						55
55	55	-3	4/4	1	0							56
56	56	-3	4/4	1	0							57
57	57	-3	4/4	1	0							58
58	58	-3	4/4	1	0	page						59
59	59	-3	4/4	1	0							60
60	60	-3	4/4	1	0							61
61	61	-3	4/4	1	0	line						62
62	62	-3	4/4	1	0							63
63	63	-3	4/4	1	0							64
64	64	-3	4/4	1	0							65
65	65	-3	4/4	1	0	line						66
66	66	-3	4/4	1	0							67
67	67	-3	4/4	1	0							68
68	68	-3	4/4	1	0							69
69	69	-3	4/4	1	0							70
70	70	-3	4/4	1	0	line						71
71	71	-3	4/4	1	0							72
72	72	-3	4/4	1	0							73
73	73	-3	4/4	1	0							74
74	74	-3	4/4	1	0							75
