mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	1.0	-3	2/4	1/4	1/4			1	start-repeat		start	2
2	1	1	1	2.0	-3	2/4	1/2	0							3
3	2	3	3	2.0	-3	2/4	1/2	0							4
4	3	5	5	2.0	-3	2/4	1/2	0							5
5	4	7	7	2.0	-3	2/4	1/2	0							6
6	5	9	9	2.0	-3	2/4	1/2	0							7
7	6	11	11	2.0	-3	2/4	1/2	0							8
8	7	13	13	2.0	-3	2/4	1/2	0							9
9	8	15	15	1.0	-3	2/4	1/4	0					line	end	1, 10
10	8	16	16	1.0	-3	2/4	1/4	1/4			1			start	11
11	9	17	17	2.0	-3	2/4	1/2	0							12
12	10	19	19	2.0	-3	2/4	1/2	0							13
13	11	21	21	2.0	-3	2/4	1/2	0							14
14	12	23	23	2.0	-3	2/4	1/2	0							15
15	13	25	25	2.0	-3	2/4	1/2	0							16
16	14	27	27	2.0	-3	2/4	1/2	0							17
17	15	29	29	2.0	-3	2/4	1/2	0							18
18	16	31	31	2.0	-3	2/4	1/2	0							19
19	17	33	33	2.0	-3	2/4	1/2	0					line		20
20	18	35	35	2.0	-3	2/4	1/2	0							21
21	19	37	37	2.0	-3	2/4	1/2	0							22
22	20	39	39	1.0	-3	2/4	1/4	0						end	10, 23
23	20	40	40	1.0	-3	2/4	1/4	1/4			1			start	24
24	21	41	41	2.0	-3	2/4	1/2	0							25
25	22	43	43	2.0	-3	2/4	1/2	0							26
26	23	45	45	2.0	-3	2/4	1/2	0							27
27	24	47	47	2.0	-3	2/4	1/2	0							28
28	25	49	49	2.0	-3	2/4	1/2	0					line		29
29	26	51	51	2.0	-3	2/4	1/2	0							30
30	27	53	53	2.0	-3	2/4	1/2	0							31
31	28	55	55	1.0	-3	2/4	1/4	0						end	23, 32
32	28	56	56	1.0	-3	2/4	1/4	1/4			1			start	33
33	29	57	57	2.0	-3	2/4	1/2	0							34
34	30	59	59	2.0	-3	2/4	1/2	0							35
35	31	61	61	2.0	-3	2/4	1/2	0							36
36	32	63	63	2.0	-3	2/4	1/2	0							37
37	33	65	65	2.0	-3	2/4	1/2	0					page		38
38	34	67	67	2.0	-3	2/4	1/2	0							39
39	35	69	69	2.0	-3	2/4	1/2	0							40
40	36	71	71	2.0	-3	2/4	1/2	0							41
41	37	73	73	2.0	-3	2/4	1/2	0							42
42	38	75	75	2.0	-3	2/4	1/2	0							43
43	39	77	77	2.0	-3	2/4	1/2	0							44
44	40	79	79	1.0	-3	2/4	1/4	0						end	32, 45
45	40	80	80	1.0	-3	2/4	1/4	1/4			1			start	46
46	41	81	81	2.0	-3	2/4	1/2	0					line		47
47	42	83	83	2.0	-3	2/4	1/2	0							48
48	43	85	85	2.0	-3	2/4	1/2	0							49
49	44	87	87	2.0	-3	2/4	1/2	0							50
50	45	89	89	2.0	-3	2/4	1/2	0							51
51	46	91	91	2.0	-3	2/4	1/2	0							52
52	47	93	93	2.0	-3	2/4	1/2	0							53
53	48	95	95	1.0	-3	2/4	1/4	0						end	45, 54
54	48	96	96	1.0	-3	2/4	1/4	1/4			1		line	start	55
55	49	97	97	2.0	-3	2/4	1/2	0							56
56	50	99	99	2.0	-3	2/4	1/2	0							57
57	51	101	101	2.0	-3	2/4	1/2	0							58
58	52	103	103	2.0	-3	2/4	1/2	0							59
59	53	105	105	2.0	-3	2/4	1/2	0							60
60	54	107	107	2.0	-3	2/4	1/2	0							61
61	55	109	109	2.0	-3	2/4	1/2	0					line		62
62	56	111	111	2.0	-3	2/4	1/2	0							63
63	57	113	113	2.0	-3	2/4	1/2	0							64
64	58	115	115	2.0	-3	2/4	1/2	0							65
65	59	117	117	2.0	-3	2/4	1/2	0							66
66	60	119	119	1.0	-3	2/4	1/4	0						end	54, 67
67	60	120	120	1.0	-3	2/4	1/4	1/4			1			start	68
68	61	121	121	2.0	-3	2/4	1/2	0					page		69
69	62	123	123	2.0	-3	2/4	1/2	0							70
70	63	125	125	2.0	-3	2/4	1/2	0							71
71	64	127	127	2.0	-3	2/4	1/2	0							72
72	65	129	129	2.0	-3	2/4	1/2	0							73
73	66	131	131	2.0	-3	2/4	1/2	0					line		74
74	67	133	133	2.0	-3	2/4	1/2	0							75
75	68	135	135	1.0	-3	2/4	1/4	0						end	67, 76
76	68	136	136	1.0	-3	2/4	1/4	1/4			1			start	77
77	69	137	137	2.0	-3	2/4	1/2	0							78
78	70	139	139	2.0	-3	2/4	1/2	0							79
79	71	141	141	2.0	-3	2/4	1/2	0							80
80	72	143	143	2.0	-3	2/4	1/2	0					line		81
81	73	145	145	2.0	-3	2/4	1/2	0							82
82	74	147	147	2.0	-3	2/4	1/2	0							83
83	75	149	149	2.0	-3	2/4	1/2	0							84
84	76	151	151	2.0	-3	2/4	1/2	0							85
85	77	153	153	2.0	-3	2/4	1/2	0							86
86	78	155	155	2.0	-3	2/4	1/2	0					line		87
87	79	157	157	2.0	-3	2/4	1/2	0							88
88	80	159	159	1.0	-3	2/4	1/4	0						end	76, 89
89	80	160	160	1.0	-3	2/4	1/4	1/4			1			start	90
90	81	161	161	2.0	-3	2/4	1/2	0							91
91	82	163	163	2.0	-3	2/4	1/2	0							92
92	83	165	165	2.0	-3	2/4	1/2	0							93
93	84	167	167	2.0	-3	2/4	1/2	0							94
94	85	169	169	2.0	-3	2/4	1/2	0							95
95	86	171	171	2.0	-3	2/4	1/2	0					page		96
96	87	173	173	2.0	-3	2/4	1/2	0							97
97	88	175	175	1.0	-3	2/4	1/4	0						end	89, 98
98	88	176	176	1.0	-3	2/4	1/4	1/4			1			start	99
99	89	177	177	2.0	-3	2/4	1/2	0							100
100	90	179	179	2.0	-3	2/4	1/2	0							101
101	91	181	181	2.0	-3	2/4	1/2	0							102
102	92	183	183	2.0	-3	2/4	1/2	0							103
103	93	185	185	2.0	-3	2/4	1/2	0							104
104	94	187	187	2.0	-3	2/4	1/2	0							105
105	95	189	189	2.0	-3	2/4	1/2	0					line		106
106	96	191	191	2.0	-3	2/4	1/2	0							107
107	97	193	193	2.0	-3	2/4	1/2	0							108
108	98	195	195	2.0	-3	2/4	1/2	0							109
109	99	197	197	2.0	-3	2/4	1/2	0							110
110	100	199	199	1.0	-3	2/4	1/4	0						end	98, 111
111	100	200	200	1.0	-3	2/4	1/4	1/4			1			start	112
112	101	201	201	2.0	-3	2/4	1/2	0							113
113	102	203	203	2.0	-3	2/4	1/2	0							114
114	103	205	205	2.0	-3	2/4	1/2	0					line		115
115	104	207	207	2.0	-3	2/4	1/2	0							116
116	105	209	209	2.0	-3	2/4	1/2	0							117
117	106	211	211	2.0	-3	2/4	1/2	0							118
118	107	213	213	2.0	-3	2/4	1/2	0							119
119	108	215	215	1.0	-3	2/4	1/4	0						end	111, 120
120	108	216	216	1.0	-3	2/4	1/4	1/4			1			start	121
121	109	217	217	2.0	-3	2/4	1/2	0							122
122	110	219	219	2.0	-3	2/4	1/2	0					line		123
123	111	221	221	2.0	-3	2/4	1/2	0							124
124	112	223	223	2.0	-3	2/4	1/2	0							125
125	113	225	225	2.0	-3	2/4	1/2	0							126
126	114	227	227	2.0	-3	2/4	1/2	0							127
127	115	229	229	2.0	-3	2/4	1/2	0							128
128	116	231	231	2.0	-3	2/4	1/2	0							129
129	117	233	233	2.0	-3	2/4	1/2	0					page		130
130	118	235	235	2.0	-3	2/4	1/2	0							131
131	119	237	237	2.0	-3	2/4	1/2	0							132
132	120	239	239	1.0	-3	2/4	1/4	0						end	120, 133
133	120	240	240	1.0	-3	2/4	1/4	1/4			1			start	134
134	121	241	241	2.0	-3	2/4	1/2	0							135
135	122	243	243	2.0	-3	2/4	1/2	0							136
136	123	245	245	2.0	-3	2/4	1/2	0							137
137	124	247	247	2.0	-3	2/4	1/2	0					line		138
