"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".F.I64"	""	"1"	"1.0"	"1.0"	"4/4"	"59"	"7"	"1"	3.0	"F"	"I"	""	"I"	""	"64"	""	""	false
"I"	""	"1"	"4.0"	"4.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"I64"	""	"2"	"1.0"	"5.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"I"	""	"64"	""	""	false
"I64"	""	"3"	"1.0"	"9.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"I"	""	"64"	""	""	false
"I"	""	"3"	"3.0"	"11.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"I"	""	""	""	""	false
"I64"	""	"4"	"1.0"	"13.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"I"	""	"64"	""	""	false
"I"	"vi7"	"5"	"1.0"	"17.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"I"	""	""	""	""	false
"I"	""	"6"	"1.0"	"21.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"I"	""	""	""	""	false
"I64"	""	"7"	"1.0"	"25.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"I"	""	"64"	""	""	false
"V43"	""	"7"	"3.0"	"27.0"	"4/4"	"59"	"7"	"1"	10.0	"F"	"I"	""	"V"	""	"43"	""	""	false
"V43(4)"	""	"10"	"1.0"	"37.0"	"4/4"	"59"	"7"	"1"	3.0	"F"	"I"	""	"V"	""	"43"	"4"	""	false
"V43"	""	"10"	"4.0"	"40.0"	"4/4"	"59"	"7"	"1"	25.0	"F"	"I"	""	"V"	""	"43"	""	""	false
"V(+2)"	""	"17"	"1.0"	"65.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"V"	""	""	"+2"	""	false
"V7"	""	"18"	"1.0"	"69.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"19"	"1.0"	"73.0"	"4/4"	"59"	"7"	"1"	3.0	"F"	"I"	""	"I"	""	""	""	""	true
"I6"	""	"19"	"4.0"	"76.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	"20"	"1.0"	"77.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"IV"	""	""	""	""	false
"IV6"	""	"20"	"2.0"	"78.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"IV"	""	"6"	""	""	false
"I64"	""	"20"	"3.0"	"79.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"I"	""	"64"	""	""	false
"IV"	""	"21"	"1.0"	"81.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"IV"	""	""	""	""	false
"IV6"	""	"21"	"2.0"	"82.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"IV"	""	"6"	""	""	false
"I64"	""	"21"	"3.0"	"83.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"I"	""	"64"	""	""	false
"IV"	""	"22"	"1.0"	"85.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"IV"	""	""	""	""	false
"IV6"	""	"22"	"2.0"	"86.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"IV"	""	"6"	""	""	false
"#viio65/V"	""	"22"	"3.0"	"87.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"#vii"	"o"	"65"	""	"V"	false
"V6"	""	"23"	"1.0"	"89.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"23"	"3.0"	"91.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"V"	""	""	""	""	false
"#viio7/vi"	""	"24"	"1.0"	"93.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"#viio65/vi"	""	"24"	"2.0"	"94.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"#vii"	"o"	"65"	""	"vi"	false
"vi6"	""	"24"	"3.0"	"95.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"vi"	""	"6"	""	""	false
"#viio2/V"	""	"25"	"1.0"	"97.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"#vii"	"o"	"2"	""	"V"	false
"#viio43/V"	""	"25"	"3.0"	"99.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"#vii"	"o"	"43"	""	"V"	false
"viio6"	""	"26"	"1.0"	"101.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"vii"	"o"	"6"	""	""	false
"viio43"	""	"26"	"2.0"	"102.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"vii"	"o"	"43"	""	""	false
"#viio65/ii"	""	"26"	"3.0"	"103.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"#vii"	"o"	"65"	""	"ii"	false
"#viio43/ii"	""	"27"	"1.0"	"105.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"#vii"	"o"	"43"	""	"ii"	false
"II6"	""	"27"	"3.0"	"107.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"II"	""	"6"	""	""	false
"iio6"	""	"28"	"1.0"	"109.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"ii"	"o"	"6"	""	""	false
"ii"	""	"28"	"3.0"	"111.0"	"4/4"	"59"	"7"	"1"	2.0	"F"	"I"	""	"ii"	""	""	""	""	false
"V43"	""	"29"	"1.0"	"113.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"V"	""	"43"	""	""	false
"I\\\\"	""	"30"	"1.0"	"117.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"I"	""	"I"	""	""	""	""	true
"I[I"	""	"30"	"2.0"	"118.0"	"4/4"	"59"	"7"	"1"	11.0	"F"	"I"	"I"	"I"	""	""	""	""	false
"viio]"	""	"33"	"1.0"	"129.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	"I"	"vii"	"o"	""	""	""	false
"I6"	""	"34"	"1.0"	"133.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"I"	""	"6"	""	""	false
"I"	""	"35"	"1.0"	"137.0"	"4/4"	"59"	"7"	"1"	8.0	"F"	"I"	""	"I"	""	""	""	""	false
"V65"	""	"37"	"1.0"	"145.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	"38"	"1.0"	"149.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"I"	""	"I"	""	""	""	""	false
"V.V7"	""	"39"	"1.0"	"153.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"V"	""	"V"	""	"7"	""	""	false
"IV6"	""	"40"	"1.0"	"157.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"V"	""	"IV"	""	"6"	""	""	false
"V65"	""	"41"	"1.0"	"161.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"V"	""	"V"	""	"65"	""	""	false
"V"	""	"42"	"1.0"	"165.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"V"	""	"V"	""	""	""	""	false
"V43"	""	"43"	"1.0"	"169.0"	"4/4"	"59"	"7"	"1"	4.0	"F"	"V"	""	"V"	""	"43"	""	""	false
"I"	""	"44"	"1.0"	"173.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"V"	""	"I"	""	""	""	""	false
"ii6"	""	"44"	"2.0"	"174.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"V"	""	"ii"	""	"6"	""	""	false
"iii6"	""	"44"	"3.0"	"175.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"V"	""	"iii"	""	"6"	""	""	false
"IV"	""	"44"	"4.0"	"176.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"V"	""	"IV"	""	""	""	""	false
"ii6"	""	"45"	"1.0"	"177.0"	"4/4"	"59"	"7"	"1"	1.0	"F"	"V"	""	"ii"	""	"6"	""	""	false
