mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	1.0	0	1/2	3/4	4	1		Bb.I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	2	1a	1	1	1.5	0	0	3/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	3/4	4	1		V2/IV		Bb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
2	1	2	1a	3	3	0.5	1/2	1/2	3/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	3/4	4	1		ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
3	2	3	2a	4	4	1.0	0	0	3/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	2	3	2a	5	5	1.0	1/4	1/4	3/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
3	2	3	2a	6	6	1.0	1/2	1/2	3/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	4	3a	7	7	1.5	0	0	3/4	4	1		V43		Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	4	3a	17/2	17/2	0.5	3/8	3/8	3/4	4	1		#viio65/ii		Bb	I		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
4	3	4	3a	9	9	0.5	1/2	1/2	3/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	3	4	3a	19/2	19/2	1.5	5/8	5/8	3/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	5	4a	11	11	1.5	1/4	1/4	3/4	4	1		I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
5	4	5	4a	25/2	25/2	1.5	5/8	5/8	3/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
6	5	6	5a	14	14	1.5	1/4	1/4	3/4	4	1		vi7		Bb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
6	5	6	5a	31/2	31/2	1.5	5/8	5/8	3/4	4	1		V43/V		Bb	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
7	6	7	6a	17	17	1.5	1/4	1/4	3/4	4	1		V7/V		Bb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	6	7	6a	37/2	37/2	0.25	5/8	5/8	3/4	4	1		V(9+#74)		Bb	I		V(9+#74)		V			9+#74				M	0	0	1, 0, 2	3, 6	1	1
7	6	7	6a	75/4	75/4	0.25	11/16	11/16	3/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
8	7	8	7a	19	19	3.0	0	0	3/4	4	1		V\\		Bb	I		V		V						\\	M	0	0	1, 5, 2		1	1
9	8	9	8a	22	22	1.0	0	0	3/4	4	1		V65/ii		Bb	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
9	8	9	8a	23	23	0.5	1/4	1/4	3/4	4	1		ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
9	8	9	8a	47/2	47/2	0.5	3/8	3/8	3/4	4	1		V6/ii		Bb	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
9	8	9	8a	24	24	0.5	1/2	1/2	3/4	4	1		ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
9	8	9	8a	49/2	49/2	0.5	5/8	5/8	3/4	4	1		V2/V		Bb	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
10	9	10	9a	25	25	0.5	0	0	3/4	4	1		V6(4)		Bb	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
10	9	10	9a	51/2	51/2	1.0	1/8	1/8	3/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
10	9	10	9a	53/2	53/2	1.0	3/8	3/8	3/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
10	9	10	9a	55/2	55/2	0.5	5/8	5/8	3/4	4	1		V/vi		Bb	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
11	10	11	10a	28	28	0.5	0	0	3/4	4	1		IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
11	10	11	10a	57/2	57/2	0.5	1/8	1/8	3/4	4	1		#viio/ii		Bb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
11	10	11	10a	29	29	0.5	1/4	1/4	3/4	4	1		ii(+4)		Bb	I		ii(+4)		ii			+4				m	0	0	2, -1, 3	1	2	2
11	10	11	10a	59/2	59/2	0.5	3/8	3/8	3/4	4	1		#viio6/ii		Bb	I		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
11	10	11	10a	30	30	0.5	1/2	1/2	3/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	10	11	10a	61/2	61/2	1.0	5/8	5/8	3/4	4	1		viio/V		Bb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
12	11	12	11a	63/2	63/2	0.5	1/8	1/8	3/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
12	11	12	11a	32	32	0.5	1/4	1/4	3/4	4	1		V2(9)		Bb	I		V2(9)		V		2	9				Mm7	0	0	-1, 1, 5, 2	3	1	-1
12	11	12	11a	65/2	65/2	0.5	3/8	3/8	3/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	11	12	11a	33	33	0.5	1/2	1/2	3/4	4	1		V65/IV		Bb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
12	11	12	11a	67/2	67/2	0.5	5/8	5/8	3/4	4	1		#viio65/ii		Bb	I		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
13	12	13	12a	34	34	0.5	0	0	3/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
13	12	13	12a	69/2	69/2	0.5	1/8	1/8	3/4	4	1		V65/V		Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
13	12	13	12a	35	35	0.5	1/4	1/4	3/4	4	1		v		Bb	I		v		v							m	0	0	1, -2, 2		1	1
13	12	13	12a	71/2	71/2	0.5	3/8	3/8	3/4	4	1		V43/V		Bb	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
13	12	13	12a	36	36	0.5	1/2	1/2	3/4	4	1		v6		Bb	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
13	12	13	12a	73/2	73/2	1.0	5/8	5/8	3/4	4	1		viio7		Bb	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
14	13	14	13a	75/2	75/2	0.5	1/8	1/8	3/4	4	1		I[I64		Bb	I	I	I64		I		64					M	0	0	1, 0, 4		0	1
14	13	14	13a	38	38	0.5	1/4	1/4	3/4	4	1		viio43		Bb	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
14	13	14	13a	77/2	77/2	0.5	3/8	3/8	3/4	4	1		I6]		Bb	I	I	I6		I		6					M	0	0	4, 1, 0		0	4
14	13	14	13a	39	39	0.5	1/2	1/2	3/4	4	1		V43		Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	13	14	13a	79/2	79/2	0.5	5/8	5/8	3/4	4	1		V65/IV		Bb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
15	14	15	14a	40	40	0.5	0	0	3/4	4	1		IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
15	14	15	14a	81/2	81/2	0.5	1/8	1/8	3/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
15	14	15	14a	41	41	0.5	1/4	1/4	3/4	4	1		viio2		Bb	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
15	14	15	14a	83/2	83/2	1.5	3/8	3/8	3/4	4	1		V\\		Bb	I		V		V						\\	M	0	0	1, 5, 2		1	1
16	15	16	15a	43	43	4.0	0	0	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
17	16	17	16a	47	47	8.0	0	0	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	18	19	18a	55	55	3.0	0	0	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
