mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	4/4	4	1	F.I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	4	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
2	2	2	2a	4	4	4.0	0	0	4/4	4	1	I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
3	3	3	3a	8	8	2.0	0	0	4/4	4	1	I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
3	3	3	3a	10	10	2.0	1/2	1/2	4/4	4	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
4	4	4	4a	12	12	4.0	0	0	4/4	4	1	I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
5	5	5	5a	16	16	4.0	0	0	4/4	4	1	I	vi7	F	I		I		I							M	0	0	0, 4, 1		0	0
6	6	6	6a	20	20	4.0	0	0	4/4	4	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
7	7	7	7a	24	24	2.0	0	0	4/4	4	1	I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
7	7	7	7a	26	26	10.0	1/2	1/2	4/4	4	1	V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	10	10a	36	36	3.0	0	0	4/4	4	1	V43(4)		F	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
10	10	10	10a	39	39	25.0	3/4	3/4	4/4	4	1	V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	17	17a	64	64	4.0	0	0	4/4	4	1	V(+2)		F	I		V(+2)		V			+2				M	0	0	1, 5, 2	3	1	1
18	18	18	18a	68	68	4.0	0	0	4/4	4	1	V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	19	19a	72	72	3.0	0	0	4/4	4	1	I\\		F	I		I		I						\\	M	0	0	0, 4, 1		0	0
19	19	19	19a	75	75	1.0	3/4	3/4	4/4	4	1	I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
20	20	20	20a	76	76	1.0	0	0	4/4	4	1	IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
20	20	20	20a	77	77	1.0	1/4	1/4	4/4	4	1	IV6		F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
20	20	20	20a	78	78	2.0	1/2	1/2	4/4	4	1	I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
21	21	21	21a	80	80	1.0	0	0	4/4	4	1	IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
21	21	21	21a	81	81	1.0	1/4	1/4	4/4	4	1	IV6		F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
21	21	21	21a	82	82	2.0	1/2	1/2	4/4	4	1	I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
22	22	22	22a	84	84	1.0	0	0	4/4	4	1	IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
22	22	22	22a	85	85	1.0	1/4	1/4	4/4	4	1	IV6		F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
22	22	22	22a	86	86	2.0	1/2	1/2	4/4	4	1	viio65/V		F	I		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
23	23	23	23a	88	88	2.0	0	0	4/4	4	1	V6		F	I		V6		V		6					M	0	0	5, 2, 1		1	5
23	23	23	23a	90	90	2.0	1/2	1/2	4/4	4	1	V		F	I		V		V							M	0	0	1, 5, 2		1	1
24	24	24	24a	92	92	1.0	0	0	4/4	4	1	#viio7/vi		F	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
24	24	24	24a	93	93	1.0	1/4	1/4	4/4	4	1	#viio65/vi		F	I		#viio65/vi		#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
24	24	24	24a	94	94	2.0	1/2	1/2	4/4	4	1	vi6		F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
25	25	25	25a	96	96	2.0	0	0	4/4	4	1	viio2/V		F	I		viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
25	25	25	25a	98	98	2.0	1/2	1/2	4/4	4	1	viio43/V		F	I		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
26	26	26	26a	100	100	1.0	0	0	4/4	4	1	viio6		F	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
26	26	26	26a	101	101	1.0	1/4	1/4	4/4	4	1	viio43		F	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
26	26	26	26a	102	102	2.0	1/2	1/2	4/4	4	1	#viio65/ii		F	I		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
27	27	27	27a	104	104	2.0	0	0	4/4	4	1	#viio43/ii		F	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
27	27	27	27a	106	106	2.0	1/2	1/2	4/4	4	1	II6		F	I		II6		II		6					M	0	0	6, 3, 2		2	6
28	28	28	28a	108	108	2.0	0	0	4/4	4	1	iio6		F	I		iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
28	28	28	28a	110	110	2.0	1/2	1/2	4/4	4	1	ii		F	I		ii		ii							m	0	0	2, -1, 3		2	2
29	29	29	29a	112	112	4.0	0	0	4/4	4	1	V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
