mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	2/4	4	1	F.iv6		F	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
2	2	2	2a	2	2	2.0	0	0	2/4	4	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	3	3a	4	4	1.0	0	0	2/4	4	1	V7	iv	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	3	3a	5	5	1.0	1/4	1/4	2/4	4	1	iv6		F	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
4	4	4	4a	6	6	1.0	0	0	2/4	4	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	4	4a	7	7	1.0	1/4	1/4	2/4	4	1	V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	5	5	5a	8	8	0.5	0	0	2/4	4	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	5	5a	17/2	17/2	0.5	1/8	1/8	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
5	5	5	5a	9	9	0.5	1/4	1/4	2/4	4	1	V65		F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	5	5a	19/2	19/2	0.5	3/8	3/8	2/4	4	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	6	6a	10	10	2.0	0	0	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
7	7	7	7a	12	12	1.0	0	0	2/4	4	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	7	7a	13	13	0.5	1/4	1/4	2/4	4	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
7	7	7	7a	27/2	27/2	0.5	3/8	3/8	2/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
8	8	8	8a	14	14	1.375	0	0	2/4	4	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	8	8a	123/8	123/8	0.625	11/32	11/32	2/4	4	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
9	9	9	9a	16	16	0.5	0	0	2/4	4	1	I	V	F	I		I	I							M	0	0	0, 4, 1		0	0
9	9	9	9a	33/2	33/2	0.5	1/8	1/8	2/4	4	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
9	9	9	9a	17	17	0.5	1/4	1/4	2/4	4	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
9	9	9	9a	35/2	35/2	0.5	3/8	3/8	2/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
10	10	10	10a	18	18	1.0	0	0	2/4	4	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
10	10	10	10a	19	19	1.0	1/4	1/4	2/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
11	11	11	11a	20	20	4.0	0	0	2/4	4	1	@none		F	I		@none	@none							m	0	0				
13	13	13	13a	24	24	2.0	0	0	2/4	4	1	viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
14	14	14	14a	26	26	2.0	0	0	2/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
15	15	15	15a	28	28	4.0	0	0	2/4	4	1	V7/V		F	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
17	17	17	17a	32	32	2.0	0	0	2/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
18	18	18	18a	34	34	1.0	0	0	2/4	4	1	V65		F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	18	18	18a	35	35	2.0	1/4	1/4	2/4	4	1	#viio7/ii		F	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
19	19	19	19a	37	37	2.0	1/4	1/4	2/4	4	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
20	20	20	20a	39	39	1.0	1/4	1/4	2/4	4	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
21	21	21	21a	40	40	0.5	0	0	2/4	4	1	V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	21	21	21a	81/2	81/2	0.5	1/8	1/8	2/4	4	1	I(9)		F	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
21	21	21	21a	41	41	1.5	1/4	1/4	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
22	22	22	22a	85/2	85/2	0.5	1/8	1/8	2/4	4	1	#viio/vi		F	I		#viio/vi	#vii	o			vi			o	0	0	8, 5, 2		8	8
22	22	22	22a	43	43	1.0	1/4	1/4	2/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
23	23	23	23a	44	44	1.0	0	0	2/4	4	1	V/vi		F	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
23	23	23	23a	45	45	1.0	1/4	1/4	2/4	4	1	viio2/V		F	I		viio2/V	vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
24	24	24	24a	46	46	1.0	0	0	2/4	4	1	viio7/V		F	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
24	24	24	24a	47	47	1.0	1/4	1/4	2/4	4	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	25	25a	48	48	1.0	0	0	2/4	4	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
25	25	25	25a	49	49	3.0	1/4	1/4	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
27	27	27	27a	52	52	4.0	0	0	2/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
29	29	29	29a	56	56	4.0	0	0	2/4	4	1	V.V		F	V		V	V							M	0	0	1, 5, 2		1	1
31	31	31	31a	60	60	2.0	0	0	2/4	4	1	V6		F	V		V6	V		6					M	0	0	5, 2, 1		1	5
32	32	32	32a	62	62	1.0	0	0	2/4	4	1	V(4)/V		F	V		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
32	32	32	32a	63	63	1.0	1/4	1/4	2/4	4	1	V7/V		F	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
33	33	33	33a	64	64	1.0	0	0	2/4	4	1	V(4)		F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
33	33	33	33a	65	65	0.5	1/4	1/4	2/4	4	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
33	33	33	33a	131/2	131/2	0.5	3/8	3/8	2/4	4	1	V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	34	34	34a	66	66	1.0	0	0	2/4	4	1	I(4)		F	V		I(4)	I			4				M	0	0	0, -1, 1		0	0
34	34	34	34a	67	67	2.0	1/4	1/4	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
35	35	35	35a	69	69	1.0	1/4	1/4	2/4	4	1	#VII+/vi		F	V		#VII+/vi	#VII	+			vi			+	0	0	8, 12, 16		8	8
36	36	36	36a	70	70	1.0	0	0	2/4	4	1	#viio43/ii		F	V		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
36	36	36	36a	71	71	0.5	1/4	1/4	2/4	4	1	II6		F	V		II6	II		6					M	0	0	6, 3, 2		2	6
36	36	36	36a	143/2	143/2	0.25	3/8	3/8	2/4	4	1	ii6(6)		F	V		ii6(6)	ii		6	6				m	0	0	-1, 5, 2		2	-1
36	36	36	36a	287/4	287/4	0.25	7/16	7/16	2/4	4	1	ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
37	37	37	37a	72	72	0.5	0	0	2/4	4	1	I6(4)		F	V		I6(4)	I		6	4				M	0	0	-1, 1, 0		0	-1
37	37	37	37a	145/2	145/2	0.5	1/8	1/8	2/4	4	1	I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
37	37	37	37a	73	73	0.5	1/4	1/4	2/4	4	1	V2		F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
37	37	37	37a	147/2	147/2	0.5	3/8	3/8	2/4	4	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
38	38	38	38a	74	74	2.0	0	0	2/4	4	1	I\\		F	V		I	I						\\	M	0	0	0, 4, 1		0	0
39	39	39	39a	76	76	4.0	0	0	2/4	4	1	V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
41	41	41	41a	80	80	2.5	0	0	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
42	42	42	42a	165/2	165/2	0.5	1/8	1/8	2/4	4	1	I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
42	42	42	42a	83	83	0.5	1/4	1/4	2/4	4	1	I64		F	V		I64	I		64					M	0	0	1, 0, 4		0	1
42	42	42	42a	167/2	167/2	0.5	3/8	3/8	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
43	43	43	43a	84	84	1.0	0	0	2/4	4	1	V65		F	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
43	43	43	43a	85	85	0.5	1/4	1/4	2/4	4	1	V2		F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
43	43	43	43a	171/2	171/2	0.5	3/8	3/8	2/4	4	1	V65		F	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
44	44	44	44a	86	86	0.5	0	0	2/4	4	1	V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	44	44a	173/2	173/2	0.5	1/8	1/8	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
44	44	44	44a	87	87	0.5	1/4	1/4	2/4	4	1	IVM7		F	V		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
44	44	44	44a	175/2	175/2	0.5	3/8	3/8	2/4	4	1	IV/IV		F	V		IV/IV	IV				IV			M	0	0	-2, 2, -1		-2	-2
45	45	45	45a	88	88	0.5	0	0	2/4	4	1	V43/vi		F	V		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
45	45	45	45a	177/2	177/2	0.5	1/8	1/8	2/4	4	1	vi		F	V		vi	vi							m	0	0	3, 0, 4		3	3
45	45	45	45a	89	89	0.5	1/4	1/4	2/4	4	1	V7/V		F	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
45	45	45	45a	179/2	179/2	0.5	3/8	3/8	2/4	4	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
46	46	46	46a	90	90	1.5	0	0	2/4	4	1	i6		F	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
46	46	46	46a	183/2	183/2	0.5	3/8	3/8	2/4	4	1	#viio7/iii		F	V		#viio7/iii	#vii	o	7		iii			o7	0	0	9, 6, 3, 0		9	9
47	47	47	47a	92	92	1.5	0	0	2/4	4	1	iii		F	V		iii	iii							m	0	0	4, 1, 5		4	4
47	47	47	47a	187/2	187/2	0.5	3/8	3/8	2/4	4	1	viio6		F	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
48	48	48	48a	94	94	0.5	0	0	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
48	48	48	48a	189/2	189/2	0.5	1/8	1/8	2/4	4	1	V6		F	V		V6	V		6					M	0	0	5, 2, 1		1	5
48	48	48	48a	95	95	0.5	1/4	1/4	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
48	48	48	48a	191/2	191/2	0.5	3/8	3/8	2/4	4	1	vi		F	V		vi	vi							m	0	0	3, 0, 4		3	3
49	49	49	49a	96	96	0.5	0	0	2/4	4	1	V6/vi		F	V		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
49	49	49	49a	193/2	193/2	0.5	1/8	1/8	2/4	4	1	V7/vi		F	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
49	49	49	49a	97	97	1.0	1/4	1/4	2/4	4	1	IV		F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
50	50	50	50a	98	98	1.0	0	0	2/4	4	1	V7/vi		F	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
50	50	50	50a	99	99	1.0	1/4	1/4	2/4	4	1	V2		F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
51	51	51	51a	100	100	1.0	0	0	2/4	4	1	I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
51	51	51	51a	101	101	0.25	1/4	1/4	2/4	4	1	vi(+6)		F	V		vi(+6)	vi			+6				m	0	0	3, 0, 4	-1	3	3
51	51	51	51a	405/4	405/4	0.75	5/16	5/16	2/4	4	1	viio6/V		F	V		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
52	52	52	52a	102	102	1.0	0	0	2/4	4	1	V7/vi		F	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
52	52	52	52a	103	103	0.6666666666666714	1/4	1/4	2/4	4	1	#viio2/vi		F	V		#viio2/vi	#vii	o	2		vi			o7	0	0	-1, 8, 5, 2		8	-1
52	52	52	52a	311/3	311/3	0.3333333333333286	5/12	5/12	2/4	4	1	V2		F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
53	53	53	53a	104	104	0.5	0	0	2/4	4	1	I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
53	53	53	53a	209/2	209/2	0.5	1/8	1/8	2/4	4	1	V6		F	V		V6	V		6					M	0	0	5, 2, 1		1	5
53	53	53	53a	105	105	0.5	1/4	1/4	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
53	53	53	53a	211/2	211/2	0.5	3/8	3/8	2/4	4	1	V43		F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
54	54	54	54a	106	106	1.0	0	0	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
54	54	54	54a	107	107	1.0	1/4	1/4	2/4	4	1	V43		F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
55	55	55	55a	108	108	0.5	0	0	2/4	4	1	I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
55	55	55	55a	217/2	217/2	0.5	1/8	1/8	2/4	4	1	ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
55	55	55	55a	109	109	0.5	1/4	1/4	2/4	4	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
55	55	55	55a	219/2	219/2	0.5	3/8	3/8	2/4	4	1	V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
56	56	56	56a	110	110	1.0	0	0	2/4	4	1	I\\		F	V		I	I						\\	M	0	0	0, 4, 1		0	0
56	56	56	56a	111	111	1.0	1/4	1/4	2/4	4	1	V43		F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
57	57	57	57a	112	112	0.5	0	0	2/4	4	1	I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
57	57	57	57a	225/2	225/2	0.5	1/8	1/8	2/4	4	1	ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
57	57	57	57a	113	113	0.5	1/4	1/4	2/4	4	1	V(64)		F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
57	57	57	57a	227/2	227/2	0.5	3/8	3/8	2/4	4	1	V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
58	58	58	58a	114	114	1.5	0	0	2/4	4	1	V43/ii		F	V		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
58	58	58	58a	231/2	231/2	0.5	3/8	3/8	2/4	4	1	V2/ii		F	V		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
59	59	59	59a	116	116	1.5	0	0	2/4	4	1	ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
59	59	59	59a	235/2	235/2	0.5	3/8	3/8	2/4	4	1	V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
60	60	60	60a	118	118	1.5	0	0	2/4	4	1	I\\		F	V		I	I						\\	M	0	0	0, 4, 1		0	0
60	60	60	60a	239/2	239/2	0.5	3/8	3/8	2/4	4	1	V2/ii		F	V		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
61	61	61	61a	120	120	1.5	0	0	2/4	4	1	ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
61	61	61	61a	243/2	243/2	1.5	3/8	3/8	2/4	4	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
62	62	62	62a	123	123	5.0	1/4	1/4	2/4	4	1	@none		F	V		@none	@none							m	0	0				
65	65	65	65a	128	128	1.0	0	0	2/4	4	1	V6/V		F	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
65	65	65	65a	129	129	1.0	1/4	1/4	2/4	4	1	V2/V		F	V		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
66	66	66	66a	130	130	2.0	0	0	2/4	4	1	V6		F	V		V6	V		6					M	0	0	5, 2, 1		1	5
67	67	67	67a	132	132	1.0	0	0	2/4	4	1	IV		F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
67	67	67	67a	133	133	1.0	1/4	1/4	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
68	68	68	68a	134	134	1.0	0	0	2/4	4	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
68	68	68	68a	135	135	1.0	1/4	1/4	2/4	4	1	IV		F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
69	69	69	69a	136	136	1.0	0	0	2/4	4	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
69	69	69	69a	137	137	1.0	1/4	1/4	2/4	4	1	V43		F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
