mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	1.5	0	0	6/8	4	1		e.i	e	i		i		i							m	1	1	0, -3, 1		0	0
1	1	1	1a	3/2	3/2	4.5	3/8	3/8	6/8	4	1		V6	e	i		V6		V		6					M	1	1	5, 2, 1		1	5
3	3	3	3a	6	6	3.0	0	0	6/8	4	1		i	e	i		i		i							m	1	1	0, -3, 1		0	0
4	4	4	4a	9	9	1.5	0	0	6/8	4	1		V7	e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	4	4a	21/2	21/2	4.5	3/8	3/8	6/8	4	1		i\\	e	i		i		i						\\	m	1	1	0, -3, 1		0	0
6	6	6	6a	15	15	3.0	0	0	6/8	4	1		bII	e	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
7	7	7	7a	18	18	1.5	0	0	6/8	4	1		V7/bII	e	i		V7/bII		V		7		bII			Mm7	1	1	-4, 0, -3, -6		-4	-4
7	7	7	7a	39/2	39/2	4.5	3/8	3/8	6/8	4	1		bII	e	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
9	9	9	9a	24	24	3.0	0	0	6/8	4	1		viio7	e	i		viio7		vii	o	7					o7	1	1	-2, -5, -8, -11		-2	-2
10	10	10	10a	27	27	1.5	0	0	6/8	4	1		V65(2)	e	i		V65(2)		V		65	2				Mm7	1	1	5, 2, -1, -4		1	5
10	10	10	10a	57/2	57/2	1.5	3/8	3/8	6/8	4	1		V65	e	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
11	11	11	11a	30	30	3.0	0	0	6/8	4	1		V7	e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	12	12a	33	33	1.5	0	0	6/8	4	1		V7(2)	e	i		V7(2)		V		7	2				Mm7	1	1	-4, 5, 2, -1		1	-4
12	12	12	12a	69/2	69/2	1.5	3/8	3/8	6/8	4	1		V7	e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	13	13	13a	36	36	1.5	0	0	6/8	4	1		V(64)	e	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
13	13	13	13a	75/2	75/2	1.5	3/8	3/8	6/8	4	1		V7	e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	14	14a	39	39	1.5	0	0	6/8	4	1		V(64)	e	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
14	14	14	14a	81/2	81/2	0.5	3/8	3/8	6/8	4	1		V7(4)	e	i		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
14	14	14	14a	41	41	1.0	1/2	1/2	6/8	4	1		V7	e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	15	15	15a	42	42	1.5	0	0	6/8	4	1		i\\	e	i		i		i						\\	m	1	1	0, -3, 1		0	0
15	15	15	15a	87/2	87/2	0.5	3/8	3/8	6/8	4	1		iv	e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
15	15	15	15a	44	44	0.5	1/2	1/2	6/8	4	1		V6/iv	e	i		V6/iv		V		6		iv			M	1	1	4, 1, 0		0	4
15	15	15	15a	89/2	89/2	0.5	5/8	5/8	6/8	4	1		iv	e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
16	16	16	16a	45	45	1.5	0	0	6/8	4	1		bII	e	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
16	16	16	16a	93/2	93/2	1.5	3/8	3/8	6/8	4	1		vii	e	i		vii		vii							m	1	1	-2, -5, -1		-2	-2
17	17	17	17a	48	48	2.25	0	0	6/8	4	1		III	e	i		III		III							M	1	1	-3, 1, -2		-3	-3
17	17	17	17a	201/4	201/4	1.25	9/16	9/16	6/8	4	1		bII	e	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
18	18	18	18a	103/2	103/2	1.0	1/8	1/8	6/8	4	1		viio7/V	e	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
18	18	18	18a	105/2	105/2	1.5	3/8	3/8	6/8	4	1		V(64)	e	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
19	19	19	19a	54	54	1.5	0	0	6/8	4	1		#viio2	e	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
19	19	19	19a	111/2	111/2	4.5	3/8	3/8	6/8	4	1		V6\\	e	i		V6		V		6				\\	M	1	1	5, 2, 1		1	5
21	21	21	21a	60	60	1.5	0	0	6/8	4	1		i[i6	e	i	i	i6		i		6					m	1	1	-3, 1, 0		0	-3
21	21	21	21a	123/2	123/2	1.5	3/8	3/8	6/8	4	1		#viio64	e	i	i	#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
22	22	22	22a	63	63	1.5	0	0	6/8	4	1		i6	e	i	i	i6		i		6					m	1	1	-3, 1, 0		0	-3
