mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	7.0	0	1/2	3/4	4	1		G.I	G	I		I		I							M	0	0	0, 4, 1		0	0
4	3	4	3a	7	7	2.0	0	0	3/4	4	1		V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	4	3a	9	9	1.0	1/2	1/2	3/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
5	4	5	4a	10	10	1.0	0	0	3/4	4	1		V6	G	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	5	4a	11	11	2.0	1/4	1/4	3/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
6	5	6	5a	13	13	4.0	0	0	3/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	7	6a	17	17	1.0	1/4	1/4	3/4	4	1		V65	G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
7	6	7	6a	18	18	1.0	1/2	1/2	3/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
8	7	8	7a	19	19	2.0	0	0	3/4	4	1		ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	8	7a	21	21	1.0	1/2	1/2	3/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	9	8a	22	22	2.0	0	0	3/4	4	1		I\\	G	I		I		I						\\	M	0	0	0, 4, 1		0	0
1	0	10	8a	24	0	7.0	0	1/2	3/4	4	1		G.I	G	I		I		I							M	0	0	0, 4, 1		0	0
4	3	13	3b	31	7	2.0	0	0	3/4	4	1		V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	13	3b	33	9	1.0	1/2	1/2	3/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
5	4	14	4b	34	10	1.0	0	0	3/4	4	1		V6	G	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	14	4b	35	11	2.0	1/4	1/4	3/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
6	5	15	5b	37	13	4.0	0	0	3/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	16	6b	41	17	1.0	1/4	1/4	3/4	4	1		V65	G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
7	6	16	6b	42	18	1.0	1/2	1/2	3/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
8	7	17	7b	43	19	2.0	0	0	3/4	4	1		ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	17	7b	45	21	1.0	1/2	1/2	3/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	18	8b	46	22	2.0	0	0	3/4	4	1		I\\	G	I		I		I						\\	M	0	0	0, 4, 1		0	0
10	8	19	8b	48	24	1.0	0	1/2	3/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
11	9	20	9a	49	25	3.0	0	0	3/4	4	1		V/vi	G	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
12	10	21	10a	52	28	3.0	0	0	3/4	4	1		V(4)	G	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
13	11	22	11a	55	31	6.0	0	0	3/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
15	13	24	13a	61	37	2.0	0	0	3/4	4	1		V7(+9)/IV	G	I		V7(+9)/IV		V		7	+9	IV			Mm7	0	0	0, 4, 1, -2	2	0	0
15	13	24	13a	63	39	0.5	1/2	1/2	3/4	4	1		V43/IV	G	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
15	13	24	13a	127/2	79/2	0.5	5/8	5/8	3/4	4	1		ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
16	14	25	14a	64	40	0.5	0	0	3/4	4	1		I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	14	25	14a	129/2	81/2	0.5	1/8	1/8	3/4	4	1		ii	G	I		ii		ii							m	0	0	2, -1, 3		2	2
16	14	25	14a	65	41	1.5	1/4	1/4	3/4	4	1		V7/IV	G	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
16	14	25	14a	133/2	85/2	0.5	5/8	5/8	3/4	4	1		V43/IV	G	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
17	15	26	15a	67	43	2.5	0	0	3/4	4	1		IV	G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
17	15	26	15a	139/2	91/2	0.5	5/8	5/8	3/4	4	1		ii	G	I		ii		ii							m	0	0	2, -1, 3		2	2
18	16	27	16a	70	46	1.0	0	0	3/4	4	1		V(64)	G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
18	16	27	16a	71	47	1.0	1/4	1/4	3/4	4	1		V\\	G	I		V		V						\\	M	0	0	1, 5, 2		1	1
18	16	27	16a	72	48	7.0	1/2	1/2	3/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
21	19	30	19a	79	55	2.0	0	0	3/4	4	1		V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	19	30	19a	81	57	1.0	1/2	1/2	3/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
22	20	31	20a	82	58	1.0	0	0	3/4	4	1		V6	G	I		V6		V		6					M	0	0	5, 2, 1		1	5
22	20	31	20a	83	59	2.0	1/4	1/4	3/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
23	21	32	21a	85	61	3.0	0	0	3/4	4	1		viio64	G	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
24	22	33	22a	88	64	3.0	0	0	3/4	4	1		#viio/vi	G	I		#viio/vi		#vii	o			vi			o	0	0	8, 5, 2		8	8
25	23	34	23a	91	67	3.0	0	0	3/4	4	1		V/vi	G	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
