mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
175	175	175	175a	1013/2	1013/2	0.5	1/8	1/8	3/4	4	1	IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
175	175	175	175a	507	507	1.0	1/4	1/4	3/4	4	1	V(+6)/ii	Eb	I		V(+6)/ii		V			+6	ii			M	0	0	3, 7, 4	-1	3	3
175	175	175	175a	508	508	0.5	1/2	1/2	3/4	4	1	ii(9)	Eb	I		ii(9)		ii			9				m	0	0	2, -1, 3	4	2	2
175	175	175	175a	1017/2	1017/2	0.5	5/8	5/8	3/4	4	1	viio	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
176	176	176	176a	509	509	0.5	0	0	3/4	4	1	ii64	Eb	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
176	176	176	176a	1019/2	1019/2	0.5	1/8	1/8	3/4	4	1	iii6	Eb	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
176	176	176	176a	510	510	1.0	1/4	1/4	3/4	4	1	V(+6)	Eb	I		V(+6)		V			+6				M	0	0	1, 5, 2	4	1	1
176	176	176	176a	511	511	0.5	1/2	1/2	3/4	4	1	I(9)	Eb	I		I(9)		I			9				M	0	0	0, 4, 1	2	0	0
176	176	176	176a	1023/2	1023/2	0.5	5/8	5/8	3/4	4	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
177	177	177	177a	512	512	0.5	0	0	3/4	4	1	I64	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
177	177	177	177a	1025/2	1025/2	2.0	1/8	1/8	3/4	4	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
177	177	177	177a	1029/2	1029/2	0.5	5/8	5/8	3/4	4	1	V65/V	Eb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
178	178	178	178a	515	515	1.5	0	0	3/4	4	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
178	178	178	178a	1033/2	1033/2	1.5	3/8	3/8	3/4	4	1	@none	Eb	I		@none		@none							m	0	0				
179	179	179	179a	518	518	1.0	0	0	3/4	4	1	ii64	Eb	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
179	179	179	179a	519	519	1.0	1/4	1/4	3/4	4	1	ii	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
179	179	179	179a	520	520	1.0	1/2	1/2	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
180	180	180	180a	521	521	3.0	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
181	181	181	181a	524	524	3.0	0	0	3/4	4	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
182	182	182	182a	527	527	6.0	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
184	184	184	184a	533	533	3.0	0	0	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
185	185	185	185a	536	536	3.0	0	0	3/4	4	1	V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
