mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	9.0	0	3/4	2/2	4	1		c.i	c	i		i		i							m	1	1	0, -3, 1		0	0
4	3	4	3a	9	9	1.0	0	0	2/2	4	1		V65	c	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	3	4	3a	10	10	1.0	1/4	1/4	2/2	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
4	3	4	3a	11	11	1.0	1/2	1/2	2/2	4	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
4	3	4	3a	12	12	1.0	3/4	3/4	2/2	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
5	4	5	4a	13	13	4.0	0	0	2/2	4	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
6	5	6	5a	17	17	4.0	0	0	2/2	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
7	6	7	6a	21	21	3.0	0	0	2/2	4	1		v.iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
7	6	7	6a	24	24	1.0	3/4	3/4	2/2	4	1		viio7/V	c	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
8	7	8	7a	25	25	1.0	0	0	2/2	4	1		V(64)	c	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	7	8	7a	26	26	1.0	1/4	1/4	2/2	4	1		It6	c	v		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
8	7	8	7a	27	27	1.0	1/2	1/2	2/2	4	1		V(64)	c	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	7	8	7a	28	28	1.0	3/4	3/4	2/2	4	1		V	c	v		V		V							M	1	1	1, 5, 2		1	1
9	8	9	8a	29	29	3.0	0	0	2/2	4	1		i\\	c	v		i		i						\\	m	1	1	0, -3, 1		0	0
1	0	10	8a	32	0	9.0	0	3/4	2/2	4	1		c.i	c	i		i		i							m	1	1	0, -3, 1		0	0
4	3	13	3b	41	9	1.0	0	0	2/2	4	1		V65	c	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	3	13	3b	42	10	1.0	1/4	1/4	2/2	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
4	3	13	3b	43	11	1.0	1/2	1/2	2/2	4	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
