mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	4/4	4	1	Db.viio6(2)	Db	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
1	1	1	1a	2	2	2.0	1/2	1/2	4/4	4	1	viio6	Db	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	2	2a	4	4	1.0	0	0	4/4	4	1	vi6	Db	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	4	1	viio6(2)	Db	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
2	2	2	2a	6	6	1.5	1/2	1/2	4/4	4	1	viio6	Db	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	2	2a	15/2	15/2	0.5	7/8	7/8	4/4	4	1	V6	Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	3	3a	8	8	2.0	0	0	4/4	4	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	4	1	V6	Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	4	1	V43	Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	4	4a	12	12	1.0	0	0	4/4	4	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	4	1	I6	Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	4	4a	14	14	0.5	1/2	1/2	4/4	4	1	IV	Db	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	4	4a	29/2	29/2	0.25	5/8	5/8	4/4	4	1	V43	Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	4	4a	59/4	59/4	0.25	11/16	11/16	4/4	4	1	V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	4	4a	15	15	0.5	3/4	3/4	4/4	4	1	V(64)	Db	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	4	4a	31/2	31/2	0.5	7/8	7/8	4/4	4	1	V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	5	5a	16	16	1.0	0	0	4/4	4	1	I\\	Db	I		I	I						\\	M	0	0	0, 4, 1		0	0
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	4	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	4	1	V6	Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	5	5a	19	19	0.5	3/4	3/4	4/4	4	1	V65	Db	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	5	5a	39/2	39/2	0.5	7/8	7/8	4/4	4	1	V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	6	6a	20	20	2.0	0	0	4/4	4	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
6	6	6	6a	22	22	0.5	1/2	1/2	4/4	4	1	IVM7	Db	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
6	6	6	6a	45/2	45/2	0.5	5/8	5/8	4/4	4	1	V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	6	6a	23	23	0.5	3/4	3/4	4/4	4	1	vi	Db	I		vi	vi							m	0	0	3, 0, 4		3	3
6	6	6	6a	47/2	47/2	0.5	7/8	7/8	4/4	4	1	V6	Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	7	7a	24	24	0.5	0	0	4/4	4	1	V.ii	Db	V		ii	ii							m	0	0	2, -1, 3		2	2
7	7	7	7a	49/2	49/2	0.25	1/8	1/8	4/4	4	1	vii%7	Db	V		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
7	7	7	7a	99/4	99/4	0.25	3/16	3/16	4/4	4	1	V6	Db	V		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	7	7a	25	25	0.5	1/4	1/4	4/4	4	1	iii7	Db	V		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
7	7	7	7a	51/2	51/2	0.5	3/8	3/8	4/4	4	1	I6	Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	7	7a	26	26	0.5	1/2	1/2	4/4	4	1	ii7	Db	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
7	7	7	7a	53/2	53/2	0.5	5/8	5/8	4/4	4	1	V64	Db	V		V64	V		64					M	0	0	2, 1, 5		1	2
7	7	7	7a	27	27	0.5	3/4	3/4	4/4	4	1	iii7	Db	V		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
7	7	7	7a	55/2	55/2	0.5	7/8	7/8	4/4	4	1	I6	Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	8	8a	28	28	0.75	0	0	4/4	4	1	ii7	Db	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	8	8	8a	115/4	115/4	0.25	3/16	3/16	4/4	4	1	V64	Db	V		V64	V		64					M	0	0	2, 1, 5		1	2
8	8	8	8a	29	29	0.5	1/4	1/4	4/4	4	1	iii	Db	V		iii	iii							m	0	0	4, 1, 5		4	4
8	8	8	8a	59/2	59/2	0.5	3/8	3/8	4/4	4	1	I6	Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	8	8a	30	30	0.5	1/2	1/2	4/4	4	1	ii65	Db	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
8	8	8	8a	61/2	61/2	0.5	5/8	5/8	4/4	4	1	V	Db	V		V	V							M	0	0	1, 5, 2		1	1
8	8	8	8a	31	31	0.5	3/4	3/4	4/4	4	1	i	Db	V		i	i							m	0	0	0, -3, 1		0	0
8	8	8	8a	63/2	63/2	0.5	7/8	7/8	4/4	4	1	V6/V	Db	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
9	9	9	9a	32	32	0.5	0	0	4/4	4	1	I.ii	Db	I		ii	ii							m	0	0	2, -1, 3		2	2
9	9	9	9a	65/2	65/2	0.5	1/8	1/8	4/4	4	1	V6	Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	9	9	9a	33	33	0.5	1/4	1/4	4/4	4	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
9	9	9	9a	67/2	67/2	0.5	3/8	3/8	4/4	4	1	I6	Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	9	9a	34	34	0.5	1/2	1/2	4/4	4	1	ii6	Db	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
9	9	9	9a	69/2	69/2	0.5	5/8	5/8	4/4	4	1	V	Db	I		V	V							M	0	0	1, 5, 2		1	1
9	9	9	9a	35	35	1.0	3/4	3/4	4/4	4	1	I\\	Db	I		I	I						\\	M	0	0	0, 4, 1		0	0
10	10	10	10a	36	36	0.5	0	0	4/4	4	1	ii	Db	I		ii	ii							m	0	0	2, -1, 3		2	2
10	10	10	10a	73/2	73/2	0.5	1/8	1/8	4/4	4	1	V	Db	I		V	V							M	0	0	1, 5, 2		1	1
10	10	10	10a	37	37	1.0	1/4	1/4	4/4	4	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
10	10	10	10a	38	38	1.0	1/2	1/2	4/4	4	1	V/V	Db	I		V/V	V				V			M	0	0	2, 6, 3		2	2
10	10	10	10a	39	39	1.0	3/4	3/4	4/4	4	1	V	Db	I		V	V							M	0	0	1, 5, 2		1	1
11	11	11	11a	40	40	2.0	0	0	4/4	4	1	V.I	Db	V		I	I							M	0	0	0, 4, 1		0	0
11	11	11	11a	42	42	1.0	1/2	1/2	4/4	4	1	V7	Db	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	11	11a	43	43	1.0	3/4	3/4	4/4	4	1	I	Db	V		I	I							M	0	0	0, 4, 1		0	0
12	12	12	12a	44	44	1.0	0	0	4/4	4	1	I6	Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	12	12a	45	45	1.0	1/4	1/4	4/4	4	1	I	Db	V		I	I							M	0	0	0, 4, 1		0	0
12	12	12	12a	46	46	1.0	1/2	1/2	4/4	4	1	V2	Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
12	12	12	12a	47	47	1.0	3/4	3/4	4/4	4	1	I6	Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	13	13a	48	48	1.0	0	0	4/4	4	1	V7/vi	Db	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
13	13	13	13a	49	49	1.0	1/4	1/4	4/4	4	1	vi	Db	V		vi	vi							m	0	0	3, 0, 4		3	3
13	13	13	13a	50	50	2.0	1/2	1/2	4/4	4	1	V7/IV	Db	V		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
14	14	14	14a	52	52	2.0	0	0	4/4	4	1	@none	Db	V		@none	@none							m	0	0				
14	14	14	14a	54	54	0.5	1/2	1/2	4/4	4	1	IV	Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	14	14a	109/2	109/2	0.5	5/8	5/8	4/4	4	1	V6	Db	V		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	14	14a	55	55	0.5	3/4	3/4	4/4	4	1	I	Db	V		I	I							M	0	0	0, 4, 1		0	0
14	14	14	14a	111/2	111/2	0.5	7/8	7/8	4/4	4	1	I6	Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	15	15a	56	56	1.0	0	0	4/4	4	1	ii6	Db	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
15	15	15	15a	57	57	1.0	1/4	1/4	4/4	4	1	I6	Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	15	15a	58	58	0.5	1/2	1/2	4/4	4	1	IV	Db	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	15	15	15a	117/2	117/2	0.5	5/8	5/8	4/4	4	1	V	Db	V		V	V							M	0	0	1, 5, 2		1	1
15	15	15	15a	59	59	1.0	3/4	3/4	4/4	4	1	I6	Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	16	16a	60	60	0.5	0	0	4/4	4	1	V2	Db	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
16	16	16	16a	121/2	121/2	0.5	1/8	1/8	4/4	4	1	V65	Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	16	16a	61	61	0.5	1/4	1/4	4/4	4	1	I	Db	V		I	I							M	0	0	0, 4, 1		0	0
16	16	16	16a	123/2	123/2	0.5	3/8	3/8	4/4	4	1	I6	Db	V		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	16	16a	62	62	0.5	1/2	1/2	4/4	4	1	V43	Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
16	16	16	16a	125/2	125/2	0.5	5/8	5/8	4/4	4	1	V65	Db	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	16	16a	63	63	0.5	3/4	3/4	4/4	4	1	I	Db	V		I	I							M	0	0	0, 4, 1		0	0
16	16	16	16a	127/2	127/2	0.5	7/8	7/8	4/4	4	1	I64	Db	V		I64	I		64					M	0	0	1, 0, 4		0	1
17	17	17	17a	64	64	1.0	0	0	4/4	4	1	V43	Db	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	17	17a	65	65	0.5	1/4	1/4	4/4	4	1	I	Db	V		I	I							M	0	0	0, 4, 1		0	0
17	17	17	17a	131/2	131/2	2.25	3/8	3/8	4/4	4	1	V6/vi	Db	V		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
17	17	17	17a	271/4	271/4	0.25	15/16	15/16	4/4	4	1	V7/vi	Db	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
18	18	18	18a	68	68	0.75	0	0	4/4	4	1	III.V7	Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	18	18a	275/4	275/4	0.25	3/16	3/16	4/4	4	1	V65	Db	III		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	18	18	18a	69	69	1.0	1/4	1/4	4/4	4	1	I	Db	III		I	I							M	0	0	0, 4, 1		0	0
18	18	18	18a	70	70	0.5	1/2	1/2	4/4	4	1	V43	Db	III		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	18	18	18a	141/2	141/2	0.5	5/8	5/8	4/4	4	1	V7	Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	18	18a	71	71	0.5	3/4	3/4	4/4	4	1	I	Db	III		I	I							M	0	0	0, 4, 1		0	0
18	18	18	18a	143/2	143/2	0.25	7/8	7/8	4/4	4	1	V7	Db	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	18	18a	287/4	287/4	0.25	15/16	15/16	4/4	4	1	V65	Db	III		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	19	19	19a	72	72	0.25	0	0	4/4	4	1	I	Db	III		I	I							M	0	0	0, 4, 1		0	0
19	19	19	19a	289/4	289/4	0.25	1/16	1/16	4/4	4	1	viio6	Db	III		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
19	19	19	19a	145/2	145/2	0.25	1/8	1/8	4/4	4	1	I6	Db	III		I6	I		6					M	0	0	4, 1, 0		0	4
19	19	19	19a	291/4	291/4	0.25	3/16	3/16	4/4	4	1	viio65	Db	III		viio65	vii	o	65					o7	0	0	2, -1, -4, 5		5	2
19	19	19	19a	73	73	0.25	1/4	1/4	4/4	4	1	v%2	Db	III		v%2	v	%	2					%7	0	0	-1, 1, -2, -5		1	-1
19	19	19	19a	293/4	293/4	0.25	5/16	5/16	4/4	4	1	V65/V	Db	III		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
19	19	19	19a	147/2	147/2	0.5	3/8	3/8	4/4	4	1	V	Db	III		V	V							M	0	0	1, 5, 2		1	1
19	19	19	19a	74	74	2.0	1/2	1/2	4/4	4	1	V(+b2)	Db	III		V(+b2)	V			+b2				M	0	0	1, 5, 2	-4	1	1
20	20	20	20a	76	76	2.0	0	0	4/4	4	1	V	Db	III		V	V							M	0	0	1, 5, 2		1	1
20	20	20	20a	78	78	2.0	1/2	1/2	4/4	4	1	V7/V	Db	III		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
