mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	4.0	0	1/2	3/4	4	1		A.I	A	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	2a	4	4	3.0	0	0	3/4	4	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
4	3	4	3a	7	7	3.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
5	4	5	4a	10	10	1.0	0	0	3/4	4	1		V(6)	A	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
5	4	5	4a	11	11	2.0	1/4	1/4	3/4	4	1		V\\	A	I		V		V						\\	M	0	0	1, 5, 2		1	1
6	5	6	5a	13	13	5.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
7	6	7	6a	18	18	1.0	1/2	1/2	3/4	4	1		vi	A	I		vi		vi							m	0	0	3, 0, 4		3	3
8	7	8	7a	19	19	3.0	0	0	3/4	4	1		viio/V	A	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
9	8	9	8a	22	22	2.0	0	0	3/4	4	1		V/V	A	I		V/V		V				V			M	0	0	2, 6, 3		2	2
9	8	9	8a	24	24	1.0	1/2	1/2	3/4	4	1		V2/V	A	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
10	9	10	9a	25	25	2.0	0	0	3/4	4	1		V6	A	I		V6		V		6					M	0	0	5, 2, 1		1	5
10	9	10	9a	27	27	2.0	1/2	1/2	3/4	4	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
11	10	11	10a	29	29	1.0	1/4	1/4	3/4	4	1		V.IV6	A	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
11	10	11	10a	30	30	1.0	1/2	1/2	3/4	4	1		V	A	V		V		V							M	0	0	1, 5, 2		1	1
12	11	12	11a	31	31	1.0	0	0	3/4	4	1		ii6	A	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	11	12	11a	32	32	1.0	1/4	1/4	3/4	4	1		ii	A	V		ii		ii							m	0	0	2, -1, 3		2	2
12	11	12	11a	33	33	1.0	1/2	1/2	3/4	4	1		V	A	V		V		V							M	0	0	1, 5, 2		1	1
13	12	13	12a	34	34	3.0	0	0	3/4	4	1		I\\	A	V		I		I						\\	M	0	0	0, 4, 1		0	0
14	13	14	13a	37	37	3.0	0	0	3/4	4	1		I.I	A	I		I		I							M	0	0	0, 4, 1		0	0
15	14	15	14a	40	40	3.0	0	0	3/4	4	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
16	15	16	15a	43	43	2.0	0	0	3/4	4	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	15	16	15a	45	45	1.0	1/2	1/2	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
17	16	17	16a	46	46	3.0	0	0	3/4	4	1		V\\	A	I		V		V						\\	M	0	0	1, 5, 2		1	1
18	17	18	17a	49	49	5.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
19	18	19	18a	54	54	1.0	1/2	1/2	3/4	4	1		vi	A	I		vi		vi							m	0	0	3, 0, 4		3	3
20	19	20	19a	55	55	3.0	0	0	3/4	4	1		viio/V	A	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
21	20	21	20a	58	58	1.0	0	0	3/4	4	1		V6/V	A	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
21	20	21	20a	59	59	1.0	1/4	1/4	3/4	4	1		V/V	A	I		V/V		V				V			M	0	0	2, 6, 3		2	2
21	20	21	20a	60	60	1.0	1/2	1/2	3/4	4	1		V2/V	A	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
22	21	22	21a	61	61	4.0	0	0	3/4	4	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
23	22	23	22a	65	65	1.0	1/4	1/4	3/4	4	1		V.vi	A	V		vi		vi							m	0	0	3, 0, 4		3	3
23	22	23	22a	66	66	1.0	1/2	1/2	3/4	4	1		V(64)	A	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
24	23	24	23a	67	67	1.0	0	0	3/4	4	1		ii6	A	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
24	23	24	23a	68	68	1.0	1/4	1/4	3/4	4	1		ii	A	V		ii		ii							m	0	0	2, -1, 3		2	2
24	23	24	23a	69	69	1.0	1/2	1/2	3/4	4	1		V7	A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	24	25	24a	70	70	3.0	0	0	3/4	4	1		I\\	A	V		I		I						\\	M	0	0	0, 4, 1		0	0
26	25	26	25a	73	73	3.0	0	0	3/4	4	1		I.V[viio	A	I	V	viio		vii	o						o	0	0	5, 2, -1		5	5
27	26	27	26a	76	76	3.0	0	0	3/4	4	1		I	A	I	V	I		I							M	0	0	0, 4, 1		0	0
28	27	28	27a	79	79	6.0	0	0	3/4	4	1		V43	A	I	V	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
30	29	30	29a	85	85	3.0	0	0	3/4	4	1		viio	A	I	V	viio		vii	o						o	0	0	5, 2, -1		5	5
31	30	31	30a	88	88	3.0	0	0	3/4	4	1		I	A	I	V	I		I							M	0	0	0, 4, 1		0	0
32	31	32	31a	91	91	6.0	0	0	3/4	4	1		V43]	A	I	V	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
34	33	34	33a	97	97	3.0	0	0	3/4	4	1		#viio7/vi	A	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
35	34	35	34a	100	100	3.0	0	0	3/4	4	1		vi	A	I		vi		vi							m	0	0	3, 0, 4		3	3
36	35	36	35a	103	103	3.0	0	0	3/4	4	1		iii64	A	I		iii64		iii		64					m	0	0	5, 4, 1		4	5
37	36	37	36a	106	106	3.0	0	0	3/4	4	1		iii.Ger6	A	iii		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
38	37	38	37a	109	109	3.0	0	0	3/4	4	1		V(64)	A	iii		V(64)		V			64				M	0	1	1, 0, -3		1	1
39	38	39	38a	112	112	3.0	0	0	3/4	4	1		V	A	iii		V		V							M	0	1	1, 5, 2		1	1
40	39	40	39a	115	115	3.0	0	0	3/4	4	1		i[i6	A	iii	i	i6		i		6					m	0	1	-3, 1, 0		0	-3
41	40	41	40a	118	118	3.0	0	0	3/4	4	1		i64	A	iii	i	i64		i		64					m	0	1	1, 0, -3		0	1
42	41	42	41a	121	121	2.0	0	0	3/4	4	1		#viio2	A	iii	i	#viio2		#vii	o	2					o7	0	1	-4, 5, 2, -1		5	-4
42	41	42	41a	123	123	1.0	1/2	1/2	3/4	4	1		V	A	iii	i	V		V							M	0	1	1, 5, 2		1	1
43	42	43	42a	124	124	3.0	0	0	3/4	4	1		V2	A	iii	i	V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
44	43	44	43a	127	127	3.0	0	0	3/4	4	1		i6	A	iii	i	i6		i		6					m	0	1	-3, 1, 0		0	-3
45	44	45	44a	130	130	1.0	0	0	3/4	4	1		i6]	A	iii	i	i6		i		6					m	0	1	-3, 1, 0		0	-3
45	44	45	44a	131	131	8.0	1/4	1/4	3/4	4	1		i	A	iii		i		i							m	0	1	0, -3, 1		0	0
48	47	48	47a	139	139	3.0	0	0	3/4	4	1		I.I	A	I		I		I							M	0	0	0, 4, 1		0	0
49	48	49	48a	142	142	3.0	0	0	3/4	4	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
50	49	50	49a	145	145	3.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
51	50	51	50a	148	148	1.0	0	0	3/4	4	1		V(6)	A	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
51	50	51	50a	149	149	2.0	1/4	1/4	3/4	4	1		V\\	A	I		V		V						\\	M	0	0	1, 5, 2		1	1
52	51	52	51a	151	151	3.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
53	52	53	52a	154	154	2.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
53	52	53	52a	156	156	1.0	1/2	1/2	3/4	4	1		vi	A	I		vi		vi							m	0	0	3, 0, 4		3	3
54	53	54	53a	157	157	3.0	0	0	3/4	4	1		viio/V	A	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
55	54	55	54a	160	160	2.0	0	0	3/4	4	1		V/V	A	I		V/V		V				V			M	0	0	2, 6, 3		2	2
55	54	55	54a	162	162	1.0	1/2	1/2	3/4	4	1		V2/V	A	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
56	55	56	55a	163	163	4.0	0	0	3/4	4	1		IV.ii	A	IV		ii		ii							m	0	0	2, -1, 3		2	2
57	56	57	56a	167	167	1.0	1/4	1/4	3/4	4	1		ii64	A	IV		ii64		ii		64					m	0	0	3, 2, -1		2	3
57	56	57	56a	168	168	1.0	1/2	1/2	3/4	4	1		ii6	A	IV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
58	57	58	57a	169	169	2.5	0	0	3/4	4	1		V(64)	A	IV		V(64)		V			64				M	0	0	1, 0, 4		1	1
58	57	58	57a	343/2	343/2	0.5	5/8	5/8	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
59	58	59	58a	172	172	3.0	0	0	3/4	4	1		I\\	A	IV		I		I						\\	M	0	0	0, 4, 1		0	0
60	59	60	59a	175	175	3.0	0	0	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
61	60	61	60a	178	178	2.0	0	0	3/4	4	1		I	A	IV		I		I							M	0	0	0, 4, 1		0	0
61	60	61	60a	180	180	1.0	1/2	1/2	3/4	4	1		I6	A	IV		I6		I		6					M	0	0	4, 1, 0		0	4
62	61	62	61a	181	181	2.0	0	0	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
62	61	62	61a	183	183	1.0	1/2	1/2	3/4	4	1		V2	A	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
63	62	63	62a	184	184	3.0	0	0	3/4	4	1		I6	A	IV		I6		I		6					M	0	0	4, 1, 0		0	4
64	63	64	63a	187	187	1.0	0	0	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
64	63	64	63a	188	188	1.0	1/4	1/4	3/4	4	1		V6	A	IV		V6		V		6					M	0	0	5, 2, 1		1	5
64	63	64	63a	189	189	1.0	1/2	1/2	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
65	64	65	64a	190	190	2.0	0	0	3/4	4	1		I	A	IV		I		I							M	0	0	0, 4, 1		0	0
65	64	65	64a	192	192	1.0	1/2	1/2	3/4	4	1		V(64)	A	IV		V(64)		V			64				M	0	0	1, 0, 4		1	1
66	65	66	65a	193	193	1.0	0	0	3/4	4	1		V(6)	A	IV		V(6)		V			6				M	0	0	1, 5, 4		1	1
66	65	66	65a	194	194	1.0	1/4	1/4	3/4	4	1		V7	A	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
66	65	66	65a	195	195	1.0	1/2	1/2	3/4	4	1		V2	A	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
67	66	67	66a	196	196	2.0	0	0	3/4	4	1		I6	A	IV		I6		I		6					M	0	0	4, 1, 0		0	4
67	66	67	66a	198	198	4.0	1/2	1/2	3/4	4	1		I	A	IV		I		I							M	0	0	0, 4, 1		0	0
69	68	69	68a	202	202	3.0	0	0	3/4	4	1		vi	A	IV		vi		vi							m	0	0	3, 0, 4		3	3
70	69	70	69a	205	205	2.0	0	0	3/4	4	1		I.V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
70	69	70	69a	207	207	1.0	1/2	1/2	3/4	4	1		V2	A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
71	70	71	70a	208	208	4.0	0	0	3/4	4	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
72	71	72	71a	212	212	1.0	1/4	1/4	3/4	4	1		IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
72	71	72	71a	213	213	1.0	1/2	1/2	3/4	4	1		vi2	A	I		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
73	72	73	72a	214	214	1.0	0	0	3/4	4	1		IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
73	72	73	72a	215	215	1.0	1/4	1/4	3/4	4	1		ii	A	I		ii		ii							m	0	0	2, -1, 3		2	2
73	72	73	72a	216	216	1.0	1/2	1/2	3/4	4	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
74	73	74	73a	217	217	3.0	0	0	3/4	4	1		I\\	A	I		I		I						\\	M	0	0	0, 4, 1		0	0
75	74	75	74a	220	220	3.0	0	0	3/4	4	1		V2	A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
76	75	76	75a	223	223	3.0	0	0	3/4	4	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
77	76	77	76a	226	226	1.0	0	0	3/4	4	1		V43	A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
77	76	77	76a	227	227	1.0	1/4	1/4	3/4	4	1		V65	A	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
77	76	77	76a	228	228	1.0	1/2	1/2	3/4	4	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
78	77	78	77a	229	229	3.0	0	0	3/4	4	1		I\\	A	I		I		I						\\	M	0	0	0, 4, 1		0	0
79	78	79	78a	232	232	3.0	0	0	3/4	4	1		V2	A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
80	79	80	79a	235	235	3.0	0	0	3/4	4	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
81	80	81	80a	238	238	1.5	0	0	3/4	4	1		ii7(4)	A	I		ii7(4)		ii		7	4				mm7	0	0	2, 1, 3, 0		2	2
81	80	81	80a	479/2	479/2	0.5	3/8	3/8	3/4	4	1		ii7	A	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
81	80	81	80a	240	240	1.0	1/2	1/2	3/4	4	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
82	81	82	81a	241	241	3.0	0	0	3/4	4	1	1	I\\	A	I		I		I						\\	M	0	0	0, 4, 1		0	0
26	25	83	25b	244	73	3.0	0	0	3/4	4	1		I.V[viio	A	I	V	viio		vii	o						o	0	0	5, 2, -1		5	5
27	26	84	26b	247	76	3.0	0	0	3/4	4	1		I	A	I	V	I		I							M	0	0	0, 4, 1		0	0
28	27	85	27b	250	79	6.0	0	0	3/4	4	1		V43	A	I	V	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
30	29	87	29b	256	85	3.0	0	0	3/4	4	1		viio	A	I	V	viio		vii	o						o	0	0	5, 2, -1		5	5
31	30	88	30b	259	88	3.0	0	0	3/4	4	1		I	A	I	V	I		I							M	0	0	0, 4, 1		0	0
32	31	89	31b	262	91	6.0	0	0	3/4	4	1		V43]	A	I	V	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
34	33	91	33b	268	97	3.0	0	0	3/4	4	1		#viio7/vi	A	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
35	34	92	34b	271	100	3.0	0	0	3/4	4	1		vi	A	I		vi		vi							m	0	0	3, 0, 4		3	3
36	35	93	35b	274	103	3.0	0	0	3/4	4	1		iii64	A	I		iii64		iii		64					m	0	0	5, 4, 1		4	5
37	36	94	36b	277	106	3.0	0	0	3/4	4	1		iii.Ger6	A	iii		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
38	37	95	37b	280	109	3.0	0	0	3/4	4	1		V(64)	A	iii		V(64)		V			64				M	0	1	1, 0, -3		1	1
39	38	96	38b	283	112	3.0	0	0	3/4	4	1		V	A	iii		V		V							M	0	1	1, 5, 2		1	1
40	39	97	39b	286	115	3.0	0	0	3/4	4	1		i[i6	A	iii	i	i6		i		6					m	0	1	-3, 1, 0		0	-3
41	40	98	40b	289	118	3.0	0	0	3/4	4	1		i64	A	iii	i	i64		i		64					m	0	1	1, 0, -3		0	1
42	41	99	41b	292	121	2.0	0	0	3/4	4	1		#viio2	A	iii	i	#viio2		#vii	o	2					o7	0	1	-4, 5, 2, -1		5	-4
42	41	99	41b	294	123	1.0	1/2	1/2	3/4	4	1		V	A	iii	i	V		V							M	0	1	1, 5, 2		1	1
43	42	100	42b	295	124	3.0	0	0	3/4	4	1		V2	A	iii	i	V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
44	43	101	43b	298	127	3.0	0	0	3/4	4	1		i6	A	iii	i	i6		i		6					m	0	1	-3, 1, 0		0	-3
45	44	102	44b	301	130	1.0	0	0	3/4	4	1		i6]	A	iii	i	i6		i		6					m	0	1	-3, 1, 0		0	-3
45	44	102	44b	302	131	8.0	1/4	1/4	3/4	4	1		i	A	iii		i		i							m	0	1	0, -3, 1		0	0
48	47	105	47b	310	139	3.0	0	0	3/4	4	1		I.I	A	I		I		I							M	0	0	0, 4, 1		0	0
49	48	106	48b	313	142	3.0	0	0	3/4	4	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
50	49	107	49b	316	145	3.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
51	50	108	50b	319	148	1.0	0	0	3/4	4	1		V(6)	A	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
51	50	108	50b	320	149	2.0	1/4	1/4	3/4	4	1		V\\	A	I		V		V						\\	M	0	0	1, 5, 2		1	1
52	51	109	51b	322	151	3.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
53	52	110	52b	325	154	2.0	0	0	3/4	4	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
53	52	110	52b	327	156	1.0	1/2	1/2	3/4	4	1		vi	A	I		vi		vi							m	0	0	3, 0, 4		3	3
54	53	111	53b	328	157	3.0	0	0	3/4	4	1		viio/V	A	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
55	54	112	54b	331	160	2.0	0	0	3/4	4	1		V/V	A	I		V/V		V				V			M	0	0	2, 6, 3		2	2
55	54	112	54b	333	162	1.0	1/2	1/2	3/4	4	1		V2/V	A	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
56	55	113	55b	334	163	4.0	0	0	3/4	4	1		IV.ii	A	IV		ii		ii							m	0	0	2, -1, 3		2	2
57	56	114	56b	338	167	1.0	1/4	1/4	3/4	4	1		ii64	A	IV		ii64		ii		64					m	0	0	3, 2, -1		2	3
57	56	114	56b	339	168	1.0	1/2	1/2	3/4	4	1		ii6	A	IV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
58	57	115	57b	340	169	2.5	0	0	3/4	4	1		V(64)	A	IV		V(64)		V			64				M	0	0	1, 0, 4		1	1
58	57	115	57b	685/2	343/2	0.5	5/8	5/8	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
59	58	116	58b	343	172	3.0	0	0	3/4	4	1		I\\	A	IV		I		I						\\	M	0	0	0, 4, 1		0	0
60	59	117	59b	346	175	3.0	0	0	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
61	60	118	60b	349	178	2.0	0	0	3/4	4	1		I	A	IV		I		I							M	0	0	0, 4, 1		0	0
61	60	118	60b	351	180	1.0	1/2	1/2	3/4	4	1		I6	A	IV		I6		I		6					M	0	0	4, 1, 0		0	4
62	61	119	61b	352	181	2.0	0	0	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
62	61	119	61b	354	183	1.0	1/2	1/2	3/4	4	1		V2	A	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
63	62	120	62b	355	184	3.0	0	0	3/4	4	1		I6	A	IV		I6		I		6					M	0	0	4, 1, 0		0	4
64	63	121	63b	358	187	1.0	0	0	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
64	63	121	63b	359	188	1.0	1/4	1/4	3/4	4	1		V6	A	IV		V6		V		6					M	0	0	5, 2, 1		1	5
64	63	121	63b	360	189	1.0	1/2	1/2	3/4	4	1		V	A	IV		V		V							M	0	0	1, 5, 2		1	1
65	64	122	64b	361	190	2.0	0	0	3/4	4	1		I	A	IV		I		I							M	0	0	0, 4, 1		0	0
65	64	122	64b	363	192	1.0	1/2	1/2	3/4	4	1		V(64)	A	IV		V(64)		V			64				M	0	0	1, 0, 4		1	1
66	65	123	65b	364	193	1.0	0	0	3/4	4	1		V(6)	A	IV		V(6)		V			6				M	0	0	1, 5, 4		1	1
66	65	123	65b	365	194	1.0	1/4	1/4	3/4	4	1		V7	A	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
66	65	123	65b	366	195	1.0	1/2	1/2	3/4	4	1		V2	A	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
67	66	124	66b	367	196	2.0	0	0	3/4	4	1		I6	A	IV		I6		I		6					M	0	0	4, 1, 0		0	4
67	66	124	66b	369	198	4.0	1/2	1/2	3/4	4	1		I	A	IV		I		I							M	0	0	0, 4, 1		0	0
