mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	6/8	4	1		a.i64	a	i		i64		i		64					m	1	1	1, 0, -3		0	1
2	2	2	2a	3	3	1.5	0	0	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
2	2	2	2a	9/2	9/2	1.5	3/8	3/8	6/8	4	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	3	3a	6	6	1.5	0	0	6/8	4	1		i64	a	i		i64		i		64					m	1	1	1, 0, -3		0	1
3	3	3	3a	15/2	15/2	1.5	3/8	3/8	6/8	4	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	4	4a	9	9	1.5	0	0	6/8	4	1		i64	a	i		i64		i		64					m	1	1	1, 0, -3		0	1
4	4	4	4a	21/2	21/2	1.5	3/8	3/8	6/8	4	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	5	5a	12	12	6.0	0	0	6/8	4	1	1	i\\	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
1	1	7	1b	18	0	3.0	0	0	6/8	4	1		a.i64	a	i		i64		i		64					m	1	1	1, 0, -3		0	1
2	2	8	2b	21	3	1.5	0	0	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
2	2	8	2b	45/2	9/2	1.5	3/8	3/8	6/8	4	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	9	3b	24	6	1.5	0	0	6/8	4	1		i64	a	i		i64		i		64					m	1	1	1, 0, -3		0	1
3	3	9	3b	51/2	15/2	1.5	3/8	3/8	6/8	4	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	10	4b	27	9	1.5	0	0	6/8	4	1		i64	a	i		i64		i		64					m	1	1	1, 0, -3		0	1
4	4	10	4b	57/2	21/2	1.5	3/8	3/8	6/8	4	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	11	5b	30	12	6.0	0	0	6/8	4	1	1	i\\	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
7	7	13	7a	36	18	6.0	0	0	6/8	4	1	1	i\\	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
9	9	15	9a	42	24	1.5	0	0	6/8	4	1		III	a	i		III		III							M	1	1	-3, 1, -2		-3	-3
9	9	15	9a	87/2	51/2	1.5	3/8	3/8	6/8	4	1		V7/VI	a	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
10	10	16	10a	45	27	0.5	0	0	6/8	4	1		VI(94)	a	i		VI(94)		VI			94				M	1	1	-4, 2, -3	-2	-4	-4
10	10	16	10a	91/2	55/2	1.0	1/8	1/8	6/8	4	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
10	10	16	10a	93/2	57/2	1.5	3/8	3/8	6/8	4	1		V7/iv	a	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
11	11	17	11a	48	30	0.5	0	0	6/8	4	1		iv(974)	a	i		iv(974)		iv			974				m	1	1	-1, -2, 0	1, -3	-1	-1
11	11	17	11a	97/2	61/2	1.0	1/8	1/8	6/8	4	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	11	17	11a	99/2	63/2	1.5	3/8	3/8	6/8	4	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
12	12	18	12a	51	33	1.5	0	0	6/8	4	1		V/iv	a	i		V/iv		V				iv			M	1	1	0, 4, 1		0	0
12	12	18	12a	105/2	69/2	1.5	3/8	3/8	6/8	4	1		V7/iv	a	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
13	13	19	13a	54	36	1.5	0	0	6/8	4	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	13	19	13a	111/2	75/2	1.5	3/8	3/8	6/8	4	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	20	14a	57	39	1.5	0	0	6/8	4	1		i\\	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
14	14	20	14a	117/2	81/2	1.0	3/8	3/8	6/8	4	1		viio2/V	a	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
14	14	20	14a	119/2	83/2	0.5	5/8	5/8	6/8	4	1		viio43/V	a	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
15	15	21	15a	60	42	1.5	0	0	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
15	15	21	15a	123/2	87/2	1.5	3/8	3/8	6/8	4	1		V7(+9)	a	i		V7(+9)		V		7	+9				Mm7	1	1	1, 5, 2, -1	-4	1	1
16	16	22	16a	63	45	1.5	0	0	6/8	4	1		i\\	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
16	16	22	16a	129/2	93/2	1.0	3/8	3/8	6/8	4	1		viio2/V	a	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
16	16	22	16a	131/2	95/2	0.5	5/8	5/8	6/8	4	1		viio43/V	a	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
17	17	23	17a	66	48	1.5	0	0	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
17	17	23	17a	135/2	99/2	1.0	3/8	3/8	6/8	4	1		viio2/V	a	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
17	17	23	17a	137/2	101/2	0.5	5/8	5/8	6/8	4	1		viio/V	a	i		viio/V		vii	o			V			o	1	1	6, 3, 0		6	6
18	18	24	18a	69	51	1.5	0	0	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
18	18	24	18a	141/2	105/2	1.0	3/8	3/8	6/8	4	1		#viio2	a	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
18	18	24	18a	143/2	107/2	0.5	5/8	5/8	6/8	4	1		#viio43	a	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
19	19	25	19a	72	54	1.0	0	0	6/8	4	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
19	19	25	19a	73	55	0.5	1/4	1/4	6/8	4	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
19	19	25	19a	147/2	111/2	1.0	3/8	3/8	6/8	4	1		iv7	a	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
19	19	25	19a	149/2	113/2	0.5	5/8	5/8	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
20	20	26	20a	75	57	2.5	0	0	6/8	4	1		#viio2	a	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
20	20	26	20a	155/2	119/2	0.5	5/8	5/8	6/8	4	1		#viio7	a	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
21	21	27	21a	78	60	1.0	0	0	6/8	4	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
21	21	27	21a	79	61	0.5	1/4	1/4	6/8	4	1		iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
21	21	27	21a	159/2	123/2	1.0	3/8	3/8	6/8	4	1		iv7	a	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
21	21	27	21a	161/2	125/2	0.5	5/8	5/8	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
22	22	28	22a	81	63	3.0	0	0	6/8	4	1	1	i\\	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
9	9	29	9b	84	24	1.5	0	0	6/8	4	1		III	a	i		III		III							M	1	1	-3, 1, -2		-3	-3
9	9	29	9b	171/2	51/2	1.5	3/8	3/8	6/8	4	1		V7/VI	a	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
10	10	30	10b	87	27	0.5	0	0	6/8	4	1		VI(94)	a	i		VI(94)		VI			94				M	1	1	-4, 2, -3	-2	-4	-4
10	10	30	10b	175/2	55/2	1.0	1/8	1/8	6/8	4	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
10	10	30	10b	177/2	57/2	1.5	3/8	3/8	6/8	4	1		V7/iv	a	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
11	11	31	11b	90	30	0.5	0	0	6/8	4	1		iv(974)	a	i		iv(974)		iv			974				m	1	1	-1, -2, 0	1, -3	-1	-1
11	11	31	11b	181/2	61/2	1.0	1/8	1/8	6/8	4	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	11	31	11b	183/2	63/2	1.5	3/8	3/8	6/8	4	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
12	12	32	12b	93	33	1.5	0	0	6/8	4	1		V/iv	a	i		V/iv		V				iv			M	1	1	0, 4, 1		0	0
12	12	32	12b	189/2	69/2	1.5	3/8	3/8	6/8	4	1		V7/iv	a	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
13	13	33	13b	96	36	1.5	0	0	6/8	4	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	13	33	13b	195/2	75/2	1.5	3/8	3/8	6/8	4	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	34	14b	99	39	1.5	0	0	6/8	4	1		i\\	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
14	14	34	14b	201/2	81/2	1.0	3/8	3/8	6/8	4	1		viio2/V	a	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
14	14	34	14b	203/2	83/2	0.5	5/8	5/8	6/8	4	1		viio43/V	a	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
15	15	35	15b	102	42	1.5	0	0	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
15	15	35	15b	207/2	87/2	1.5	3/8	3/8	6/8	4	1		V7(+9)	a	i		V7(+9)		V		7	+9				Mm7	1	1	1, 5, 2, -1	-4	1	1
16	16	36	16b	105	45	1.5	0	0	6/8	4	1		i\\	a	i		i		i						\\	m	1	1	0, -3, 1		0	0
16	16	36	16b	213/2	93/2	1.0	3/8	3/8	6/8	4	1		viio2/V	a	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
16	16	36	16b	215/2	95/2	0.5	5/8	5/8	6/8	4	1		viio43/V	a	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
17	17	37	17b	108	48	1.5	0	0	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
17	17	37	17b	219/2	99/2	1.0	3/8	3/8	6/8	4	1		viio2/V	a	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
17	17	37	17b	221/2	101/2	0.5	5/8	5/8	6/8	4	1		viio/V	a	i		viio/V		vii	o			V			o	1	1	6, 3, 0		6	6
18	18	38	18b	111	51	1.5	0	0	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
18	18	38	18b	225/2	105/2	1.0	3/8	3/8	6/8	4	1		#viio2	a	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
18	18	38	18b	227/2	107/2	0.5	5/8	5/8	6/8	4	1		#viio43	a	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
19	19	39	19b	114	54	1.0	0	0	6/8	4	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
19	19	39	19b	115	55	0.5	1/4	1/4	6/8	4	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
19	19	39	19b	231/2	111/2	1.0	3/8	3/8	6/8	4	1		iv7	a	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
19	19	39	19b	233/2	113/2	0.5	5/8	5/8	6/8	4	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
20	20	40	20b	117	57	2.5	0	0	6/8	4	1		#viio2	a	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
20	20	40	20b	239/2	119/2	0.5	5/8	5/8	6/8	4	1		#viio7	a	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
21	21	41	21b	120	60	1.0	0	0	6/8	4	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
21	21	41	21b	121	61	0.5	1/4	1/4	6/8	4	1		iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
