mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	1.0	0	3/8	3/4	4	1		Bb.I64	Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
1	0	1	0a	1	1	0.5	1/4	5/8	3/4	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	1	2	1a	3/2	3/2	0.5	0	0	3/4	4	1		I(94)	Bb	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
2	1	2	1a	2	2	1.0	1/8	1/8	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	2	1a	3	3	1.5	3/8	3/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	3	2a	9/2	9/2	0.5	0	0	3/4	4	1		I(94)	Bb	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
3	2	3	2a	5	5	1.0	1/8	1/8	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	2a	6	6	0.5	3/8	3/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	3	2a	13/2	13/2	0.5	1/2	1/2	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	2a	7	7	0.5	5/8	5/8	3/4	4	1		V6	Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	3	4	3a	15/2	15/2	0.5	0	0	3/4	4	1		I(9)	Bb	I		I(9)		I			9				M	0	0	0, 4, 1	2	0	0
4	3	4	3a	8	8	1.0	1/8	1/8	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	4	3a	9	9	0.5	3/8	3/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	4	3a	19/2	19/2	0.5	1/2	1/2	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	4	3a	10	10	0.5	5/8	5/8	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
5	4	5	4a	21/2	21/2	1.5	0	0	3/4	4	1		V\\	Bb	I		V		V						\\	M	0	0	1, 5, 2		1	1
5	4	5	4a	12	12	1.0	3/8	3/8	3/4	4	1		vii%7	Bb	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
5	4	5	4a	13	13	0.5	5/8	5/8	3/4	4	1		#viio/ii	Bb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
6	5	6	5a	27/2	27/2	0.5	0	0	3/4	4	1		ii(94)	Bb	I		ii(94)		ii			94				m	0	0	2, 1, 3	4	2	2
6	5	6	5a	14	14	1.0	1/8	1/8	3/4	4	1		ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
6	5	6	5a	15	15	1.0	3/8	3/8	3/4	4	1		#viio7/vi	Bb	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
6	5	6	5a	16	16	0.5	5/8	5/8	3/4	4	1		vi	Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
7	6	7	6a	33/2	33/2	0.5	0	0	3/4	4	1		ii6(2)	Bb	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
7	6	7	6a	17	17	1.0	1/8	1/8	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	6	7	6a	18	18	1.0	3/8	3/8	3/4	4	1		ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
7	6	7	6a	19	19	0.5	5/8	5/8	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	8	7a	39/2	39/2	2.5	0	0	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	8	7a	22	22	0.5	5/8	5/8	3/4	4	1		V7(4)	Bb	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
9	8	9	8a	45/2	45/2	1.5	0	0	3/4	4	1		I\\	Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
1	0	10	8a	24	0	1.0	0	3/8	3/4	4	1		Bb.I64	Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
1	0	10	8a	25	1	0.5	1/4	5/8	3/4	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	1	11	1b	51/2	3/2	0.5	0	0	3/4	4	1		I(94)	Bb	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
2	1	11	1b	26	2	1.0	1/8	1/8	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	11	1b	27	3	1.5	3/8	3/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	12	2b	57/2	9/2	0.5	0	0	3/4	4	1		I(94)	Bb	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
3	2	12	2b	29	5	1.0	1/8	1/8	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	12	2b	30	6	0.5	3/8	3/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	12	2b	61/2	13/2	0.5	1/2	1/2	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	12	2b	31	7	0.5	5/8	5/8	3/4	4	1		V6	Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	3	13	3b	63/2	15/2	0.5	0	0	3/4	4	1		I(9)	Bb	I		I(9)		I			9				M	0	0	0, 4, 1	2	0	0
4	3	13	3b	32	8	1.0	1/8	1/8	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	13	3b	33	9	0.5	3/8	3/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	13	3b	67/2	19/2	0.5	1/2	1/2	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	13	3b	34	10	0.5	5/8	5/8	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
5	4	14	4b	69/2	21/2	1.5	0	0	3/4	4	1		V\\	Bb	I		V		V						\\	M	0	0	1, 5, 2		1	1
5	4	14	4b	36	12	1.0	3/8	3/8	3/4	4	1		vii%7	Bb	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
5	4	14	4b	37	13	0.5	5/8	5/8	3/4	4	1		#viio/ii	Bb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
6	5	15	5b	75/2	27/2	0.5	0	0	3/4	4	1		ii(94)	Bb	I		ii(94)		ii			94				m	0	0	2, 1, 3	4	2	2
6	5	15	5b	38	14	1.0	1/8	1/8	3/4	4	1		ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
6	5	15	5b	39	15	1.0	3/8	3/8	3/4	4	1		#viio7/vi	Bb	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
6	5	15	5b	40	16	0.5	5/8	5/8	3/4	4	1		vi	Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
7	6	16	6b	81/2	33/2	0.5	0	0	3/4	4	1		ii6(2)	Bb	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
7	6	16	6b	41	17	1.0	1/8	1/8	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	6	16	6b	42	18	1.0	3/8	3/8	3/4	4	1		ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
7	6	16	6b	43	19	0.5	5/8	5/8	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	17	7b	87/2	39/2	2.5	0	0	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	17	7b	46	22	0.5	5/8	5/8	3/4	4	1		V7(4)	Bb	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
9	8	18	8b	93/2	45/2	1.5	0	0	3/4	4	1		I\\	Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
10	8	19	8b	48	24	0.5	0	3/8	3/4	4	1		V6/vi	Bb	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
10	8	19	8b	97/2	49/2	0.5	1/8	1/2	3/4	4	1		vi	Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
10	8	19	8b	49	25	0.5	1/4	5/8	3/4	4	1		#viio43/iii	Bb	I		#viio43/iii		#vii	o	43		iii			o7	0	0	3, 0, 9, 6		9	3
11	9	20	9a	99/2	51/2	2.5	0	0	3/4	4	1		V6/vi	Bb	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
