mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	1.0	0	1/2	6/8	4	1		D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
2	1	2	1a	1	1	3.5	0	0	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	2a	9/2	9/2	2.5	1/8	1/8	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
4	3	4	3a	7	7	3.0	0	0	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
5	4	5	4a	10	10	2.0	0	0	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	5	4a	12	12	4.0	1/2	1/2	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
7	6	7	6a	16	16	3.0	0	0	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
8	7	8	7a	19	19	3.0	0	0	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
9	8	9	8a	22	22	4.5	0	0	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
10	9	10	9a	53/2	53/2	3.0	3/8	3/8	6/8	4	1		#viio7/ii	D	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
11	10	11	10a	59/2	59/2	0.5	3/8	3/8	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
11	10	11	10a	30	30	2.5	1/2	1/2	6/8	4	1		v	D	I		v		v							m	0	0	1, -2, 2		1	1
12	11	12	11a	65/2	65/2	1.5	3/8	3/8	6/8	4	1		bVII6	D	I		bVII6		bVII		6					M	0	0	2, -1, -2		-2	2
13	12	13	12a	34	34	1.5	0	0	6/8	4	1		vii%7/IV	D	I		vii%7/IV		vii	%	7		IV			%7	0	0	4, 1, -2, 2		4	4
13	12	13	12a	71/2	71/2	0.5	3/8	3/8	6/8	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
13	12	13	12a	36	36	2.5	1/2	1/2	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
14	13	14	13a	77/2	77/2	1.5	3/8	3/8	6/8	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
15	14	15	14a	40	40	1.5	0	0	6/8	4	1		vii%7	D	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
15	14	15	14a	83/2	83/2	1.5	3/8	3/8	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
16	15	16	15a	43	43	1.0	0	0	6/8	4	1		IV(#72)	D	I		IV(#72)		IV			#72				M	0	0	1, 3, 0	11	-1	1
16	15	16	15a	44	44	0.5	1/4	1/4	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
