mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
85	85	109	85a	162	126	0.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
85	85	109	85a	325/2	253/2	0.5	1/8	1/8	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
85	85	109	85a	163	127	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
86	86	110	86a	327/2	255/2	0.5	0	0	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
86	86	110	86a	164	128	0.5	1/8	1/8	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
86	86	110	86a	329/2	257/2	0.5	1/4	1/4	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
87	87	111	87a	165	129	0.5	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
87	87	111	87a	331/2	259/2	0.5	1/8	1/8	3/8	4	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
87	87	111	87a	166	130	1.0	1/4	1/4	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
88	88	112	88a	167	131	1.0	1/8	1/8	3/8	4	1	I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
89	89	113	89a	168	132	1.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
90	90	114	90a	339/2	267/2	1.5	0	0	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
91	91	115	91a	171	135	0.5	0	0	3/8	4	1	ii6(2)	G	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
91	91	115	91a	343/2	271/2	1.0	1/8	1/8	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
92	92	116	92a	345/2	273/2	0.75	0	0	3/8	4	1	V7(4)	G	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
92	92	116	92a	693/4	549/4	0.75	3/16	3/16	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
93	93	117	93a	174	138	1.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
94	94	118	94a	351/2	279/2	1.5	0	0	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
95	95	119	95a	177	141	1.0	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
95	95	119	95a	178	142	1.5	1/4	1/4	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
96	96	120	96a	359/2	287/2	0.5	1/4	1/4	3/8	4	1	I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
97	97	121	97a	180	144	0.5	0	0	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
97	97	121	97a	361/2	289/2	0.5	1/8	1/8	3/8	4	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
97	97	121	97a	181	145	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
98	98	122	98a	363/2	291/2	1.5	0	0	3/8	4	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
99	99	123	99a	183	147	0.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
99	99	123	99a	367/2	295/2	0.5	1/8	1/8	3/8	4	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
99	99	123	99a	184	148	0.5	1/4	1/4	3/8	4	1	V43/V	G	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
100	100	124	100a	369/2	297/2	0.5	0	0	3/8	4	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
100	100	124	100a	185	149	0.5	1/8	1/8	3/8	4	1	V65/V	G	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
100	100	124	100a	371/2	299/2	0.5	1/4	1/4	3/8	4	1	V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
101	101	125	101a	186	150	0.5	0	0	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
101	101	125	101a	373/2	301/2	0.5	1/8	1/8	3/8	4	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
101	101	125	101a	187	151	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
102	102	126	102a	375/2	303/2	1.5	0	0	3/8	4	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
103	103	127	103a	189	153	0.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
103	103	127	103a	379/2	307/2	0.5	1/8	1/8	3/8	4	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
103	103	127	103a	190	154	0.5	1/4	1/4	3/8	4	1	viio6(9)/V	G	I		viio6(9)/V	vii	o	6	9	V			o	0	0	3, 0, 6	1	6	3
104	104	128	104a	381/2	309/2	0.5	0	0	3/8	4	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
104	104	128	104a	191	155	0.5	1/8	1/8	3/8	4	1	V65/V	G	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
