mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	2/2	4	1		bb.i	bb	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1	1a	2	2	2.0	1/2	1/2	2/2	4	1		iv7	bb	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	2	2a	4	4	2.0	0	0	2/2	4	1		VII(9)	bb	i		VII(9)	VII			9				M	1	1	-2, 2, -1	0	-2	-2
2	2	2	2a	6	6	2.0	1/2	1/2	2/2	4	1		III7	bb	i		III7	III		7					Mm7	1	1	-3, 1, -2, -5		-3	-3
3	3	3	3a	8	8	2.0	0	0	2/2	4	1		VI(9)	bb	i		VI(9)	VI			9				M	1	1	-4, 0, -3	-2	-4	-4
3	3	3	3a	10	10	2.0	1/2	1/2	2/2	4	1		iv6	bb	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	4	4a	12	12	4.0	0	0	2/2	4	1		V\\	bb	i		V	V						\\	M	1	1	1, 5, 2		1	1
5	5	5	5a	16	16	2.0	0	0	2/2	4	1		i	bb	i		i	i							m	1	1	0, -3, 1		0	0
5	5	5	5a	18	18	2.0	1/2	1/2	2/2	4	1		iv7	bb	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
6	6	6	6a	20	20	2.0	0	0	2/2	4	1		VII(9)	bb	i		VII(9)	VII			9				M	1	1	-2, 2, -1	0	-2	-2
6	6	6	6a	22	22	2.0	1/2	1/2	2/2	4	1		III7	bb	i		III7	III		7					Mm7	1	1	-3, 1, -2, -5		-3	-3
7	7	7	7a	24	24	1.0	0	0	2/2	4	1		VIM7	bb	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
7	7	7	7a	25	25	1.0	1/4	1/4	2/2	4	1		iv65	bb	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
7	7	7	7a	26	26	1.0	1/2	1/2	2/2	4	1		V7	bb	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	7	7a	27	27	1.0	3/4	3/4	2/2	4	1		V	bb	i		V	V							M	1	1	1, 5, 2		1	1
8	8	8	8a	28	28	4.0	0	0	2/2	4	1		i\\	bb	i		i	i						\\	m	1	1	0, -3, 1		0	0
1	1	9	1b	32	0	2.0	0	0	2/2	4	1		bb.i	bb	i		i	i							m	1	1	0, -3, 1		0	0
1	1	9	1b	34	2	2.0	1/2	1/2	2/2	4	1		iv7	bb	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	10	2b	36	4	2.0	0	0	2/2	4	1		VII(9)	bb	i		VII(9)	VII			9				M	1	1	-2, 2, -1	0	-2	-2
2	2	10	2b	38	6	2.0	1/2	1/2	2/2	4	1		III7	bb	i		III7	III		7					Mm7	1	1	-3, 1, -2, -5		-3	-3
3	3	11	3b	40	8	2.0	0	0	2/2	4	1		VI(9)	bb	i		VI(9)	VI			9				M	1	1	-4, 0, -3	-2	-4	-4
