mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	9.5	0	3/8	3/4	4	1		c.i		c	i		i	i							m	1	1	0, -3, 1		0	0
4	3	4	3a	19/2	19/2	1.0	1/2	1/2	3/4	4	1		viio64/V		c	i		viio64/V	vii	o	64		V			o	1	1	0, 6, 3		6	0
5	4	5	4a	21/2	21/2	10.0	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
8	7	8	7a	41/2	41/2	3.5	1/4	1/4	3/4	4	1		@none		c	i		@none	@none							m	1	1				
1	0	10	8a	24	0	9.5	0	3/8	3/4	4	1		c.i		c	i		i	i							m	1	1	0, -3, 1		0	0
4	3	13	3b	67/2	19/2	1.0	1/2	1/2	3/4	4	1		viio64/V		c	i		viio64/V	vii	o	64		V			o	1	1	0, 6, 3		6	0
5	4	14	4b	69/2	21/2	10.0	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
8	7	17	7b	89/2	41/2	3.5	1/4	1/4	3/4	4	1		@none		c	i		@none	@none							m	1	1				
10	8	19	8b	48	24	1.5	0	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
11	9	20	9a	99/2	51/2	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
11	9	20	9a	51	27	1.5	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	10	21	10a	105/2	57/2	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
12	10	21	10a	54	30	1.5	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
13	11	22	11a	111/2	63/2	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
13	11	22	11a	57	33	1.5	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
14	12	23	12a	117/2	69/2	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
14	12	23	12a	60	36	1.5	3/8	3/8	3/4	4	1		iv.VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
15	13	24	13a	123/2	75/2	1.5	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
15	13	24	13a	63	39	1.5	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
16	14	25	14a	129/2	81/2	1.5	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
16	14	25	14a	66	42	1.5	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
17	15	26	15a	135/2	87/2	1.5	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
17	15	26	15a	69	45	1.5	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
18	16	27	16a	141/2	93/2	3.0	0	0	3/4	4	1		bII.V6		c	bII		V6	V		6					M	1	0	5, 2, 1		1	5
19	17	28	17a	147/2	99/2	6.0	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
21	19	30	19a	159/2	111/2	6.0	0	0	3/4	4	1		IV		c	bII		IV	IV							M	1	0	-1, 3, 0		-1	-1
23	21	32	21a	171/2	123/2	6.0	0	0	3/4	4	1		V7		c	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
25	23	34	23a	183/2	135/2	3.0	0	0	3/4	4	1		I\\		c	bII		I	I						\\	M	1	0	0, 4, 1		0	0
26	24	35	24a	189/2	141/2	9.0	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
29	27	38	27a	207/2	159/2	3.0	0	0	3/4	4	1		iv.ii%65		c	iv		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
