mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	1.0	0	0	3/4	4	1		f.viio7/V	f	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
1	1	1	1a	1	1	1.0	1/4	1/4	3/4	4	1		i64	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
1	1	1	1a	2	2	5.0	1/2	1/2	3/4	4	1		viio65/V	f	i		viio65/V	vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	4	1		v6	f	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
3	3	3	3a	8	8	5.0	1/2	1/2	3/4	4	1		viio43/V	f	i		viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
5	5	5	5a	13	13	2.0	1/4	1/4	3/4	4	1		v.V65	f	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
6	6	6	6a	15	15	1.0	0	0	3/4	4	1		i	f	v		i	i							m	1	1	0, -3, 1		0	0
6	6	6	6a	16	16	1.5	1/4	1/4	3/4	4	1		i(9)	f	v		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
6	6	6	6a	35/2	35/2	0.5	5/8	5/8	3/4	4	1		i	f	v		i	i							m	1	1	0, -3, 1		0	0
7	7	7	7a	18	18	0.75	0	0	3/4	4	1		iv(4)	f	v		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
7	7	7	7a	75/4	75/4	0.25	3/16	3/16	3/4	4	1		iv	f	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	7	7a	19	19	0.75	1/4	1/4	3/4	4	1		iv(9)	f	v		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
7	7	7	7a	79/4	79/4	0.25	7/16	7/16	3/4	4	1		iv	f	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
