mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.75	0	0	4/4	4	1	A.I	A	I		I	I							M	0	0	0, 4, 1		0	0
1	1	1	1a	11/4	11/4	0.25	11/16	11/16	4/4	4	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
1	1	1	1a	3	3	0.75	3/4	3/4	4/4	4	1	viio6	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
1	1	1	1a	15/4	15/4	0.25	15/16	15/16	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
2	2	2	2a	4	4	1.0	0	0	4/4	4	1	V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	2	2	2a	5	5	3.0	1/4	1/4	4/4	4	1	I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
3	3	3	3a	8	8	1.0	0	0	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
3	3	3	3a	9	9	1.75	1/4	1/4	4/4	4	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	3	3a	43/4	43/4	0.25	11/16	11/16	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
3	3	3	3a	11	11	0.75	3/4	3/4	4/4	4	1	IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
3	3	3	3a	47/4	47/4	0.25	15/16	15/16	4/4	4	1	IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	4	4a	12	12	1.0	0	0	4/4	4	1	V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	4	1	V\\	A	I		V	V						\\	M	0	0	1, 5, 2		1	1
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	4	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	5	5a	16	16	3.0	0	0	4/4	4	1	V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	5	5a	19	19	1.0	3/4	3/4	4/4	4	1	V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	6	6	6a	20	20	1.0	0	0	4/4	4	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	6	6a	21	21	2.0	1/4	1/4	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
6	6	6	6a	23	23	1.0	3/4	3/4	4/4	4	1	V.ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
7	7	7	7a	24	24	1.5	0	0	4/4	4	1	V7(4)	A	V		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
7	7	7	7a	51/2	51/2	0.5	3/8	3/8	4/4	4	1	V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	7	7a	26	26	0.5	1/2	1/2	4/4	4	1	V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	7	7a	53/2	53/2	0.5	5/8	5/8	4/4	4	1	V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	7	7a	27	27	0.75	3/4	3/4	4/4	4	1	vi7	A	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
7	7	7	7a	111/4	111/4	0.25	15/16	15/16	4/4	4	1	viio64	A	V		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
8	8	8	8a	28	28	1.0	0	0	4/4	4	1	I	A	V		I	I							M	0	0	0, 4, 1		0	0
8	8	8	8a	29	29	1.0	1/4	1/4	4/4	4	1	V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	8	8a	30	30	2.0	1/2	1/2	4/4	4	1	I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
1	1	9	1b	32	0	2.75	0	0	4/4	4	1	A.I	A	I		I	I							M	0	0	0, 4, 1		0	0
1	1	9	1b	139/4	11/4	0.25	11/16	11/16	4/4	4	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
1	1	9	1b	35	3	0.75	3/4	3/4	4/4	4	1	viio6	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
1	1	9	1b	143/4	15/4	0.25	15/16	15/16	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
2	2	10	2b	36	4	1.0	0	0	4/4	4	1	V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	2	10	2b	37	5	3.0	1/4	1/4	4/4	4	1	I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
3	3	11	3b	40	8	1.0	0	0	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
3	3	11	3b	41	9	1.75	1/4	1/4	4/4	4	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	11	3b	171/4	43/4	0.25	11/16	11/16	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
3	3	11	3b	43	11	0.75	3/4	3/4	4/4	4	1	IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
3	3	11	3b	175/4	47/4	0.25	15/16	15/16	4/4	4	1	IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	12	4b	44	12	1.0	0	0	4/4	4	1	V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	12	4b	45	13	1.0	1/4	1/4	4/4	4	1	V\\	A	I		V	V						\\	M	0	0	1, 5, 2		1	1
4	4	12	4b	46	14	2.0	1/2	1/2	4/4	4	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	13	5b	48	16	3.0	0	0	4/4	4	1	V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	13	5b	51	19	1.0	3/4	3/4	4/4	4	1	V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	6	14	6b	52	20	1.0	0	0	4/4	4	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	14	6b	53	21	2.0	1/4	1/4	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
6	6	14	6b	55	23	1.0	3/4	3/4	4/4	4	1	V.ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
7	7	15	7b	56	24	1.5	0	0	4/4	4	1	V7(4)	A	V		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
7	7	15	7b	115/2	51/2	0.5	3/8	3/8	4/4	4	1	V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	15	7b	58	26	0.5	1/2	1/2	4/4	4	1	V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	15	7b	117/2	53/2	0.5	5/8	5/8	4/4	4	1	V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	15	7b	59	27	0.75	3/4	3/4	4/4	4	1	vi7	A	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
7	7	15	7b	239/4	111/4	0.25	15/16	15/16	4/4	4	1	viio64	A	V		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
8	8	16	8b	60	28	1.0	0	0	4/4	4	1	I	A	V		I	I							M	0	0	0, 4, 1		0	0
8	8	16	8b	61	29	1.0	1/4	1/4	4/4	4	1	V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	16	8b	62	30	2.0	1/2	1/2	4/4	4	1	I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
9	9	17	9a	64	32	2.0	0	0	4/4	4	1	I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	17	9a	66	34	1.0	1/2	1/2	4/4	4	1	I	A	V		I	I							M	0	0	0, 4, 1		0	0
9	9	17	9a	67	35	0.75	3/4	3/4	4/4	4	1	V	A	V		V	V							M	0	0	1, 5, 2		1	1
9	9	17	9a	271/4	143/4	0.25	15/16	15/16	4/4	4	1	IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	18	10a	68	36	1.0	0	0	4/4	4	1	I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	18	10a	69	37	1.0	1/4	1/4	4/4	4	1	viio64	A	V		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
10	10	18	10a	70	38	0.5	1/2	1/2	4/4	4	1	V	A	V		V	V							M	0	0	1, 5, 2		1	1
10	10	18	10a	141/2	77/2	1.25	5/8	5/8	4/4	4	1	@none	A	V		@none	@none							m	0	0				
10	10	18	10a	287/4	159/4	0.25	15/16	15/16	4/4	4	1	I.V	A	I		V	V							M	0	0	1, 5, 2		1	1
11	11	19	11a	72	40	1.0	0	0	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
11	11	19	11a	73	41	0.5	1/4	1/4	4/4	4	1	V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
11	11	19	11a	147/2	83/2	0.5	3/8	3/8	4/4	4	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	19	11a	74	42	0.5	1/2	1/2	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
11	11	19	11a	149/2	85/2	1.5	5/8	5/8	4/4	4	1	I(64)	A	I		I(64)	I			64				M	0	0	0, -1, 3		0	0
12	12	20	12a	76	44	1.5	0	0	4/4	4	1	iii	A	I		iii	iii							m	0	0	4, 1, 5		4	4
12	12	20	12a	155/2	91/2	0.5	3/8	3/8	4/4	4	1	V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	12	20	12a	78	46	0.5	1/2	1/2	4/4	4	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
