mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	1.5	0	0	3/8	4	1	C.V	C	I		V	V							M	0	0	1, 5, 2		1	1
2	2	2	2a	3/2	3/2	3.0	0	0	3/8	4	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
4	4	4	4a	9/2	9/2	1.5	0	0	3/8	4	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	5	5a	6	6	1.0	0	0	3/8	4	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
5	5	5	5a	7	7	0.5	1/4	1/4	3/8	4	1	vi6	C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
6	6	6	6a	15/2	15/2	1.0	0	0	3/8	4	1	V.V	C	V		V	V							M	0	0	1, 5, 2		1	1
6	6	6	6a	17/2	17/2	0.5	1/4	1/4	3/8	4	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	7	7a	9	9	1.5	0	0	3/8	4	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
8	8	8	8a	21/2	21/2	0.5	0	0	3/8	4	1	IV6	C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
8	8	8	8a	11	11	0.5	1/8	1/8	3/8	4	1	IV	C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	8	8a	23/2	23/2	0.5	1/4	1/4	3/8	4	1	ii	C	V		ii	ii							m	0	0	2, -1, 3		2	2
9	9	9	9a	12	12	1.0	0	0	3/8	4	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
9	9	9	9a	13	13	0.5	1/4	1/4	3/8	4	1	V	C	V		V	V							M	0	0	1, 5, 2		1	1
10	10	10	10a	27/2	27/2	0.5	0	0	3/8	4	1	I64	C	V		I64	I		64					M	0	0	1, 0, 4		0	1
10	10	10	10a	14	14	0.5	1/8	1/8	3/8	4	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	10	10a	29/2	29/2	0.5	1/4	1/4	3/8	4	1	V2/IV	C	V		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
11	11	11	11a	15	15	0.5	0	0	3/8	4	1	IV6	C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
11	11	11	11a	31/2	31/2	1.0	1/8	1/8	3/8	4	1	I.ii7	C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
12	12	12	12a	33/2	33/2	0.5	0	0	3/8	4	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	12	12a	17	17	1.0	1/8	1/8	3/8	4	1	IV6	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
13	13	13	13a	18	18	1.5	0	0	3/8	4	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	14	14a	39/2	39/2	1.0	0	0	3/8	4	1	I\\	C	I		I	I						\\	M	0	0	0, 4, 1		0	0
14	14	14	14a	41/2	41/2	0.5	1/4	1/4	3/8	4	1	V2/IV	C	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
15	15	15	15a	21	21	1.5	0	0	3/8	4	1	V7/ii	C	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
16	16	16	16a	45/2	45/2	1.0	0	0	3/8	4	1	ii	C	I		ii	ii							m	0	0	2, -1, 3		2	2
16	16	16	16a	47/2	47/2	0.5	1/4	1/4	3/8	4	1	bVII6	C	I		bVII6	bVII		6					M	0	0	2, -1, -2		-2	2
17	17	17	17a	24	24	1.5	0	0	3/8	4	1	V7/IV	C	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
18	18	18	18a	51/2	51/2	2.0	0	0	3/8	4	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	19	19a	55/2	55/2	0.5	1/8	1/8	3/8	4	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
19	19	19	19a	28	28	0.5	1/4	1/4	3/8	4	1	V65/V	C	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
20	20	20	20a	57/2	57/2	1.5	0	0	3/8	4	1	V[V	C	I	V	V	V							M	0	0	1, 5, 2		1	1
21	21	21	21a	30	30	1.5	0	0	3/8	4	1	V(64)	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
22	22	22	22a	63/2	63/2	1.5	0	0	3/8	4	1	V7	C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	23	23	23a	33	33	1.5	0	0	3/8	4	1	V(64)	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
24	24	24	24a	69/2	69/2	1.5	0	0	3/8	4	1	V7	C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	25	25a	36	36	1.5	0	0	3/8	4	1	V(64)	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
26	26	26	26a	75/2	75/2	1.5	0	0	3/8	4	1	V7	C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
27	27	27	27a	39	39	1.5	0	0	3/8	4	1	V(64)	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
28	28	28	28a	81/2	81/2	1.0	0	0	3/8	4	1	V	C	I	V	V	V							M	0	0	1, 5, 2		1	1
28	28	28	28a	83/2	83/2	0.5	1/4	1/4	3/8	4	1	V(64)	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
29	29	29	29a	42	42	1.0	0	0	3/8	4	1	V	C	I	V	V	V							M	0	0	1, 5, 2		1	1
29	29	29	29a	43	43	0.5	1/4	1/4	3/8	4	1	V(64)	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
30	30	30	30a	87/2	87/2	0.5	0	0	3/8	4	1	V	C	I	V	V	V							M	0	0	1, 5, 2		1	1
30	30	30	30a	44	44	0.5	1/8	1/8	3/8	4	1	V(64)	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
30	30	30	30a	89/2	89/2	0.5	1/4	1/4	3/8	4	1	V	C	I	V	V	V							M	0	0	1, 5, 2		1	1
31	31	31	31a	45	45	0.5	0	0	3/8	4	1	V(64)	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
31	31	31	31a	91/2	91/2	0.5	1/8	1/8	3/8	4	1	V	C	I	V	V	V							M	0	0	1, 5, 2		1	1
31	31	31	31a	46	46	0.5	1/4	1/4	3/8	4	1	V(64)	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
32	32	32	32a	93/2	93/2	3.0	0	0	3/8	4	1	V]	C	I	V	V	V							M	0	0	1, 5, 2		1	1
34	34	34	34a	99/2	99/2	1.5	0	0	3/8	4	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
35	35	35	35a	51	51	1.5	0	0	3/8	4	1	vi	C	I		vi	vi							m	0	0	3, 0, 4		3	3
36	36	36	36a	105/2	105/2	1.5	0	0	3/8	4	1	viio/V	C	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
37	37	37	37a	54	54	1.0	0	0	3/8	4	1	V/V	C	I		V/V	V				V			M	0	0	2, 6, 3		2	2
37	37	37	37a	55	55	0.5	1/4	1/4	3/8	4	1	V.V	C	V		V	V							M	0	0	1, 5, 2		1	1
38	38	38	38a	111/2	111/2	0.5	0	0	3/8	4	1	V(64)	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
38	38	38	38a	56	56	0.5	1/8	1/8	3/8	4	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
38	38	38	38a	113/2	113/2	0.5	1/4	1/4	3/8	4	1	V(64)	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
39	39	39	39a	57	57	1.5	0	0	3/8	4	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
40	40	40	40a	117/2	117/2	0.5	0	0	3/8	4	1	V(64)	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
40	40	40	40a	59	59	0.5	1/8	1/8	3/8	4	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
40	40	40	40a	119/2	119/2	0.5	1/4	1/4	3/8	4	1	V(64)	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
41	41	41	41a	60	60	3.0	0	0	3/8	4	1	V7\\	C	V		V7	V		7				\\	Mm7	0	0	1, 5, 2, -1		1	1
43	43	43	43a	63	63	1.5	0	0	3/8	4	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
44	44	44	44a	129/2	129/2	1.5	0	0	3/8	4	1	VI	C	V		VI	VI							M	0	0	3, 7, 4		3	3
45	45	45	45a	66	66	1.5	0	0	3/8	4	1	II	C	V		II	II							M	0	0	2, 6, 3		2	2
46	46	46	46a	135/2	135/2	1.0	0	0	3/8	4	1	V	C	V		V	V							M	0	0	1, 5, 2		1	1
