mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	2/4	4	1	Bb.I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	2	2a	3	3	0.875	1/4	1/4	2/4	4	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	2	2a	31/8	31/8	0.125	15/32	15/32	2/4	4	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
3	3	3	3a	4	4	7.0	0	0	2/4	4	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	6	6a	11	11	0.875	1/4	1/4	2/4	4	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	6	6a	95/8	95/8	0.125	15/32	15/32	2/4	4	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
7	7	7	7a	12	12	2.0	0	0	2/4	4	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
8	8	8	8a	14	14	1.0	0	0	2/4	4	1	iii64	V6(6)	Bb	I		iii64		iii		64					m	0	0	5, 4, 1		4	5
8	8	8	8a	15	15	1.0	1/4	1/4	2/4	4	1	V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
9	9	9	9a	16	16	2.0	0	0	2/4	4	1	#viio2/ii		Bb	I		#viio2/ii		#vii	o	2		ii			o7	0	0	-2, 7, 4, 1		7	-2
10	10	10	10a	18	18	1.0	0	0	2/4	4	1	V7/ii		Bb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
10	10	10	10a	19	19	0.875	1/4	1/4	2/4	4	1	V7(9)/ii		Bb	I		V7(9)/ii		V		7	9	ii			Mm7	0	0	3, 7, 4, 1	-2	3	3
10	10	10	10a	159/8	159/8	0.125	15/32	15/32	2/4	4	1	V(64)/ii		Bb	I		V(64)/ii		V			64	ii			M	0	0	3, 2, -1		3	3
11	11	11	11a	20	20	0.875	0	0	2/4	4	1	V7/ii		Bb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
11	11	11	11a	167/8	167/8	0.125	7/32	7/32	2/4	4	1	V(64)/ii		Bb	I		V(64)/ii		V			64	ii			M	0	0	3, 2, -1		3	3
11	11	11	11a	21	21	1.0	1/4	1/4	2/4	4	1	V7/ii		Bb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
12	12	12	12a	22	22	2.0	0	0	2/4	4	1	#i.i64		Bb	#i		i64		i		64					m	0	1	1, 0, -3		0	1
13	13	13	13a	24	24	2.0	0	0	2/4	4	1	#viio43		Bb	#i		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
14	14	14	14a	26	26	2.0	0	0	2/4	4	1	vo7		Bb	#i		vo7		v	o	7					o7	0	1	1, -2, -5, -8		1	1
15	15	15	15a	28	28	2.0	0	0	2/4	4	1	#vio7		Bb	#i		#vio7		#vi	o	7					o7	0	1	3, 0, -3, -6		3	3
16	16	16	16a	30	30	2.0	0	0	2/4	4	1	vo65		Bb	#i		vo65		v	o	65					o7	0	1	-2, -5, -8, 1		1	-2
17	17	17	17a	32	32	2.0	0	0	2/4	4	1	#IV.viio2		Bb	#IV		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
18	18	18	18a	34	34	1.0	0	0	2/4	4	1	V[viio64		Bb	#IV	V	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
18	18	18	18a	35	35	0.875	1/4	1/4	2/4	4	1	V2		Bb	#IV	V	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	18	18	18a	287/8	287/8	0.125	15/32	15/32	2/4	4	1	vi64		Bb	#IV	V	vi64		vi		64					m	0	0	4, 3, 0		3	4
19	19	19	19a	36	36	0.875	0	0	2/4	4	1	viio6		Bb	#IV	V	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
19	19	19	19a	295/8	295/8	0.125	7/32	7/32	2/4	4	1	I		Bb	#IV	V	I		I							M	0	0	0, 4, 1		0	0
19	19	19	19a	37	37	1.0	1/4	1/4	2/4	4	1	viio		Bb	#IV	V	viio		vii	o						o	0	0	5, 2, -1		5	5
