mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	4.0	0	0	2/2	4	1		D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
2	2	2	2a	4	4	4.0	0	0	2/2	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	3	3a	8	8	0.5	0	0	2/2	4	1		I(4)	D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
3	3	3	3a	17/2	17/2	3.5	1/8	1/8	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
4	4	4	4a	12	12	4.0	0	0	2/2	4	1		V43	D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	5	5a	16	16	4.0	0	0	2/2	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	6	6a	20	20	4.0	0	0	2/2	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	7	7a	24	24	4.0	0	0	2/2	4	1		V(64)	D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	8	8a	28	28	2.0	0	0	2/2	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
8	8	8	8a	30	30	2.0	1/2	1/2	2/2	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	9	9a	32	32	4.0	0	0	2/2	4	1		I(+7#2)	D	I		I(+7#2)		I			+7#2				M	0	0	0, 9, 1	5	0	0
10	10	10	10a	36	36	4.0	0	0	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
11	11	11	11a	40	40	8.0	0	0	2/2	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	13	13a	48	48	2.0	0	0	2/2	4	1		I(4)	D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
13	13	13	13a	50	50	2.0	1/2	1/2	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
14	14	14	14a	52	52	4.0	0	0	2/2	4	1		V43	D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	15	15	15a	56	56	2.0	0	0	2/2	4	1		I6(4)	D	I		I6(4)		I		6	4				M	0	0	-1, 1, 0		0	-1
15	15	15	15a	58	58	2.0	1/2	1/2	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
16	16	16	16a	60	60	4.0	0	0	2/2	4	1		#viio65/ii	D	I		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
17	17	17	17a	64	64	16.0	0	0	2/2	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
21	21	21	21a	80	80	4.0	0	0	2/2	4	1		viio6/IV	D	I		viio6/IV		vii	o	6		IV			o	0	0	1, -2, 4		4	1
22	22	22	22a	84	84	1.0	0	0	2/2	4	1		IV6(#7)	D	I		IV6(#7)		IV		6	#7				M	0	0	3, 0, 11		-1	3
22	22	22	22a	85	85	2.0	1/4	1/4	2/2	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
22	22	22	22a	87	87	1.0	3/4	3/4	2/2	4	1		viio6/V	D	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
23	23	23	23a	88	88	1.0	0	0	2/2	4	1		V6(#7)	D	I		V6(#7)		V		6	#7				M	0	0	5, 2, 6		1	5
23	23	23	23a	89	89	1.0	1/4	1/4	2/2	4	1		V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
23	23	23	23a	90	90	2.0	1/2	1/2	2/2	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
24	24	24	24a	92	92	2.0	0	0	2/2	4	1		V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
24	24	24	24a	94	94	2.0	1/2	1/2	2/2	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	25	25a	96	96	1.0	0	0	2/2	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	25	25a	97	97	0.5	1/4	1/4	2/2	4	1		V6(2)	D	I		V6(2)		V		6	2				M	0	0	5, 2, 3		1	5
25	25	25	25a	195/2	195/2	0.5	3/8	3/8	2/2	4	1		V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
25	25	25	25a	98	98	0.5	1/2	1/2	2/2	4	1		I(4)	D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
25	25	25	25a	197/2	197/2	0.5	5/8	5/8	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
25	25	25	25a	99	99	1.0	3/4	3/4	2/2	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
26	26	26	26a	100	100	2.0	0	0	2/2	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
26	26	26	26a	102	102	2.0	1/2	1/2	2/2	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
27	27	27	27a	104	104	1.0	0	0	2/2	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
27	27	27	27a	105	105	3.0	1/4	1/4	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
28	28	28	28a	108	108	4.0	0	0	2/2	4	1		V2/IV	D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
29	29	29	29a	112	112	4.0	0	0	2/2	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
30	30	30	30a	116	116	4.0	0	0	2/2	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
31	31	31	31a	120	120	1.0	0	0	2/2	4	1		I(#2)	D	I		I(#2)		I			#2				M	0	0	0, 9, 1		0	0
31	31	31	31a	121	121	3.0	1/4	1/4	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
32	32	32	32a	124	124	4.0	0	0	2/2	4	1		V2/IV	D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
33	33	33	33a	128	128	4.0	0	0	2/2	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
34	34	34	34a	132	132	4.0	0	0	2/2	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
35	35	35	35a	136	136	1.0	0	0	2/2	4	1		I(#2)	D	I		I(#2)		I			#2				M	0	0	0, 9, 1		0	0
35	35	35	35a	137	137	3.0	1/4	1/4	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
36	36	36	36a	140	140	2.0	0	0	2/2	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
36	36	36	36a	142	142	2.0	1/2	1/2	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
37	37	37	37a	144	144	2.0	0	0	2/2	4	1		V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
37	37	37	37a	146	146	2.0	1/2	1/2	2/2	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
38	38	38	38a	148	148	2.0	0	0	2/2	4	1		ii65	D	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
38	38	38	38a	150	150	2.0	1/2	1/2	2/2	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
39	39	39	39a	152	152	1.0	0	0	2/2	4	1		I(4)	D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
39	39	39	39a	153	153	2.0	1/4	1/4	2/2	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
39	39	39	39a	155	155	1.0	3/4	3/4	2/2	4	1		vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
40	40	40	40a	156	156	2.0	0	0	2/2	4	1		V65/vi	D	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
40	40	40	40a	158	158	2.0	1/2	1/2	2/2	4	1		vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
41	41	41	41a	160	160	2.0	0	0	2/2	4	1		V65/vi	D	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
41	41	41	41a	162	162	2.0	1/2	1/2	2/2	4	1		vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
42	42	42	42a	164	164	1.0	0	0	2/2	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
42	42	42	42a	165	165	1.0	1/4	1/4	2/2	4	1		ii65	D	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
