mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	3/8	4	1	Ab.I[I64		Ab	I	I	I64		I		64					M	0	0	1, 0, 4		0	1
3	3	3	3a	3	3	0.5	0	0	3/8	4	1	V(2)/V		Ab	I	I	V(2)/V		V			2	V			M	0	0	4, 6, 3		2	4
3	3	3	3a	7/2	7/2	0.5	1/8	1/8	3/8	4	1	viio7		Ab	I	I	viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
3	3	3	3a	4	4	0.5	1/4	1/4	3/8	4	1	I]		Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
4	4	4	4a	9/2	9/2	0.25	0	0	3/8	4	1	IV6		Ab	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	4	4	4a	19/4	19/4	0.25	1/16	1/16	3/8	4	1	V65		Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	4	4a	5	5	0.5	1/8	1/8	3/8	4	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
4	4	4	4a	11/2	11/2	0.5	1/4	1/4	3/8	4	1	I6		Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	5	5a	6	6	1.5	0	0	3/8	4	1	V		Ab	I		V		V							M	0	0	1, 5, 2		1	1
6	6	6	6a	15/2	15/2	1.5	0	0	3/8	4	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
7	7	7	7a	9	9	1.0	0	0	3/8	4	1	#viio65/vi		Ab	I		#viio65/vi		#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
7	7	7	7a	10	10	0.5	1/4	1/4	3/8	4	1	IV6		Ab	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
