mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	1	1	1.0	1/4	1/4	4/4	4	1	b.i	b	i		i	i							m	1	1	0, -3, 1		0	0
1	0	1	0a	2	2	2.5	1/2	1/2	4/4	4	1	V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	1	2	1a	9/2	9/2	1.5	1/8	1/8	4/4	4	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
2	1	2	1a	6	6	2.0	1/2	1/2	4/4	4	1	V65	b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
3	2	3	2a	8	8	2.0	0	0	4/4	4	1	iio	b	i		iio	ii	o						o	1	1	2, -1, -4		2	2
3	2	3	2a	10	10	2.0	1/2	1/2	4/4	4	1	iio65	b	i		iio65	ii	o	65					o7	1	1	-1, -4, -7, 2		2	-1
4	3	4	3a	12	12	1.0	0	0	4/4	4	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	4	3a	13	13	1.0	1/4	1/4	4/4	4	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
4	3	4	3a	14	14	1.0	1/2	1/2	4/4	4	1	i\\	b	i		i	i						\\	m	1	1	0, -3, 1		0	0
4	3	4	3a	15	15	1.0	3/4	3/4	4/4	4	1	V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	4	5	4a	16	16	2.0	0	0	4/4	4	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
5	4	5	4a	18	18	2.0	1/2	1/2	4/4	4	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
6	5	6	5a	20	20	2.0	0	0	4/4	4	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	6	5a	22	22	2.0	1/2	1/2	4/4	4	1	#vio65	b	i		#vio65	#vi	o	65					o7	1	1	0, -3, -6, 3		3	0
7	6	7	6a	24	24	1.0	0	0	4/4	4	1	IV.V/ii	b	IV		V/ii	V				ii			M	1	0	3, 7, 4		3	3
7	6	7	6a	25	25	1.0	1/4	1/4	4/4	4	1	V65/ii	b	IV		V65/ii	V		65		ii			Mm7	1	0	7, 4, 1, 3		3	7
7	6	7	6a	26	26	1.0	1/2	1/2	4/4	4	1	ii	b	IV		ii	ii							m	1	0	2, -1, 3		2	2
7	6	7	6a	27	27	1.0	3/4	3/4	4/4	4	1	ii65	b	IV		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
8	7	8	7a	28	28	0.5	0	0	4/4	4	1	V7(4)	b	IV		V7(4)	V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
8	7	8	7a	57/2	57/2	1.5	1/8	1/8	4/4	4	1	V7	b	IV		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
8	7	8	7a	30	30	4.5	1/2	1/2	4/4	4	1	V43	b	IV		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
9	8	9	8a	69/2	69/2	0.5	5/8	5/8	4/4	4	1	V2	b	IV		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
9	8	9	8a	35	35	1.0	3/4	3/4	4/4	4	1	I6	b	IV		I6	I		6					M	1	0	4, 1, 0		0	4
10	9	10	9a	36	36	0.5	0	0	4/4	4	1	IV	b	IV		IV	IV							M	1	0	-1, 3, 0		-1	-1
10	9	10	9a	73/2	73/2	2.0	1/8	1/8	4/4	4	1	V65/V	b	IV		V65/V	V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
10	9	10	9a	77/2	77/2	0.5	5/8	5/8	4/4	4	1	V(64)	b	IV		V(64)	V			64				M	1	0	1, 0, 4		1	1
10	9	10	9a	39	39	1.0	3/4	3/4	4/4	4	1	V7	b	IV		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
11	10	11	10a	40	40	1.0	0	0	4/4	4	1	V7/IV	b	IV		V7/IV	V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
11	10	11	10a	41	41	2.0	1/4	1/4	4/4	4	1	iiio2	b	IV		iiio2	iii	o	2					o7	1	0	-5, 4, 1, -2		4	-5
11	10	11	10a	43	43	1.0	3/4	3/4	4/4	4	1	I	b	IV		I	I							M	1	0	0, 4, 1		0	0
