mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	2/2	4	1	Eb.I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
1	1	1	1a	2	2	1.5	1/2	1/2	2/2	4	1	V2/IV		Eb	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
1	1	1	1a	7/2	7/2	0.5	7/8	7/8	2/2	4	1	IV6		Eb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
2	2	2	2a	4	4	4.0	0	0	2/2	4	1	V43/IV		Eb	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
3	3	3	3a	8	8	2.0	0	0	2/2	4	1	I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
3	3	3	3a	10	10	1.5	1/2	1/2	2/2	4	1	V2/IV		Eb	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
3	3	3	3a	23/2	23/2	0.5	7/8	7/8	2/2	4	1	IV6		Eb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
4	4	4	4a	12	12	4.0	0	0	2/2	4	1	viio65/ii		Eb	I		viio65/ii	vii	o	65		ii			o7	0	0	-3, -6, -9, 0		0	-3
5	5	5	5a	16	16	2.0	0	0	2/2	4	1	bVII6(6+#7)		Eb	I		bVII6(6+#7)	bVII		6	6+#7				M	0	0	2, 1, -2	10	-2	2
5	5	5	5a	18	18	1.0	1/2	1/2	2/2	4	1	bVII6		Eb	I		bVII6	bVII		6					M	0	0	2, -1, -2		-2	2
5	5	5	5a	19	19	1.0	3/4	3/4	2/2	4	1	V7		Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	6	6a	20	20	1.0	0	0	2/2	4	1	I(9+74)		Eb	I		I(9+74)	I			9+74				M	0	0	0, -1, 1	2, 5	0	0
6	6	6	6a	21	21	1.0	1/4	1/4	2/2	4	1	I(+7b64)		Eb	I		I(+7b64)	I			+7b64				M	0	0	0, -1, -4	5	0	0
6	6	6	6a	22	22	1.0	1/2	1/2	2/2	4	1	I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
6	6	6	6a	23	23	1.0	3/4	3/4	2/2	4	1	V6/V		Eb	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
7	7	7	7a	24	24	1.0	0	0	2/2	4	1	V7(4)		Eb	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
7	7	7	7a	25	25	1.0	1/4	1/4	2/2	4	1	V7		Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	7	7a	26	26	1.0	1/2	1/2	2/2	4	1	V7(9)		Eb	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
7	7	7	7a	27	27	1.0	3/4	3/4	2/2	4	1	V(64)		Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	8	8	8a	28	28	1.0	0	0	2/2	4	1	V7/ii		Eb	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
8	8	8	8a	29	29	1.0	1/4	1/4	2/2	4	1	V(64)/ii		Eb	I		V(64)/ii	V			64	ii			M	0	0	3, 2, -1		3	3
8	8	8	8a	30	30	1.0	1/2	1/2	2/2	4	1	V43		Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	8	8a	31	31	1.0	3/4	3/4	2/2	4	1	I6		Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	9	9a	32	32	1.25	0	0	2/2	4	1	ii6(2)		Eb	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
9	9	9	9a	133/4	133/4	1.75	5/16	5/16	2/2	4	1	ii6		Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
9	9	9	9a	35	35	2.0	3/4	3/4	2/2	4	1	ii		Eb	I		ii	ii							m	0	0	2, -1, 3		2	2
10	10	10	10a	37	37	1.0	1/4	1/4	2/2	4	1	ii%2		Eb	I		ii%2	ii	%	2					%7	0	0	0, 2, -1, -4		2	0
10	10	10	10a	38	38	1.0	1/2	1/2	2/2	4	1	V65		Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	10	10a	39	39	0.75	3/4	3/4	2/2	4	1	I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
10	10	10	10a	159/4	159/4	0.25	15/16	15/16	2/2	4	1	I6		Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	11	11a	40	40	3.0	0	0	2/2	4	1	ii65		Eb	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	11	11	11a	43	43	0.5	3/4	3/4	2/2	4	1	I64		Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
